section,array,year,scope,metric,value,unit,notes
correlation,Calyxo,2023,past_only,minimum_vs_next_ramp_pearson,0.052942181037928346,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,minimum_vs_next_ramp_spearman,0.02259662635372445,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,minimum_vs_hour_ramp_pearson,-0.0049768520478187025,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,minimum_vs_hour_ramp_spearman,0.019478137903438077,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,minimum_vs_abs_hour_ramp_pearson,0.5071878878907502,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,minimum_vs_abs_hour_ramp_spearman,0.8418093280003767,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,maximum_vs_next_ramp_pearson,0.023913102028546625,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,maximum_vs_next_ramp_spearman,0.037965662779120515,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,maximum_vs_hour_ramp_pearson,-0.0614182350882192,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,maximum_vs_hour_ramp_spearman,0.005555420141521224,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,maximum_vs_abs_hour_ramp_pearson,0.5783029359323675,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,maximum_vs_abs_hour_ramp_spearman,0.8511731472011355,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,range_vs_next_ramp_pearson,-0.01483163578583968,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,range_vs_next_ramp_spearman,0.031510876137011735,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,range_vs_hour_ramp_pearson,-0.10328434192218115,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,range_vs_hour_ramp_spearman,-0.02846239326676026,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,range_vs_abs_hour_ramp_pearson,0.4757107325708047,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,range_vs_abs_hour_ramp_spearman,0.8567813115518529,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,first_last_change_vs_next_ramp_pearson,-0.06581301076323891,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,first_last_change_vs_next_ramp_spearman,0.12713294486870466,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,first_last_change_vs_hour_ramp_pearson,0.0867996241173512,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,first_last_change_vs_hour_ramp_spearman,0.2634099734818884,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,first_last_change_vs_abs_hour_ramp_pearson,0.011144024862459967,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,first_last_change_vs_abs_hour_ramp_spearman,0.05257838492957217,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,max_abs_first_difference_vs_next_ramp_pearson,-0.006239581817970021,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,max_abs_first_difference_vs_next_ramp_spearman,0.01116039225178711,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,max_abs_first_difference_vs_hour_ramp_pearson,-0.08578155441387336,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,max_abs_first_difference_vs_hour_ramp_spearman,-0.04590495493454195,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,max_abs_first_difference_vs_abs_hour_ramp_pearson,0.3649016471581255,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,max_abs_first_difference_vs_abs_hour_ramp_spearman,0.8507060486868006,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,slope_vs_next_ramp_pearson,0.031199275299383166,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,slope_vs_next_ramp_spearman,0.12033368921480557,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,slope_vs_hour_ramp_pearson,0.06177951959812715,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,slope_vs_hour_ramp_spearman,0.23183339262627722,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,slope_vs_abs_hour_ramp_pearson,0.06395217333143391,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,slope_vs_abs_hour_ramp_spearman,0.05302237968301611,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,coefficient_of_variation_vs_next_ramp_pearson,-0.027311415254983557,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,coefficient_of_variation_vs_next_ramp_spearman,-0.046770318553980395,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,coefficient_of_variation_vs_hour_ramp_pearson,-0.03259762544723695,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,coefficient_of_variation_vs_hour_ramp_spearman,-0.1506369793978244,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,coefficient_of_variation_vs_abs_hour_ramp_pearson,-0.0883223923466711,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,coefficient_of_variation_vs_abs_hour_ramp_spearman,-0.04519420977351779,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,valid_count_vs_next_ramp_pearson,-0.007027137694956631,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Calyxo,2023,past_only,valid_count_vs_next_ramp_spearman,-0.045571888941135036,rho,"Feature interval is (t-5min,t]; target begins at t."
