site,model,h,support,analysis,scope,selected_alpha,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias
YULARA_COMBINED,Ridge+day,144,horizon_specific,primary,full,1000.0,3784320,26280,4890952748.220631,51773745.030181445,-27869742.082412306,35.950323856735274,13.68112237606266,-7.364531033953869
YULARA_COMBINED,Ridge+day,144,horizon_specific,primary,power-active,1000.0,1963842,26192,2825720316.3970165,36045844.325629205,-15500517.530048458,37.93248677804027,18.354757829616233,-7.892955507646978
YULARA_COMBINED,Ridge+day,144,horizon_specific,primary,low-power,1000.0,1820478,25653,2065232431.823616,15727900.704552285,-12369224.552363863,33.68152530285983,8.639434645489967,-6.794492738920143
YULARA_COMBINED,Ridge+day,144,horizon_specific,daily_matched,full,1000.0,3784320,26280,4890952748.220631,51773745.030181445,-27869742.082412306,35.950323856735274,13.68112237606266,-7.364531033953869
YULARA_COMBINED,Ridge+day,144,horizon_specific,daily_matched,power-active,1000.0,1963842,26192,2825720316.3970165,36045844.325629205,-15500517.530048458,37.93248677804027,18.354757829616233,-7.892955507646978
YULARA_COMBINED,Ridge+day,144,horizon_specific,daily_matched,low-power,1000.0,1820478,25653,2065232431.823616,15727900.704552285,-12369224.552363863,33.68152530285983,8.639434645489967,-6.794492738920143
YULARA_COMBINED,Ridge+day,144,common_H144,primary,full,1000.0,3784320,26280,4890952748.220631,51773745.030181445,-27869742.082412306,35.950323856735274,13.68112237606266,-7.364531033953869
YULARA_COMBINED,Ridge+day,144,common_H144,primary,power-active,1000.0,1963842,26192,2825720316.3970165,36045844.325629205,-15500517.530048458,37.93248677804027,18.354757829616233,-7.892955507646978
YULARA_COMBINED,Ridge+day,144,common_H144,primary,low-power,1000.0,1820478,25653,2065232431.823616,15727900.704552285,-12369224.552363863,33.68152530285983,8.639434645489967,-6.794492738920143
YULARA_COMBINED,Ridge+day,144,common_H144,daily_matched,full,1000.0,3784320,26280,4890952748.220631,51773745.030181445,-27869742.082412306,35.950323856735274,13.68112237606266,-7.364531033953869
