site,case,origin,lead,hours,truth,Inverted,Daily,last,seed
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,39,3.25,165.52,92.28693389892578,,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,40,3.3333333333333335,166.4,88.35819244384766,84.42,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,41,3.4166666666666665,143.54000000000002,90.94375610351562,172.26,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,42,3.5,150.178,93.26013946533203,223.82,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,43,3.5833333333333335,73.1,90.73828887939453,213.56,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,44,3.6666666666666665,95.098,86.8126449584961,198.42000000000002,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,45,3.75,177.22,86.00383758544922,185.22,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,46,3.8333333333333335,167.35999999999999,90.72219848632812,184.34,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,47,3.9166666666666665,191.16000000000003,88.8128662109375,176.8,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,48,4.0,166.98,88.45567321777344,175.0,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,49,4.083333333333333,127.28600000000002,89.6080093383789,147.84,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,50,4.166666666666667,178.94,90.6808853149414,162.57999999999998,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,51,4.25,145.72,88.5414810180664,160.78000000000003,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,52,4.333333333333333,155.34,90.32490539550781,157.14,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,53,4.416666666666667,150.74,87.76774597167969,152.62,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,54,4.5,148.35999999999999,84.91854858398438,150.62,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,55,4.583333333333333,143.4,85.36280822753906,146.71999999999997,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,56,4.666666666666667,122.4,86.68621826171875,143.24,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,57,4.75,137.0,85.78497314453125,140.66000000000003,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,58,4.833333333333333,134.26,83.1187744140625,137.07999999999998,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,59,4.916666666666667,130.06,85.05931854248047,133.28000000000003,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,60,5.0,125.82000000000001,82.59283447265625,129.04000000000002,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,61,5.083333333333333,121.32000000000001,82.37874603271484,125.28,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,62,5.166666666666667,117.58,77.09221649169922,121.28,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,63,5.25,113.38,75.57523345947266,117.94000000000001,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,64,5.333333333333333,108.92,75.57861328125,113.38,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,65,5.416666666666667,104.32000000000001,74.56359100341797,108.84,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,66,5.5,100.64,73.02645874023438,104.22,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,67,5.583333333333333,96.02000000000001,73.67261505126953,99.82000000000001,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,68,5.666666666666667,90.84,68.2673568725586,95.14,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,69,5.75,85.58,69.45835876464844,90.36,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,70,5.833333333333333,80.47999999999999,70.46344757080078,85.47999999999999,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,71,5.916666666666667,75.696,66.83332061767578,80.82000000000001,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,72,6.0,70.836,64.3054428100586,75.88,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,73,6.083333333333333,66.212,60.843772888183594,70.52799999999999,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,74,6.166666666666667,60.572,56.72518539428711,65.432,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,75,6.25,54.88199999999999,59.8510627746582,60.42999999999999,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,76,6.333333333333333,49.518,56.46174621582031,55.352,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,77,6.416666666666667,43.63,55.051692962646484,49.92,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,78,6.5,37.501999999999995,53.640193939208984,43.802,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,79,6.583333333333333,32.519999999999996,51.4973258972168,38.708,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,80,6.666666666666667,28.298000000000002,51.17829132080078,33.508,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,81,6.75,22.794,48.50564193725586,27.951999999999998,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,82,6.833333333333333,18.46,48.71174621582031,22.94,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,83,6.916666666666667,14.680000000000001,46.61126708984375,18.552,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,84,7.0,10.784,45.48231506347656,14.092000000000002,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,85,7.083333333333333,7.2623999999999995,44.51696014404297,10.03,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,86,7.166666666666667,2.8421999999999996,44.387882232666016,6.7386,30.598000000000003,42
NIST_GROUND,fixed_month_10,2017-10-15 10:00:00-05:00,87,7.25,1.0632,42.9270133972168,1.6324,30.598000000000003,42
