site,h,analysis,scope,block_hours,blocks,replicates,valid_replicates,skill,ci_low,ci_high
Hanwha,48,primary,power-active,48,12,2000,2000,0.5651896142852849,0.5179749201801958,0.6155564518846444
Hanwha,48,primary,power-active,72,8,2000,2000,0.5651896142852849,0.5257859900899291,0.5993436951298938
Hanwha,48,primary,low-power,24,24,2000,2000,0.6601230972043824,0.5368512307521901,0.732449296140616
Hanwha,48,primary,low-power,48,12,2000,2000,0.6601230972043826,0.5140732560602698,0.738110568484326
Hanwha,48,primary,low-power,72,8,2000,2000,0.6601230972043827,0.568204618855828,0.7285364604384464
Hanwha,48,daily_matched,full,24,24,2000,2000,-1.9744590288639123,-8.440846531979533,-1.0478759210330717
Hanwha,48,daily_matched,full,48,12,2000,2000,-1.9744590288639117,-8.796151403066565,-0.8573175141878034
Hanwha,48,daily_matched,full,72,8,2000,2000,-1.9744590288639117,-8.074411380250185,-0.9325895555914907
Hanwha,48,daily_matched,power-active,24,24,2000,2000,-1.8598176313169568,-8.107770150159366,-0.969777733589817
Hanwha,48,daily_matched,power-active,48,12,2000,2000,-1.8598176313169568,-8.383818451254703,-0.783266085948482
Hanwha,48,daily_matched,power-active,72,8,2000,2000,-1.8598176313169568,-7.745537488970268,-0.8532551456642589
Hanwha,48,daily_matched,low-power,24,24,2000,2000,-141.14908560818725,-193.81313561491177,-110.43571769021061
Hanwha,48,daily_matched,low-power,48,12,2000,2000,-141.14908560818733,-196.90799467244645,-106.28428256331448
Hanwha,48,daily_matched,low-power,72,8,2000,2000,-141.1490856081872,-212.34513897061504,-98.24545084526429
Hanwha,96,primary,full,24,24,2000,2000,0.6035545140235082,0.5512357354343714,0.652646945515425
Hanwha,96,primary,full,48,12,2000,2000,0.6035545140235085,0.5326885291385265,0.6688785368790015
Hanwha,96,primary,full,72,8,2000,2000,0.6035545140235082,0.557559552150477,0.6454856106045286
Hanwha,96,primary,power-active,24,24,2000,2000,0.5702904013214171,0.5232552570184367,0.6171559699367896
Hanwha,96,primary,power-active,48,12,2000,2000,0.5702904013214171,0.5092646859202399,0.6368010112961614
Hanwha,96,primary,power-active,72,8,2000,2000,0.5702904013214171,0.5257421744831179,0.6134005228366091
Hanwha,96,primary,low-power,24,24,2000,2000,0.7594588418233316,0.6724751433888495,0.8124236699175978
Hanwha,96,primary,low-power,48,12,2000,2000,0.7594588418233316,0.6522274391191596,0.8153248768952618
Hanwha,96,primary,low-power,72,8,2000,2000,0.7594588418233315,0.7002453217612293,0.8036791668771327
Hanwha,96,daily_matched,full,24,24,2000,2000,-3.2384936955181196,-13.703391320074948,-1.9232820282469132
Hanwha,96,daily_matched,full,48,12,2000,2000,-3.2384936955181183,-14.212687204297369,-1.6057015124418623
Hanwha,96,daily_matched,full,72,8,2000,2000,-3.238493695518119,-13.03112095472267,-1.7727099424232198
Hanwha,96,daily_matched,power-active,24,24,2000,2000,-3.065336597545766,-13.188103490954632,-1.784831310472665
Hanwha,96,daily_matched,power-active,48,12,2000,2000,-3.0653365975457656,-13.641957533170114,-1.479904895393261
Hanwha,96,daily_matched,power-active,72,8,2000,2000,-3.065336597545766,-12.498151604852358,-1.6348441096839255
Hanwha,96,daily_matched,low-power,24,24,2000,2000,-208.37538127510197,-279.07096787096,-164.5861095114311
Hanwha,96,daily_matched,low-power,48,12,2000,2000,-208.37538127510197,-282.53158183824127,-162.4139454619481
Hanwha,96,daily_matched,low-power,72,8,2000,2000,-208.37538127510194,-310.73329558170707,-148.5591499810732
Hanwha,144,primary,full,24,24,2000,2000,0.6855364654850127,0.6415729748662223,0.7243138765670846
Hanwha,144,primary,full,48,12,2000,2000,0.6855364654850127,0.6277548350319674,0.738257049492309
Hanwha,144,primary,full,72,8,2000,2000,0.6855364654850127,0.630518422218972,0.728359134471618
Hanwha,144,primary,power-active,24,24,2000,2000,0.651346396161011,0.612424828117182,0.6888764927054057
Hanwha,144,primary,power-active,48,12,2000,2000,0.6513463961610109,0.6016948312641149,0.7021846821486648
Hanwha,144,primary,power-active,72,8,2000,2000,0.651346396161011,0.599303915825005,0.6938786970204726
Hanwha,144,primary,low-power,24,24,2000,2000,0.7994898573052698,0.7296357019101155,0.8367165573399007
Hanwha,144,primary,low-power,48,12,2000,2000,0.7994898573052698,0.713981893239814,0.84405855453032
Hanwha,144,primary,low-power,72,8,2000,2000,0.7994898573052701,0.7421090355836347,0.8366540157098379
Hanwha,144,daily_matched,full,24,24,2000,2000,-2.966339310303375,-12.614211425240525,-1.8056902082953015
Hanwha,144,daily_matched,full,48,12,2000,2000,-2.966339310303372,-13.06124986592209,-1.5833436270245842
Hanwha,144,daily_matched,full,72,8,2000,2000,-2.9663393103033733,-12.255154876706008,-1.6800160868969607
Hanwha,144,daily_matched,power-active,24,24,2000,2000,-2.7366897164692223,-11.851205894270848,-1.6411849643140755
Hanwha,144,daily_matched,power-active,48,12,2000,2000,-2.736689716469222,-12.320564436125828,-1.4233903821672276
Hanwha,144,daily_matched,power-active,72,8,2000,2000,-2.7366897164692223,-11.526886518507933,-1.5048778974928194
Hanwha,144,daily_matched,low-power,24,24,2000,2000,-219.65996849969102,-281.03446251070665,-177.69408453301068
Hanwha,144,daily_matched,low-power,48,12,2000,2000,-219.65996849969108,-295.21010040387637,-168.10514585066832
Hanwha,144,daily_matched,low-power,72,8,2000,2000,-219.65996849969113,-317.9237285711589,-159.1969554104936
Qcells,12,primary,full,24,24,2000,2000,0.3046686576879618,0.2180376834872657,0.3658238737592861
Qcells,12,primary,full,48,12,2000,2000,0.3046686576879617,0.21593455907792625,0.37161768086209
Qcells,12,primary,full,72,8,2000,2000,0.30466865768796153,0.21380971985105973,0.37020477458466805
Qcells,12,primary,power-active,24,24,2000,2000,0.3303448032264072,0.23951655421838386,0.39502572902433836
Qcells,12,primary,power-active,48,12,2000,2000,0.330344803226407,0.2382450646845216,0.40072515379680096
Qcells,12,primary,power-active,72,8,2000,2000,0.33034480322640697,0.23547633378487057,0.4014900004962552
Qcells,12,primary,low-power,24,24,2000,2000,-0.7348106210968717,-1.032676170071238,-0.5238168465167848
Qcells,12,primary,low-power,48,12,2000,2000,-0.7348106210968717,-1.1349744990999342,-0.4736761166402824
Qcells,12,primary,low-power,72,8,2000,2000,-0.7348106210968718,-1.1779536212511874,-0.4123534167808871
Qcells,12,daily_matched,full,24,24,2000,2000,-0.16690221915059222,-0.7648995509168524,0.1041694019382949
