site,h,analysis,scope,origins_horizon_specific,points_horizon_specific,origins_common_H144,points_common_H144,origin_change,point_change
NIST_GROUND,96,daily_matched,low-power,22114,1425306,20988,1357445,-1126,-67861
NIST_GROUND,144,primary,full,21885,3151440,21885,3151440,0,0
NIST_GROUND,144,primary,power-active,18602,1106213,18602,1106213,0,0
NIST_GROUND,144,primary,low-power,21885,2045227,21885,2045227,0,0
NIST_GROUND,144,daily_matched,full,21885,3128676,21885,3128676,0,0
NIST_GROUND,144,daily_matched,power-active,18599,1098178,18599,1098178,0,0
NIST_GROUND,144,daily_matched,low-power,21885,2030498,21885,2030498,0,0
YULARA_COMBINED,12,primary,full,26412,316944,26280,315360,-132,-1584
YULARA_COMBINED,12,primary,power-active,14784,164664,14698,163698,-86,-966
YULARA_COMBINED,12,primary,low-power,13747,152280,13690,151662,-57,-618
YULARA_COMBINED,12,daily_matched,full,26412,316944,26280,315360,-132,-1584
YULARA_COMBINED,12,daily_matched,power-active,14784,164664,14698,163698,-86,-966
YULARA_COMBINED,12,daily_matched,low-power,13747,152280,13690,151662,-57,-618
YULARA_COMBINED,48,primary,full,26376,1266048,26280,1261440,-96,-4608
YULARA_COMBINED,48,primary,power-active,18063,658095,17977,655095,-86,-3000
YULARA_COMBINED,48,primary,low-power,17055,607953,16998,606345,-57,-1608
YULARA_COMBINED,48,daily_matched,full,26376,1266048,26280,1261440,-96,-4608
YULARA_COMBINED,48,daily_matched,power-active,18063,658095,17977,655095,-86,-3000
YULARA_COMBINED,48,daily_matched,low-power,17055,607953,16998,606345,-57,-1608
YULARA_COMBINED,96,primary,full,26328,2527488,26280,2522880,-48,-4608
YULARA_COMBINED,96,primary,power-active,22393,1313250,22345,1310250,-48,-3000
YULARA_COMBINED,96,primary,low-power,21423,1214238,21375,1212630,-48,-1608
YULARA_COMBINED,96,daily_matched,full,26328,2527488,26280,2522880,-48,-4608
YULARA_COMBINED,96,daily_matched,power-active,22393,1313250,22345,1310250,-48,-3000
YULARA_COMBINED,96,daily_matched,low-power,21423,1214238,21375,1212630,-48,-1608
YULARA_COMBINED,144,primary,full,26280,3784320,26280,3784320,0,0
YULARA_COMBINED,144,primary,power-active,26192,1963842,26192,1963842,0,0
YULARA_COMBINED,144,primary,low-power,25653,1820478,25653,1820478,0,0
YULARA_COMBINED,144,daily_matched,full,26280,3784320,26280,3784320,0,0
YULARA_COMBINED,144,daily_matched,power-active,26192,1963842,26192,1963842,0,0
YULARA_COMBINED,144,daily_matched,low-power,25653,1820478,25653,1820478,0,0
