site,model,seed,epoch,train_MSE,validation_MSE
Hanwha,Depthwise convolutional TCN,42,1,0.08109056329900691,0.045066756304243234
Hanwha,Depthwise convolutional TCN,42,2,0.038247016209056114,0.03057214826379034
Hanwha,Depthwise convolutional TCN,42,3,0.027829472095026418,0.02538801567547787
Hanwha,Depthwise convolutional TCN,42,4,0.024366091821384894,0.02267239097592615
Hanwha,Depthwise convolutional TCN,42,5,0.022253790851328347,0.021435500609884413
Hanwha,Depthwise convolutional TCN,42,6,0.020587161382616903,0.02013098538329675
Hanwha,Depthwise convolutional TCN,42,7,0.019075810591308924,0.018451430201327352
Hanwha,Depthwise convolutional TCN,42,8,0.01809284257015431,0.0175111668690645
Hanwha,Depthwise convolutional TCN,42,9,0.01734761883011036,0.015861526278880024
Hanwha,Depthwise convolutional TCN,42,10,0.01648208825104044,0.016153067349606406
Hanwha,Depthwise convolutional TCN,42,11,0.016282230283051546,0.01674545045911505
Hanwha,Depthwise convolutional TCN,42,12,0.015549192544249711,0.014328673733867751
Hanwha,Depthwise convolutional TCN,42,13,0.015228785600235762,0.014890990242639728
Hanwha,Depthwise convolutional TCN,42,14,0.01490142787530621,0.01441547279510894
Hanwha,Depthwise convolutional TCN,42,15,0.015118948099330955,0.014149056171884087
Hanwha,Depthwise convolutional TCN,42,16,0.01461526464712303,0.013671968490129836
Hanwha,Depthwise convolutional TCN,42,17,0.014464743888249448,0.014847261759248125
Hanwha,Depthwise convolutional TCN,42,18,0.014095929705001401,0.01334973998421101
Hanwha,Depthwise convolutional TCN,42,19,0.014033293210463963,0.013774416024292885
Hanwha,Depthwise convolutional TCN,42,20,0.013790749188114517,0.015313790630742433
Hanwha,Depthwise convolutional TCN,42,21,0.013785766101076033,0.01326963444130564
Hanwha,Depthwise convolutional TCN,42,22,0.013908799879425468,0.015237450965256813
Hanwha,Depthwise convolutional TCN,42,23,0.013898294388759303,0.014803937533177297
Hanwha,Depthwise convolutional TCN,42,24,0.013668032707936734,0.01275848430567452
Hanwha,Depthwise convolutional TCN,42,25,0.013432690203250554,0.013066331329909643
Hanwha,Depthwise convolutional TCN,43,1,0.08265581687340028,0.04628332516571562
Hanwha,Depthwise convolutional TCN,43,2,0.0375397566523848,0.02816490680686281
Hanwha,Depthwise convolutional TCN,43,3,0.02640772606378632,0.022772111248018256
Hanwha,Depthwise convolutional TCN,43,4,0.0227899013618557,0.02096525480580303
Hanwha,Depthwise convolutional TCN,43,5,0.02111361686406108,0.020417328502793715
Hanwha,Depthwise convolutional TCN,43,6,0.020637312869269297,0.01886845242445636
Hanwha,Depthwise convolutional TCN,43,7,0.019431845348661634,0.020623961437645597
Hanwha,Depthwise convolutional TCN,43,8,0.018720717301669784,0.01692260300634117
Hanwha,Depthwise convolutional TCN,43,9,0.018271490765064707,0.01628035841092898
Hanwha,Depthwise convolutional TCN,43,10,0.017331416798782997,0.015820643795023726
Hanwha,Depthwise convolutional TCN,43,11,0.017395428560073173,0.015772958379382872
Hanwha,Depthwise convolutional TCN,43,12,0.016489358881701454,0.01482011452530106
Hanwha,Depthwise convolutional TCN,43,13,0.01620965383369502,0.015930819813256707
Hanwha,Depthwise convolutional TCN,43,14,0.016027514581873976,0.014642142739565557
Hanwha,Depthwise convolutional TCN,43,15,0.016217297183129642,0.015028093118085914
Hanwha,Depthwise convolutional TCN,43,16,0.015898302319932556,0.015104265026282409
Hanwha,Depthwise convolutional TCN,43,17,0.015483416185953027,0.014382985374948832
Hanwha,Depthwise convolutional TCN,43,18,0.015784035696501872,0.014501325281284224
Hanwha,Depthwise convolutional TCN,43,19,0.015661594744288358,0.013836558363652692
Hanwha,Depthwise convolutional TCN,43,20,0.015198064841237723,0.015319699006969159
Hanwha,Depthwise convolutional TCN,43,21,0.01484751767900654,0.015002449400406022
Hanwha,Depthwise convolutional TCN,43,22,0.015135338254096114,0.014403272983096774
Hanwha,Depthwise convolutional TCN,43,23,0.014735835999294873,0.013513179104223979
Hanwha,Depthwise convolutional TCN,43,24,0.014739465093195547,0.015007734417443519
Hanwha,Depthwise convolutional TCN,43,25,0.014595522994981257,0.016533184318985435
Hanwha,Depthwise convolutional TCN,44,1,0.08684302278056338,0.04905593474912242
Hanwha,Depthwise convolutional TCN,44,2,0.03930341304170518,0.030166818556231018
Hanwha,Depthwise convolutional TCN,44,3,0.027216590463393576,0.02487392035078332
Hanwha,Depthwise convolutional TCN,44,4,0.023628044828788212,0.023274865570032364
Hanwha,Depthwise convolutional TCN,44,5,0.022118064705100027,0.020610139946841195
Hanwha,Depthwise convolutional TCN,44,6,0.020713531401401943,0.020123565366660556
Hanwha,Depthwise convolutional TCN,44,7,0.019879622916883593,0.019153539076604113
Hanwha,Depthwise convolutional TCN,44,8,0.01920186331192231,0.01897414311622499
Hanwha,Depthwise convolutional TCN,44,9,0.018329521448469003,0.0173167239472593
Hanwha,Depthwise convolutional TCN,44,10,0.016993731972843717,0.015347352612456351
Hanwha,Depthwise convolutional TCN,44,11,0.016720028373311983,0.01501486801431831
Hanwha,Depthwise convolutional TCN,44,12,0.015994916337106323,0.016352930449179588
Hanwha,Depthwise convolutional TCN,44,13,0.01593397908568631,0.014279549395140338
Hanwha,Depthwise convolutional TCN,44,14,0.015536504176986465,0.014199325489731017
Hanwha,Depthwise convolutional TCN,44,15,0.015267954766939013,0.015361240271275105
Hanwha,Depthwise convolutional TCN,44,16,0.014916974918700837,0.013760246520229774
Hanwha,Depthwise convolutional TCN,44,17,0.014891190488889722,0.014151570956387222
Hanwha,Depthwise convolutional TCN,44,18,0.014986964124771874,0.013560196415399562
Hanwha,Depthwise convolutional TCN,44,19,0.014598089069654856,0.014392006247575615
Hanwha,Depthwise convolutional TCN,44,20,0.014728390517579711,0.01556796854606153
Hanwha,Depthwise convolutional TCN,44,21,0.014800383633074695,0.013679454849761909
