model,parameters,mean_training_seconds,mean_best_epoch
Discrete Candidate,98738,325.6222582222221,19.0
ModernTCN,682896,22.09460201111061,20.444444444444443
PatchTST,146576,19.320178155556075,10.333333333333334
iTransformer,176528,25.624992011110912,18.22222222222222
