site,model,split,group,component_RMS_kW,component_mean_kW,component_absmax_kW,worst_origin_component_RMS_kW
YULARA_COMBINED,Ridge,train,historical_ac_active_power,57.19301743404817,-1.7936371168479422e-14,219.17788119838954,115.48940474134211
YULARA_COMBINED,Ridge,train,ambient_temperature,16.74381854756015,2.8837242285743977e-15,85.57584323370669,44.154142032680234
YULARA_COMBINED,Ridge,train,global_horizontal_irradiance,45.16744807653312,1.6834478059153042e-15,187.8958271837299,99.13056070318926
YULARA_COMBINED,Ridge,train,power_missing,0.29953326198287367,5.1177257391170154e-18,16.59381794256195,0.006562776278775874
YULARA_COMBINED,Ridge,train,temperature_missing,0.3275104477383398,1.875289573435313e-19,18.124350680537376,6.0535341538565195
YULARA_COMBINED,Ridge,train,ghi_missing,0.3275104387473941,-7.063472112465078e-20,18.124350898637335,6.053534170843164
YULARA_COMBINED,Ridge,train,isolation_forest_flag,1.3108225095440504,-1.638469323546761e-16,28.297529565930386,3.2861444574218295
YULARA_COMBINED,Ridge,validation,historical_ac_active_power,60.54028911024154,-2.5260086393981434,205.4928329392069,42.61733035553462
YULARA_COMBINED,Ridge,validation,ambient_temperature,21.496764054514156,-0.05290182543258781,145.03659952329787,52.038519558245085
YULARA_COMBINED,Ridge,validation,global_horizontal_irradiance,47.84466671408623,1.4952766281038659,172.56947722934217,29.844890223000657
YULARA_COMBINED,Ridge,validation,power_missing,0.5078546571718884,0.009792901864472165,16.59381794256195,0.006562776278775874
YULARA_COMBINED,Ridge,validation,temperature_missing,107.63841703297271,-2.4677268663212395,508.64254542939017,251.44917672530303
YULARA_COMBINED,Ridge,validation,ghi_missing,107.63841790881777,-2.467724364393789,508.64257742090626,251.44917890065432
YULARA_COMBINED,Ridge,validation,isolation_forest_flag,0.3451904274002862,0.020747375068418793,12.066332202497035,0.11428666743322649
YULARA_COMBINED,Ridge,test,historical_ac_active_power,61.7526048607674,-4.356020278641141,220.06160102890374,42.19494381671946
YULARA_COMBINED,Ridge,test,ambient_temperature,17.4174318761407,0.5434866615196037,179.9291365137571,77.70315095223071
YULARA_COMBINED,Ridge,test,global_horizontal_irradiance,53.9493973660887,4.772742442885557,197.98424075755534,31.536283409103778
YULARA_COMBINED,Ridge,test,power_missing,0.0065627762787758784,-0.005221278511659958,0.011323390508285359,0.006562776278775874
YULARA_COMBINED,Ridge,test,temperature_missing,58.42638579353578,-0.7302415640604861,508.64254542939034,251.44917672530303
YULARA_COMBINED,Ridge,test,ghi_missing,58.42638626756076,-0.7302408236984014,508.64257742090626,251.44917890065432
YULARA_COMBINED,Ridge,test,isolation_forest_flag,2.618634675314295,-0.05498631962403484,28.297529565930386,0.11428666743322649
YULARA_COMBINED,Ridge+day,train,historical_ac_active_power,7.427587487561859,-1.0778438549561623e-15,60.03511791611557,4.966616213824734
YULARA_COMBINED,Ridge+day,train,ambient_temperature,1.1510202206831253,-3.4160872684969646e-17,10.489183736891517,0.4025532433575762
YULARA_COMBINED,Ridge+day,train,global_horizontal_irradiance,3.5832305199156513,-6.923270197487182e-17,23.17440406552216,3.1237574702582163
YULARA_COMBINED,Ridge+day,train,power_missing,0.0710096134287725,1.2964229105157882e-18,11.883429117683844,0.0009289099464581235
