split,support,hour,origins
validation,historical_training_fullH144,5,241
validation,historical_training_fullH144,6,54
validation,historical_training_fullH144,7,0
validation,historical_training_fullH144,8,0
validation,historical_training_fullH144,9,0
validation,historical_training_fullH144,10,0
validation,historical_training_fullH144,11,0
validation,historical_training_fullH144,12,0
validation,historical_training_fullH144,13,0
validation,historical_training_fullH144,14,0
validation,historical_training_fullH144,15,0
validation,historical_training_fullH144,16,0
validation,historical_training_fullH144,17,0
validation,historical_training_fullH144,18,189
validation,historical_training_fullH144,19,256
validation,historical_training_fullH144,20,252
validation,historical_training_fullH144,21,252
validation,historical_training_fullH144,22,252
validation,historical_training_fullH144,23,252
test,all_grid_origins,0,288
test,all_grid_origins,1,288
test,all_grid_origins,2,288
test,all_grid_origins,3,288
test,all_grid_origins,4,288
test,all_grid_origins,5,288
test,all_grid_origins,6,288
test,all_grid_origins,7,288
test,all_grid_origins,8,288
test,all_grid_origins,9,288
test,all_grid_origins,10,288
test,all_grid_origins,11,288
test,all_grid_origins,12,288
test,all_grid_origins,13,288
test,all_grid_origins,14,288
test,all_grid_origins,15,288
test,all_grid_origins,16,288
test,all_grid_origins,17,288
test,all_grid_origins,18,288
test,all_grid_origins,19,288
test,all_grid_origins,20,288
test,all_grid_origins,21,288
test,all_grid_origins,22,288
test,all_grid_origins,23,288
test,H12_support,0,276
test,H12_support,1,276
test,H12_support,2,276
test,H12_support,3,276
test,H12_support,4,276
test,H12_support,5,277
test,H12_support,6,265
test,H12_support,7,285
test,H12_support,8,288
test,H12_support,9,288
test,H12_support,10,288
test,H12_support,11,288
test,H12_support,12,288
test,H12_support,13,288
test,H12_support,14,288
test,H12_support,15,288
test,H12_support,16,288
test,H12_support,17,107
test,H12_support,18,129
test,H12_support,19,288
test,H12_support,20,288
test,H12_support,21,288
test,H12_support,22,288
test,H12_support,23,276
test,common_H144,0,252
test,common_H144,1,252
test,common_H144,2,252
test,common_H144,3,252
test,common_H144,4,252
test,common_H144,5,253
test,common_H144,6,97
test,common_H144,7,0
test,common_H144,8,0
test,common_H144,9,0
test,common_H144,10,0
test,common_H144,11,0
test,common_H144,12,0
test,common_H144,13,0
test,common_H144,14,0
test,common_H144,15,0
test,common_H144,16,0
test,common_H144,17,0
test,common_H144,18,125
test,common_H144,19,253
test,common_H144,20,252
test,common_H144,21,252
test,common_H144,22,252
test,common_H144,23,252
test,H12_removed_by_H144,0,24
test,H12_removed_by_H144,1,24
test,H12_removed_by_H144,2,24
test,H12_removed_by_H144,3,24
test,H12_removed_by_H144,4,24
test,H12_removed_by_H144,5,24
test,H12_removed_by_H144,6,168
test,H12_removed_by_H144,7,285
test,H12_removed_by_H144,8,288
test,H12_removed_by_H144,9,288
test,H12_removed_by_H144,10,288
test,H12_removed_by_H144,11,288
test,H12_removed_by_H144,12,288
test,H12_removed_by_H144,13,288
test,H12_removed_by_H144,14,288
test,H12_removed_by_H144,15,288
test,H12_removed_by_H144,16,288
test,H12_removed_by_H144,17,107
test,H12_removed_by_H144,18,4
test,H12_removed_by_H144,19,35
test,H12_removed_by_H144,20,36
test,H12_removed_by_H144,21,36
test,H12_removed_by_H144,22,36
test,H12_removed_by_H144,23,24
test,historical_training_fullH144,0,252
test,historical_training_fullH144,1,252
test,historical_training_fullH144,2,252
test,historical_training_fullH144,3,252
test,historical_training_fullH144,4,252
test,historical_training_fullH144,5,253
test,historical_training_fullH144,6,97
test,historical_training_fullH144,7,0
test,historical_training_fullH144,8,0
test,historical_training_fullH144,9,0
test,historical_training_fullH144,10,0
test,historical_training_fullH144,11,0
test,historical_training_fullH144,12,0
test,historical_training_fullH144,13,0
test,historical_training_fullH144,14,0
test,historical_training_fullH144,15,0
test,historical_training_fullH144,16,0
test,historical_training_fullH144,17,0
test,historical_training_fullH144,18,148
test,historical_training_fullH144,19,253
test,historical_training_fullH144,20,252
test,historical_training_fullH144,21,252
test,historical_training_fullH144,22,252
test,historical_training_fullH144,23,252
