site,scope,block_hours,block,start,count,Ridge A_SSE,Ridge B_SSE,Daily_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE
Sanyo,full,24,0,2018-08-08 00:00:00,10368.0,2551.4676598164883,107.64141372841148,3.2929536480607666,1380.5531938105912,1199.8305639366984,955.5764996546018
Sanyo,full,24,1,2018-08-09 00:00:00,20448.0,11917.695240972374,512.1397704169099,12.579482341635401,7678.523230737497,7518.504085187519,7254.123047786036
Sanyo,full,24,2,2018-08-10 00:00:00,41184.0,47774.414398164234,2034.3673994740288,72.69604070947136,31453.94185522118,28099.843302122375,29885.841583927955
Sanyo,full,24,3,2018-08-11 00:00:00,41472.0,49710.733649592104,1718.6449643969793,208.20158967652344,42418.50102379447,41565.28999329542,43472.273085098255
Sanyo,full,24,4,2018-08-12 00:00:00,41472.0,25448.735462357043,1234.9453891382336,67.37513158665176,11381.915153491811,10874.730303200857,11056.55110622666
Sanyo,full,24,5,2018-08-13 00:00:00,20448.0,11518.139961528152,370.4956880629247,10.256515907249495,6903.67926942264,6413.78977786935,6404.57216677545
Sanyo,full,24,6,2018-08-14 00:00:00,20448.0,10876.009163015628,281.62135154487123,55.16115365691827,6981.9041257672625,6704.855201100873,5454.082450219129
Sanyo,full,24,7,2018-08-15 00:00:00,20591.0,17106.81223199779,364.500922336027,36.98106279337962,10301.474671371105,9805.46403990393,9424.118540164634
Sanyo,full,24,8,2018-08-16 00:00:00,20592.0,11903.41205312557,543.5058864972852,42.7370201740349,5958.524866425893,5901.603019220229,6028.911893760306
Sanyo,full,24,9,2018-08-17 00:00:00,20592.0,18810.896229128728,783.5083380756187,39.44346619748829,13173.555803094207,11018.63866769964,10734.716101393447
Sanyo,full,24,10,2018-08-18 00:00:00,20592.0,16024.296668179331,704.9823294272231,19.144460633798655,12612.227826207889,11450.58358180378,11532.809662367981
Sanyo,full,24,11,2018-08-19 00:00:00,41328.0,20714.841775951358,1464.3729635467878,353.64297249028,14344.215203660824,14222.814294789185,15230.423594809057
Sanyo,full,24,12,2018-08-20 00:00:00,20592.0,13281.20315735523,774.1095705322703,80.39862622172676,6851.363703708111,7243.781860622852,6961.354751861546
Sanyo,full,24,13,2018-08-21 00:00:00,20592.0,13117.240164431116,647.8333666853305,56.79507724919056,9783.545985585293,7956.276789554724,7193.352956440693
Sanyo,full,24,14,2018-08-22 00:00:00,20592.0,11983.341337091577,1049.3712644316647,50.21377765643527,14214.878543254676,13955.918097770544,17116.91648470991
Sanyo,full,24,15,2018-08-23 00:00:00,41328.0,53826.972555976616,2485.9240864252756,126.48018831832817,44439.48524273726,34243.049865775334,42788.35859149205
Sanyo,full,24,16,2018-08-24 00:00:00,20592.0,15882.110617812461,961.5808464715801,51.97363038227549,9156.826629471841,9646.855970626533,8798.789254118925
Sanyo,full,24,17,2018-08-25 00:00:00,41328.0,28652.53138340136,978.5940808422641,29.580255377195677,20782.24198215007,20300.53071063825,20549.559514907665
Sanyo,full,24,18,2018-08-26 00:00:00,20448.0,10955.240048620328,423.8149794047848,17.73568351162658,5625.134606472335,6013.471253192273,5422.532515735476
Sanyo,full,24,19,2018-08-27 00:00:00,20448.0,12223.866840327193,497.7376922101465,67.65281583226164,6879.127388048236,6880.150526327477,6413.337306541845
Sanyo,full,24,20,2018-08-28 00:00:00,20448.0,13850.611261954526,1170.1922987598875,13.22259853335734,13399.583388045492,14404.360556669933,15073.331465850235
Sanyo,full,24,21,2018-08-29 00:00:00,20591.0,22610.164268039836,1462.042975082197,20.320758815980685,18551.357099697863,19418.955004933265,22065.703203278958
Sanyo,full,24,22,2018-08-30 00:00:00,20592.0,26665.037378854326,2738.5116418576977,2931.557263006775,21213.73341333729,22289.660842369623,24197.07478321965
Sanyo,full,24,23,2018-08-31 00:00:00,11231.0,32114.82803040811,3561.8389431168107,3983.5290325666847,29141.51966101903,31713.394220641803,31680.519118612054
Sanyo,full,48,0,2018-08-08 00:00:00,30816.0,14469.162900788859,619.7811841453214,15.87243598969617,9059.076424548088,8718.334649124221,8209.699547440634
Sanyo,full,48,1,2018-08-10 00:00:00,82656.0,97485.14804775635,3753.0123638710093,280.8976303859949,73872.44287901568,69665.13329541779,73358.11466902611
Sanyo,full,48,2,2018-08-12 00:00:00,61920.0,36966.87542388518,1605.4410772011581,77.63164749390124,18285.594422914444,17288.520081070208,17461.123273002107
Sanyo,full,48,3,2018-08-14 00:00:00,41039.0,27982.821395013416,646.1222738808985,92.14221645029794,17283.378797138383,16510.319241004803,14878.20099038376
Sanyo,full,48,4,2018-08-16 00:00:00,41184.0,30714.308282254307,1327.0142245729037,82.18048637152306,19132.0806695201,16920.24168691987,16763.62799515376
Sanyo,full,48,5,2018-08-18 00:00:00,61920.0,36739.13844413068,2169.3552929740094,372.78743312407875,26956.44302986872,25673.397876592935,26763.233257177028
Sanyo,full,48,6,2018-08-20 00:00:00,41184.0,26398.44332178634,1421.9429372176012,137.1937034709173,16634.909689293403,15200.05865017758,14154.707708302238
Sanyo,full,48,7,2018-08-22 00:00:00,61920.0,65810.3138930682,3535.2953508569412,176.69396597476333,58654.36378599194,48198.96796354588,59905.27507620192
Sanyo,full,48,8,2018-08-24 00:00:00,61920.0,44534.642001213804,1940.1749273138448,81.55388575947116,29939.068611621904,29947.386681264776,29348.348769026594
Sanyo,full,48,9,2018-08-26 00:00:00,40896.0,23179.10688894755,921.5526716149316,85.38849934388824,12504.26199452056,12893.621779519746,11835.86982227731
Sanyo,full,48,10,2018-08-28 00:00:00,41039.0,36460.77552999435,2632.235273842085,33.54335734933803,31950.940487743348,33823.315561603195,37139.0346691292
Sanyo,full,48,11,2018-08-30 00:00:00,31823.0,58779.865409262435,6300.350584974505,6915.086295573458,50355.25307435631,54003.055063011416,55877.59390183169
Sanyo,full,72,0,2018-08-08 00:00:00,72000.0,62243.57729895309,2654.1485836193533,88.56847669916755,40513.01827976928,36818.1779512466,38095.54113136861
Sanyo,full,72,1,2018-08-11 00:00:00,103392.0,86677.60907347735,3324.0860415981438,285.83323717042475,60704.09544670888,58853.81007436564,60933.39635810041
Sanyo,full,72,2,2018-08-14 00:00:00,61631.0,39886.23344813898,1189.6281603781845,134.8792366243328,23241.903663564262,22411.922260225012,20907.112884144062
Sanyo,full,72,3,2018-08-17 00:00:00,82512.0,55550.03467325941,2952.8636310496345,412.2308993215668,40129.9988329629,36692.0365442926,37497.94935857046
Sanyo,full,72,4,2018-08-20 00:00:00,61776.0,38381.784658877885,2471.3142016492648,187.40748112735247,30849.78823254807,29155.97674794812,31271.624193012147
Sanyo,full,72,5,2018-08-23 00:00:00,103248.0,98361.61455719045,4426.099013739117,208.03407407779895,74378.55385435914,64190.43654704007,72136.70736051865
Sanyo,full,72,6,2018-08-26 00:00:00,61344.0,37029.718150902074,2091.744970374817,98.6110978772457,25903.845382566065,27297.98233618969,26909.201288127526
Sanyo,full,72,7,2018-08-29 00:00:00,52414.0,81390.02967730224,7762.393560056709,6935.407054389439,68906.61017405422,73422.01006794465,77943.29710511063
Sanyo,power-active,24,0,2018-08-08 00:00:00,2056.0,1856.4166437972376,65.82908107137206,3.2623550199688944,1037.1939854747156,811.615568800984,737.1748708564246
Sanyo,power-active,24,1,2018-08-09 00:00:00,8375.0,10180.889049344114,398.1391869243656,12.512110275212882,5766.776344239263,5165.956911488904,5284.351133439256
Sanyo,power-active,24,2,2018-08-10 00:00:00,18054.0,37674.0298059681,1742.3613589072345,72.64369672808888,26077.247729225153,22006.583349395558,23284.060249933613
Sanyo,power-active,24,3,2018-08-11 00:00:00,18144.0,41531.078620682085,1321.6985098186867,208.185737521889,36428.3343799622,34514.9714143235,37933.40935965485
Sanyo,power-active,24,4,2018-08-12 00:00:00,18144.0,18436.25005076259,900.52457574579,67.36577798867431,8816.682641874055,7760.015632809886,8442.381503105715
Sanyo,power-active,24,5,2018-08-13 00:00:00,8505.0,8097.630310798329,274.22038374614976,10.256367027177673,4688.137210839697,4017.3226426987776,4411.175098874504
Sanyo,power-active,24,6,2018-08-14 00:00:00,8505.0,9291.090427746723,197.37767829676326,55.16109382574788,5768.793871012079,5155.58748207761,4401.0017902549
Sanyo,power-active,24,7,2018-08-15 00:00:00,8631.0,12576.600567700669,271.70855761381034,36.974474037324214,8213.239008126004,7544.904192439134,7495.108442751186
Sanyo,power-active,24,8,2018-08-16 00:00:00,8631.0,8473.369197441994,431.71968560672155,42.70400774904402,3829.20963044088,3896.940765011919,4329.0256161723155
Sanyo,power-active,24,9,2018-08-17 00:00:00,8686.0,15052.694372605236,684.1641891253576,39.40994132761328,10306.8243689262,8546.071696560079,8121.929925092856
Sanyo,power-active,24,10,2018-08-18 00:00:00,8763.0,15062.122758962088,594.5694367629574,19.14441643919231,11413.831861509792,10014.067537327992,10580.510876970533
Sanyo,power-active,24,11,2018-08-19 00:00:00,18344.0,16219.287270084485,1140.2470563998302,353.5645097233892,11836.587591899175,11374.9537844374,13280.210026066787
Sanyo,power-active,24,12,2018-08-20 00:00:00,8840.0,11353.989208810583,682.5246890547814,79.79648492241866,5667.904183122452,5766.479382646904,5727.642419658404
Sanyo,power-active,24,13,2018-08-21 00:00:00,8757.0,11257.381466118328,533.5646684916422,56.09153284660888,7596.235174461149,5948.448625039547,5289.436492046377
Sanyo,power-active,24,14,2018-08-22 00:00:00,8876.0,10611.484407585316,938.5772133500489,50.185288123501046,11289.807369934857,10809.154449549424,13909.019285904964
Sanyo,power-active,24,15,2018-08-23 00:00:00,18375.0,42451.205485195125,2220.8769792591042,126.1146594545718,35351.380309101776,26812.91832590623,34734.71554549457
Sanyo,power-active,24,16,2018-08-24 00:00:00,8896.0,13686.711544182104,861.988850288942,51.63139074953994,7814.910264351569,7634.534253627157,7467.252598081134
Sanyo,power-active,24,17,2018-08-25 00:00:00,18432.0,19739.05799079646,662.7997008924355,29.576307391649348,17319.736701628295,16432.77745851993,17538.86792776992
Sanyo,power-active,24,18,2018-08-26 00:00:00,8901.0,9363.283542624184,321.9164150124042,17.73536932388534,4618.13705028393,4691.569612607525,4565.250371754804
Sanyo,power-active,24,19,2018-08-27 00:00:00,8901.0,11196.195987747202,414.88668797137063,67.5910292158186,5993.537180694829,5741.208130880222,5522.070684148022
