seed,scope,points,neural_SSE,Daily_SSE,weighted_MSE_difference
42,full,3128676,6210452148.655403,5492585668.267983,229.44737019346832
42,power-active,1098178,3916231367.100967,5342356299.862793,-455.8237838503655
42,low-power,2030498,2294220781.5544353,150229368.40519184,685.271154043833
43,full,3128676,6042967856.773489,5492585668.267983,175.9153675565976
43,power-active,1098178,3980339002.1734085,5342356299.862793,-435.33344382396405
43,low-power,2030498,2062628854.6000795,150229368.40519184,611.2488113805608
44,full,3128676,6427651498.838073,5492585668.267983,298.86949961264423
44,power-active,1098178,4182363223.302698,5342356299.862793,-370.7616501549201
44,low-power,2030498,2245288275.5353746,150229368.40519184,669.6311497675639
