split,support,h,bin_left,bin_right,target_pairs
train,historical_training_fullH144,144,5.0,6.0,41205
train,historical_training_fullH144,144,6.0,inf,77
validation,all_grid_origins,12,-inf,-0.01,12
validation,all_grid_origins,12,-0.01,0.0,516
validation,all_grid_origins,12,0.0,0.060368347169999996,44478
validation,all_grid_origins,12,0.060368347169999996,0.1,288
validation,all_grid_origins,12,0.1,0.5,1992
validation,all_grid_origins,12,0.5,1.0,2256
validation,all_grid_origins,12,1.0,2.0,4644
validation,all_grid_origins,12,2.0,3.0,5208
validation,all_grid_origins,12,3.0,4.0,6876
validation,all_grid_origins,12,4.0,5.0,12564
validation,all_grid_origins,12,5.0,6.0,540
validation,all_grid_origins,12,6.0,inf,0
validation,all_grid_origins,144,-inf,-0.01,144
validation,all_grid_origins,144,-0.01,0.0,6192
validation,all_grid_origins,144,0.0,0.060368347169999996,525610
validation,all_grid_origins,144,0.060368347169999996,0.1,3456
validation,all_grid_origins,144,0.1,0.5,23751
validation,all_grid_origins,144,0.5,1.0,26975
validation,all_grid_origins,144,1.0,2.0,55380
validation,all_grid_origins,144,2.0,3.0,62151
validation,all_grid_origins,144,3.0,4.0,82213
validation,all_grid_origins,144,4.0,5.0,150632
validation,all_grid_origins,144,5.0,6.0,6480
validation,all_grid_origins,144,6.0,inf,0
validation,H12_support,12,-inf,-0.01,0
validation,H12_support,12,-0.01,0.0,0
validation,H12_support,12,0.0,0.060368347169999996,40910
validation,H12_support,12,0.060368347169999996,0.1,179
validation,H12_support,12,0.1,0.5,1618
validation,H12_support,12,0.5,1.0,1975
validation,H12_support,12,1.0,2.0,4535
validation,H12_support,12,2.0,3.0,5152
validation,H12_support,12,3.0,4.0,6855
validation,H12_support,12,4.0,5.0,12564
validation,H12_support,12,5.0,6.0,540
validation,H12_support,12,6.0,inf,0
validation,H12_support,144,-inf,-0.01,131
validation,H12_support,144,-0.01,0.0,5612
validation,H12_support,144,0.0,0.060368347169999996,475995
validation,H12_support,144,0.060368347169999996,0.1,3331
validation,H12_support,144,0.1,0.5,23087
validation,H12_support,144,0.5,1.0,26407
validation,H12_support,144,1.0,2.0,54327
validation,H12_support,144,2.0,3.0,60952
validation,H12_support,144,3.0,4.0,80529
validation,H12_support,144,4.0,5.0,146979
validation,H12_support,144,5.0,6.0,6480
validation,H12_support,144,6.0,inf,0
validation,common_H144,12,-inf,-0.01,0
validation,common_H144,12,-0.01,0.0,0
validation,common_H144,12,0.0,0.060368347169999996,35724
validation,common_H144,12,0.060368347169999996,0.1,0
validation,common_H144,12,0.1,0.5,0
validation,common_H144,12,0.5,1.0,0
validation,common_H144,12,1.0,2.0,0
validation,common_H144,12,2.0,3.0,0
validation,common_H144,12,3.0,4.0,0
validation,common_H144,12,4.0,5.0,0
validation,common_H144,12,5.0,6.0,0
validation,common_H144,12,6.0,inf,0
validation,common_H144,144,-inf,-0.01,0
validation,common_H144,144,-0.01,0.0,0
validation,common_H144,144,0.0,0.060368347169999996,257348
validation,common_H144,144,0.060368347169999996,0.1,1333
validation,common_H144,144,0.1,0.5,11226
validation,common_H144,144,0.5,1.0,10750
validation,common_H144,144,1.0,2.0,23887
validation,common_H144,144,2.0,3.0,25738
validation,common_H144,144,3.0,4.0,33247
validation,common_H144,144,4.0,5.0,62071
validation,common_H144,144,5.0,6.0,3088
validation,common_H144,144,6.0,inf,0
validation,H12_removed_by_H144,12,-inf,-0.01,0
validation,H12_removed_by_H144,12,-0.01,0.0,0
validation,H12_removed_by_H144,12,0.0,0.060368347169999996,5186
validation,H12_removed_by_H144,12,0.060368347169999996,0.1,179
validation,H12_removed_by_H144,12,0.1,0.5,1618
validation,H12_removed_by_H144,12,0.5,1.0,1975
validation,H12_removed_by_H144,12,1.0,2.0,4535
validation,H12_removed_by_H144,12,2.0,3.0,5152
validation,H12_removed_by_H144,12,3.0,4.0,6855
validation,H12_removed_by_H144,12,4.0,5.0,12564
validation,H12_removed_by_H144,12,5.0,6.0,540
validation,H12_removed_by_H144,12,6.0,inf,0
validation,H12_removed_by_H144,144,-inf,-0.01,131
validation,H12_removed_by_H144,144,-0.01,0.0,5612
validation,H12_removed_by_H144,144,0.0,0.060368347169999996,218647
validation,H12_removed_by_H144,144,0.060368347169999996,0.1,1998
validation,H12_removed_by_H144,144,0.1,0.5,11861
validation,H12_removed_by_H144,144,0.5,1.0,15657
validation,H12_removed_by_H144,144,1.0,2.0,30440
validation,H12_removed_by_H144,144,2.0,3.0,35214
validation,H12_removed_by_H144,144,3.0,4.0,47282
validation,H12_removed_by_H144,144,4.0,5.0,84908
validation,H12_removed_by_H144,144,5.0,6.0,3392
validation,H12_removed_by_H144,144,6.0,inf,0
validation,historical_training_fullH144,12,-inf,-0.01,0
validation,historical_training_fullH144,12,-0.01,0.0,0
validation,historical_training_fullH144,12,0.0,0.060368347169999996,35988
validation,historical_training_fullH144,12,0.060368347169999996,0.1,0
validation,historical_training_fullH144,12,0.1,0.5,0
validation,historical_training_fullH144,12,0.5,1.0,0
validation,historical_training_fullH144,12,1.0,2.0,0
validation,historical_training_fullH144,12,2.0,3.0,0
validation,historical_training_fullH144,12,3.0,4.0,0
validation,historical_training_fullH144,12,4.0,5.0,0
validation,historical_training_fullH144,12,5.0,6.0,0
validation,historical_training_fullH144,12,6.0,inf,0
validation,historical_training_fullH144,144,-inf,-0.01,0
validation,historical_training_fullH144,144,-0.01,0.0,0
validation,historical_training_fullH144,144,0.0,0.060368347169999996,260516
validation,historical_training_fullH144,144,0.060368347169999996,0.1,1333
validation,historical_training_fullH144,144,0.1,0.5,11226
validation,historical_training_fullH144,144,0.5,1.0,10750
validation,historical_training_fullH144,144,1.0,2.0,23887
validation,historical_training_fullH144,144,2.0,3.0,25738
validation,historical_training_fullH144,144,3.0,4.0,33247
validation,historical_training_fullH144,144,4.0,5.0,62071
validation,historical_training_fullH144,144,5.0,6.0,3088
validation,historical_training_fullH144,144,6.0,inf,0
test,all_grid_origins,12,-inf,-0.01,12
test,all_grid_origins,12,-0.01,0.0,636
test,all_grid_origins,12,0.0,0.060368347169999996,44622
test,all_grid_origins,12,0.060368347169999996,0.1,468
test,all_grid_origins,12,0.1,0.5,1776
test,all_grid_origins,12,0.5,1.0,2256
test,all_grid_origins,12,1.0,2.0,4524
test,all_grid_origins,12,2.0,3.0,5232
test,all_grid_origins,12,3.0,4.0,6552
test,all_grid_origins,12,4.0,5.0,13536
test,all_grid_origins,12,5.0,6.0,3252
test,all_grid_origins,12,6.0,inf,0
test,all_grid_origins,144,-inf,-0.01,144
test,all_grid_origins,144,-0.01,0.0,7632
test,all_grid_origins,144,0.0,0.060368347169999996,527500
test,all_grid_origins,144,0.060368347169999996,0.1,5616
test,all_grid_origins,144,0.1,0.5,21150
test,all_grid_origins,144,0.5,1.0,26870
