site,model,split,kind,n,min,p001,p01,p05,median,p95,p99,p999,max,negative_fraction,outside_train_fraction,train_min,train_max
YULARA_COMBINED,Ridge,train,truth,9983952,-0.049791294150054,-0.049007689375529,-0.04797474690713,-0.046842811549118,-0.039925647550263,85.142702755378,94.485139846802,104.46565246582,109.90315437317,0.5184501087344972,0.0,-0.049791294150054,109.90315437317
YULARA_COMBINED,Ridge,train,prediction,9983952,-103.61264364838053,-31.389334523801878,-18.58208334729369,-10.427514141717918,17.34784427456554,67.96251289454885,84.77650269220096,95.54227756732554,156.29156686823387,0.2053057747072502,0.20430997665052877,-0.049791294150054,109.90315437317
YULARA_COMBINED,Ridge,validation,truth,1157328,-0.059044114896096,-0.048487237654626,-0.04782319082409,-0.046491505810991,-0.039830489257737,87.328106848678,92.683641433716,95.323038101196,107.69682693481,0.510441292356186,0.00012442453651860148,-0.049791294150054,109.90315437317
YULARA_COMBINED,Ridge,validation,prediction,1157328,-1090.5880232393265,-1012.1547069670364,-927.4291991874941,-347.9582969961121,19.18746701313146,400.8681187354127,556.5985581675059,624.3415748364795,723.4747258252304,0.2819641449960599,0.38150463827022246,-0.049791294150054,109.90315437317
YULARA_COMBINED,Ridge,test,truth,3794550,-0.055568993091583,-0.047474917955697,-0.046262160292827,-0.045471428023612,2.2613058502526,92.450340270996,98.412743178228,107.17519378662,108.05237960815,0.4579649760841206,3.794916393248211e-05,-0.049791294150054,109.90315437317
YULARA_COMBINED,Ridge,test,prediction,3794550,-1124.3953877333006,-980.974244384136,-623.5111458420539,-18.11538690500331,19.614229444532498,87.98339708401409,469.0167478227938,596.2097131570017,729.3881275875556,0.2269444334637836,0.25746689330750683,-0.049791294150054,109.90315437317
YULARA_COMBINED,Ridge+day,train,truth,9983952,-0.049791294150054,-0.049007689375529,-0.04797474690713,-0.046842811549118,-0.039925647550263,85.142702755378,94.485139846802,104.46565246582,109.90315437317,0.5184501087344972,0.0,-0.049791294150054,109.90315437317
YULARA_COMBINED,Ridge+day,train,prediction,9983952,-34.44594028492294,-5.944432742602571,-3.2405858191504224,-1.9832523631276953,3.326142698597762,81.51679739066105,90.40186474984178,95.48113345814427,104.70673173566013,0.29299850399921795,0.2860379336759632,-0.049791294150054,109.90315437317
YULARA_COMBINED,Ridge+day,validation,truth,1157328,-0.059044114896096,-0.048487237654626,-0.04782319082409,-0.046491505810991,-0.039830489257737,87.328106848678,92.683641433716,95.323038101196,107.69682693481,0.510441292356186,0.00012442453651860148,-0.049791294150054,109.90315437317
YULARA_COMBINED,Ridge+day,validation,prediction,1157328,-304.423353505926,-296.8314486630748,-237.8282509611595,-142.8190360368256,0.7128584992134583,84.85858335629136,89.8800733685236,94.30080777771623,133.88706887862932,0.4524344006193577,0.44746087539573914,-0.049791294150054,109.90315437317
YULARA_COMBINED,Ridge+day,test,truth,3794550,-0.055568993091583,-0.047474917955697,-0.046262160292827,-0.045471428023612,2.2613058502526,92.450340270996,98.412743178228,107.17519378662,108.05237960815,0.4579649760841206,3.794916393248211e-05,-0.049791294150054,109.90315437317
YULARA_COMBINED,Ridge+day,test,prediction,3794550,-304.81911962571917,-275.7453927528711,-168.5333690948558,-9.340264354010836,4.481694701536423,88.2274381116943,94.30141095528964,98.19746672757192,205.90588046396354,0.31716198231674375,0.31274195886205214,-0.049791294150054,109.90315437317
