site,model,alpha,scope,points,spectral_RMSE,QR_RMSE,RMSE_difference,max_prediction_difference,augmented_rank
NIST_GROUND,Ridge,0.0001,full,3128676,48.95606911138408,48.95606892789356,-1.8349052055555148e-07,0.0023895683094039555,504
NIST_GROUND,Ridge,0.0001,power-active,1098178,63.97634521525364,63.97634521863113,3.3774938401620602e-09,0.001029837910195397,504
NIST_GROUND,Ridge,0.0001,low-power,2030498,38.46140760782805,38.461407244913424,-3.6291462635063e-07,0.0023895683094039555,504
