site,scope,block_hours,blocks,nonempty_blocks,points,reference,rmse_B,rmse_reference,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,replicates,valid_replicates
Sanyo,power-active,48,12,12,259345,Inverted44,0.2989062394061102,1.0753456872646974,-0.7764394478585872,-0.8843227410796436,-0.6514860252299257,0.7220370686877231,0.6807676796580416,0.7527007689391072,2000,2000
Sanyo,power-active,48,12,12,259345,Inverted mean,0.2989062394061102,1.057244345723212,-0.7583381063171017,-0.8593079787933334,-0.6456932499397411,0.7171542347725873,0.6744930473142515,0.7501739963770473,2000,2000
Sanyo,power-active,72,8,8,259345,Ridge A,0.2989062394061101,1.2497705414774407,-0.9508643020713305,-1.003079003354116,-0.8923882731269448,0.7608311050020813,0.7191309251545878,0.7945869427359631,2000,2000
Sanyo,power-active,72,8,8,259345,Daily,0.2989062394061101,0.17941654249698694,0.11948969690912317,0.06618361977467699,0.20038544875482717,-0.6659904111747659,-2.842653313937627,-0.2163835453815918,2000,2000
Sanyo,power-active,72,8,8,259345,Inverted42,0.2989062394061101,1.0700470615121427,-0.7711408221060325,-0.8323034524150383,-0.7025583585517676,0.7206606604912225,0.6779941414481885,0.756269933691684,2000,2000
Sanyo,power-active,72,8,8,259345,Inverted43,0.2989062394061101,1.0263402883927963,-0.7274340489866862,-0.7966457822197488,-0.6626482941578997,0.7087649751388168,0.6731220267146787,0.7432244065917069,2000,2000
Sanyo,power-active,72,8,8,259345,Inverted44,0.2989062394061101,1.0753456872646974,-0.7764394478585872,-0.8627122899360635,-0.6933300383816625,0.7220370686877233,0.6890021545718933,0.7539766504286498,2000,2000
Sanyo,power-active,72,8,8,259345,Inverted mean,0.2989062394061101,1.057244345723212,-0.7583381063171017,-0.8292038673772583,-0.6877146777524648,0.7171542347725876,0.6798741583272255,0.7510517503962095,2000,2000
Sanyo,low-power,24,24,24,338972,Ridge A,0.10449231713925285,0.5278402561661435,-0.42334793902689066,-0.471006029132829,-0.3723826325448617,0.8020379917624874,0.7829696728086318,0.8182945288073098,2000,2000
Sanyo,low-power,24,24,24,338972,Daily,0.10449231713925285,0.002758481923032559,0.10173383521622029,0.09435155639108465,0.10772356826354261,-36.88037045549256,-59.01987385285188,-26.58386222479334,2000,2000
