site,model,split,alpha,rows,columns,saved_objective,stable_objective,saved_relative_normal_residual,stable_relative_normal_residual,max_prediction_difference_kW,RMSE_prediction_difference_kW,gram_eigen_min,gram_eigen_max,regularized_condition,coefficient_Frobenius,intercept_scaled_min,intercept_scaled_max
YULARA_COMBINED,Ridge,train,0.1,69333,504,290797.87663733,290797.87663733005,7.368403254362628e-15,2.0396533239175563e-15,4.919611384934797e-09,4.4180155367313004e-11,-1.5363809707545333e-10,8959858.141330786,89598582.41330785,8.378501903234682,0.2090534913946726,0.20969697695385237
YULARA_COMBINED,Ridge,validation,0.1,69333,504,,,7.368403254362628e-15,2.0396533239175563e-15,8.201936907425988e-09,5.995164470569185e-10,-1.5363809707545333e-10,8959858.141330786,89598582.41330785,8.378501903234682,0.2090534913946726,0.20969697695385237
YULARA_COMBINED,Ridge,test,0.1,69333,504,,,7.368403254362628e-15,2.0396533239175563e-15,8.989445632323623e-09,3.802751634874359e-10,-1.5363809707545333e-10,8959858.141330786,89598582.41330785,8.378501903234682,0.2090534913946726,0.20969697695385237
YULARA_COMBINED,Ridge+day,train,1000.0,69333,792,67333.674219098,67333.674219098,2.181130442860541e-15,7.60188228429921e-16,1.4291613465583497e-11,7.968744296263303e-13,-4.2340710914338245e-10,11332078.257841155,11333.078257841154,0.7549857442015883,0.2090534913946726,0.20969697695385237
YULARA_COMBINED,Ridge+day,validation,1000.0,69333,792,,,2.181130442860541e-15,7.60188228429921e-16,2.8336444302112795e-11,2.839880539875788e-12,-4.2340710914338245e-10,11332078.257841155,11333.078257841154,0.7549857442015883,0.2090534913946726,0.20969697695385237
YULARA_COMBINED,Ridge+day,test,1000.0,69333,792,,,2.181130442860541e-15,7.60188228429921e-16,2.90754087473033e-11,1.8090947836510614e-12,-4.2340710914338245e-10,11332078.257841155,11333.078257841154,0.7549857442015883,0.2090534913946726,0.20969697695385237
