Hanwha_ground_ghi,Hanwha_power,Qcells_ground_ghi,Qcells_power,Sanyo_ground_ghi,Sanyo_power,active_power_valid,actual_unique_timestamps,archive_http_verified,archive_status,availability_policy,column_names,continuous_L72_H144_windows,continuous_segment_count,coverage_ratio,cycle_utc,dominant_interval_minutes,download_status,downloaded_bytes_this_run,duplicate_timestamps,endStep,expected_nwp_points,expected_timestamps,extraction_seconds,failure_reason,fallback_cycles,file_size_bytes,first_timestamp,forecast_age_hours,forecast_lead_hours,forecast_origin_acst,forecast_origin_utc,gfs_ground_ghi_direction_accuracy,gfs_ground_ghi_mae_wm2,gfs_ground_ghi_pearson,gfs_pv_direction_accuracy,gfs_pv_power_pearson,gfs_v16_boundary_utc,grib_url,grid_distance_degrees,grid_latitude,grid_longitude,group,group_type,idx_file_bytes,idx_url,inventory_line,last_timestamp,legal_segment_count,local_grib_path,local_idx_path,malformed_physical_lines,missing_by_column,missing_timestamps,model,months_covered,nominal_issue_time_utc,notes,nwp_valid,official_object_last_modified,parsed_records,period,period_end,period_start,physical_lines,policy_available_time_utc,record_type,reverse_timestamps,sample_count,segment_id,segment_length_5min,selected_cycle_utc,selected_file_bytes,short_name,site,source,source_mtime_ns,source_object,source_path,split,startStep,stepType,three_array_common_nwp,timezone_status,trajectory_cycle_policy,typeOfStatisticalProcessing,units,valid_nwp_points,valid_time_acst,valid_time_utc,valid_timestamp_count,validityDate,validityTime,value,variable
,,,,,,8928,8928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,8637,8637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,8928,8928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,8926,8927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,8638,8638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,8925,8928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,8639,8639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,8909,8909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,7658,7658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,5291,5291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,8928,8928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,8639,8639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
,,,,,,8927,8928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05,,,,,PV_MONTH,,,,,,,,Sanyo,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\5min pv active power data\17 Sanyo.csv,,,,,,,,,,,,,,,,
