Hanwha_ground_ghi,Hanwha_power,Qcells_ground_ghi,Qcells_power,Sanyo_ground_ghi,Sanyo_power,active_power_valid,actual_unique_timestamps,archive_http_verified,archive_status,availability_policy,column_names,continuous_L72_H144_windows,continuous_segment_count,coverage_ratio,cycle_utc,dominant_interval_minutes,download_status,downloaded_bytes_this_run,duplicate_timestamps,endStep,expected_nwp_points,expected_timestamps,extraction_seconds,failure_reason,fallback_cycles,file_size_bytes,first_timestamp,forecast_age_hours,forecast_lead_hours,forecast_origin_acst,forecast_origin_utc,gfs_ground_ghi_direction_accuracy,gfs_ground_ghi_mae_wm2,gfs_ground_ghi_pearson,gfs_pv_direction_accuracy,gfs_pv_power_pearson,gfs_v16_boundary_utc,grib_url,grid_distance_degrees,grid_latitude,grid_longitude,group,group_type,idx_file_bytes,idx_url,inventory_line,last_timestamp,legal_segment_count,local_grib_path,local_idx_path,malformed_physical_lines,missing_by_column,missing_timestamps,model,months_covered,nominal_issue_time_utc,notes,nwp_valid,official_object_last_modified,parsed_records,period,period_end,period_start,physical_lines,policy_available_time_utc,record_type,reverse_timestamps,sample_count,segment_id,segment_length_5min,selected_cycle_utc,selected_file_bytes,short_name,site,source,source_mtime_ns,source_object,source_path,split,startStep,stepType,three_array_common_nwp,timezone_status,trajectory_cycle_policy,typeOfStatisticalProcessing,units,valid_nwp_points,valid_time_acst,valid_time_utc,valid_timestamp_count,validityDate,validityTime,value,variable
107.39300537109,1.0365666151047,107.39300537109,1.0445333719254,107.39300537109,1.0521000623703,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,8.0,,,,,,,,,8,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f008,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f008.idx,596:427436246:d=2022090200:APCP:surface:6-8 hour acc fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f008.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f008.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,tp,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f008,,,6.0,accum,,,,1,kg m**-2,,2022-09-02T17:30:00+09:30,2022-09-02T08:00:00+00:00,,20220902,800,0.0,APCP_surface
7.8905138969421,0.0,7.8905138969421,-0.0058000003919005,7.8905138969421,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,9.0,,,,,,,,,9,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009.idx,653:456669931:d=2022090200:DSWRF:surface:6-9 hour ave fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f009.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f009.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,sdswrf,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009,,,6.0,avg,,,,0,W m**-2,,2022-09-02T18:30:00+09:30,2022-09-02T09:00:00+00:00,,20220902,900,272.82,DSWRF_surface
7.8905138969421,0.0,7.8905138969421,-0.0058000003919005,7.8905138969421,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,9.0,,,,,,,,,9,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009.idx,636:440192643:d=2022090200:TCDC:entire atmosphere:9 hour fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f009.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f009.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,tcc,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009,,,9.0,instant,,,,UNKNOWN,%,,2022-09-02T18:30:00+09:30,2022-09-02T09:00:00+00:00,,20220902,900,0.0,TCDC_entire_atmosphere
7.8905138969421,0.0,7.8905138969421,-0.0058000003919005,7.8905138969421,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,9.0,,,,,,,,,9,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009.idx,581:411918993:d=2022090200:TMP:2 m above ground:9 hour fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f009.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f009.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,2t,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009,,,9.0,instant,,,,UNKNOWN,K,,2022-09-02T18:30:00+09:30,2022-09-02T09:00:00+00:00,,20220902,900,287.90001220703124,TMP_2m
7.8905138969421,0.0,7.8905138969421,-0.0058000003919005,7.8905138969421,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,9.0,,,,,,,,,9,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009.idx,584:414193914:d=2022090200:RH:2 m above ground:9 hour fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f009.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f009.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,2r,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009,,,9.0,instant,,,,UNKNOWN,%,,2022-09-02T18:30:00+09:30,2022-09-02T09:00:00+00:00,,20220902,900,34.0,RH_2m
7.8905138969421,0.0,7.8905138969421,-0.0058000003919005,7.8905138969421,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,9.0,,,,,,,,,9,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009.idx,588:416541795:d=2022090200:UGRD:10 m above ground:9 hour fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f009.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f009.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,10u,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009,,,9.0,instant,,,,UNKNOWN,m s**-1,,2022-09-02T18:30:00+09:30,2022-09-02T09:00:00+00:00,,20220902,900,-5.892734375,UGRD_10m
7.8905138969421,0.0,7.8905138969421,-0.0058000003919005,7.8905138969421,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,9.0,,,,,,,,,9,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009.idx,589:417520859:d=2022090200:VGRD:10 m above ground:9 hour fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f009.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f009.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,10v,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009,,,9.0,instant,,,,UNKNOWN,m s**-1,,2022-09-02T18:30:00+09:30,2022-09-02T09:00:00+00:00,,20220902,900,4.88998779296875,VGRD_10m
7.8905138969421,0.0,7.8905138969421,-0.0058000003919005,7.8905138969421,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,9.0,,,,,,,,,9,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009.idx,596:421874201:d=2022090200:APCP:surface:6-9 hour acc fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f009.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f009.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,tp,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f009,,,6.0,accum,,,,1,kg m**-2,,2022-09-02T18:30:00+09:30,2022-09-02T09:00:00+00:00,,20220902,900,0.0,APCP_surface
3.526623249054,0.0,3.526623249054,0.0,3.526623249054,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,10.0,,,,,,,,,10,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010.idx,653:459828829:d=2022090200:DSWRF:surface:6-10 hour ave fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f010.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f010.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,sdswrf,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010,,,6.0,avg,,,,0,W m**-2,,2022-09-02T19:30:00+09:30,2022-09-02T10:00:00+00:00,,20220902,1000,204.608,DSWRF_surface
3.526623249054,0.0,3.526623249054,0.0,3.526623249054,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,10.0,,,,,,,,,10,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010.idx,636:443055183:d=2022090200:TCDC:entire atmosphere:10 hour fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f010.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f010.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,tcc,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010,,,10.0,instant,,,,UNKNOWN,%,,2022-09-02T19:30:00+09:30,2022-09-02T10:00:00+00:00,,20220902,1000,0.30000000000000004,TCDC_entire_atmosphere
3.526623249054,0.0,3.526623249054,0.0,3.526623249054,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,10.0,,,,,,,,,10,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010.idx,581:414544382:d=2022090200:TMP:2 m above ground:10 hour fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f010.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f010.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,2t,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010,,,10.0,instant,,,,UNKNOWN,K,,2022-09-02T19:30:00+09:30,2022-09-02T10:00:00+00:00,,20220902,1000,286.7880859375,TMP_2m
3.526623249054,0.0,3.526623249054,0.0,3.526623249054,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,10.0,,,,,,,,,10,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010.idx,584:416814018:d=2022090200:RH:2 m above ground:10 hour fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f010.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f010.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,2r,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010,,,10.0,instant,,,,UNKNOWN,%,,2022-09-02T19:30:00+09:30,2022-09-02T10:00:00+00:00,,20220902,1000,38.300000000000004,RH_2m
3.526623249054,0.0,3.526623249054,0.0,3.526623249054,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,10.0,,,,,,,,,10,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010.idx,588:419162931:d=2022090200:UGRD:10 m above ground:10 hour fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f010.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f010.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,10u,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010,,,10.0,instant,,,,UNKNOWN,m s**-1,,2022-09-02T19:30:00+09:30,2022-09-02T10:00:00+00:00,,20220902,1000,-5.4942626953125,UGRD_10m
3.526623249054,0.0,3.526623249054,0.0,3.526623249054,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,10.0,,,,,,,,,10,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010.idx,589:420143035:d=2022090200:VGRD:10 m above ground:10 hour fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f010.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f010.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,10v,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010,,,10.0,instant,,,,UNKNOWN,m s**-1,,2022-09-02T19:30:00+09:30,2022-09-02T10:00:00+00:00,,20220902,1000,4.22959228515625,VGRD_10m
3.526623249054,0.0,3.526623249054,0.0,3.526623249054,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,10.0,,,,,,,,,10,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010.idx,596:424569520:d=2022090200:APCP:surface:6-10 hour acc fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f010.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f010.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,tp,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f010,,,6.0,accum,,,,1,kg m**-2,,2022-09-02T19:30:00+09:30,2022-09-02T10:00:00+00:00,,20220902,1000,0.0,APCP_surface
2.9731843471527,0.0,2.9731843471527,0.0,2.9731843471527,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,11.0,,,,,,,,,11,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f011,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f011.idx,653:456742304:d=2022090200:DSWRF:surface:6-11 hour ave fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f011.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f011.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,sdswrf,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f011,,,6.0,avg,,,,0,W m**-2,,2022-09-02T20:30:00+09:30,2022-09-02T11:00:00+00:00,,20220902,1100,163.696,DSWRF_surface
2.9731843471527,0.0,2.9731843471527,0.0,2.9731843471527,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,11.0,,,,,,,,,11,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f011,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f011.idx,636:439730845:d=2022090200:TCDC:entire atmosphere:11 hour fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f011.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f011.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,tcc,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f011,,,11.0,instant,,,,UNKNOWN,%,,2022-09-02T20:30:00+09:30,2022-09-02T11:00:00+00:00,,20220902,1100,0.0,TCDC_entire_atmosphere
2.9731843471527,0.0,2.9731843471527,0.0,2.9731843471527,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,11.0,,,,,,,,,11,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f011,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f011.idx,581:411254686:d=2022090200:TMP:2 m above ground:11 hour fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f011.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f011.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,2t,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f011,,,11.0,instant,,,,UNKNOWN,K,,2022-09-02T20:30:00+09:30,2022-09-02T11:00:00+00:00,,20220902,1100,286.02911376953125,TMP_2m
2.9731843471527,0.0,2.9731843471527,0.0,2.9731843471527,0.0,,,True,,PREVIOUS_COMPLETED_CYCLE_6H,,,,,2022-09-02T00:00:00+00:00,,,,,11.0,,,,,,,,,11,,,,,,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f011,0.0,-23.75,133.75,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f011.idx,584:413522522:d=2022090200:RH:2 m above ground:11 hour fcst:,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f011.selected.grib2,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PV_improve_v1\原始Dataset\NWP_GFS_AliceSprings\gfs_20220902_00_f011.idx,,,,NOAA GFS 0.25 degree,,2022-09-02T00:00:00+00:00,,,,,,,,,2022-09-02T06:00:00+00:00,NWP_PILOT_MESSAGE,,,,,,,2r,,,,https://noaa-gfs-bdp-pds.s3.amazonaws.com/gfs.20220902/00/atmos/gfs.t00z.pgrb2.0p25.f011,,,11.0,instant,,,,UNKNOWN,%,,2022-09-02T20:30:00+09:30,2022-09-02T11:00:00+00:00,,20220902,1100,41.900000000000006,RH_2m
