section,model,seed,split,scope,horizon,n,rmse_kw,mae_kw,bias_kw,r2,diff_mae_kw,change_amplitude_ratio,total_variation_ratio,peak_rate_ratio,direction_accuracy,true_change_predicted_flat_rate,true_flat_predicted_change_rate,baseline_parameters,inference_ms_per_sample,artifact_source,sse_share,actual_epochs,best_epoch,best_validation_total_loss,stop_reason,numerically_finite,training_seconds,mean_epoch_seconds,backbone_parameters,delta_head_parameters,anchor_head_parameters,total_parameters,parameter_increase_pct,anchor_rmse_kw,anchor_bias_kw,constraint_max_abs_scaled,preprojection_rmse_kw,postprojection_rmse_kw,mean_correction_norm_scaled,correction_to_raw_increment_norm_ratio,projection_tv_ratio,preprojection_tv_ratio
lead_time,TRAJECTORY_ONLY,42,validation,full_timeline,11,17485,0.4941036105155945,0.22556781768798828,0.010749259032309055,0.9380791678239966,0.11837255954742432,0.44896841049194336,0.44896844029426575,0.4189448058605194,0.364972573894507,0.08354173707333559,0.11328671328671329,74444,0.020657689448100824,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\best_validation.pt,,,,,,,,,,,,,,,,,,,,,,
lead_time,TRAJECTORY_ONLY,42,validation,full_timeline,12,17485,0.5011023879051208,0.23328496515750885,0.010383239947259426,0.9363125895832729,0.11858777701854706,0.4468023180961609,0.4468022882938385,0.4085172116756439,0.3636688590220189,0.0859069678772281,0.1117672290534744,74444,0.020657689448100824,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\best_validation.pt,,,,,,,,,,,,,,,,,,,,,,
scenario,TRAJECTORY_ONLY,42,validation,full_timeline,12,17485,0.4413650929927826,0.19566038250923157,-0.005385241471230984,0.9505920768723074,0.11858777701854706,0.4468023180961609,0.4468022882938385,0.4085172116756439,0.3636688590220189,0.0859069678772281,0.1117672290534744,74444,0.020657689448100824,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\best_validation.pt,1.0,,,,,,,,,,,,,,,,,,,,,
scenario,TRAJECTORY_ONLY,42,validation,daylight,12,9032,0.6132375001907349,0.35557740926742554,-0.009225262328982353,0.903622333789303,0.21151843667030334,0.367336630821228,0.3673366606235504,0.33722248673439026,0.6952133156185415,0.16600236197224683,0.1251291703572483,74444,0.020657689448100824,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\best_validation.pt,0.9971941709518433,,,,,,,,,,,,,,,,,,,,,
scenario,TRAJECTORY_ONLY,42,validation,high_change_daylight,12,6623,0.7088217735290527,0.4439793527126312,-0.02077120542526245,0.8301097566131713,0.2729738652706146,0.3180883824825287,0.3180884122848511,0.2925551235675812,0.7028914389249584,0.17037847903769693,0.07892948814736524,74444,0.020657689448100824,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\best_validation.pt,0.9769386053085327,,,,,,,,,,,,,,,,,,,,,
scenario,TRAJECTORY_ONLY,42,validation,midday,12,3660,0.7747815847396851,0.4703299403190613,-0.023668991401791573,0.721477900945773,0.2869430184364319,0.2577727138996124,0.2577727437019348,0.2945628762245178,0.6356785063752277,0.23652094717668487,0.16514116575591986,74444,0.020657689448100824,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\best_validation.pt,0.6450272798538208,,,,,,,,,,,,,,,,,,,,,
scenario,TRAJECTORY_ONLY,42,validation,sunrise,12,2917,0.4017311930656433,0.2263595014810562,-0.009719761088490486,0.9074657664581801,0.11796160042285919,0.540347158908844,0.540347158908844,0.3851628303527832,0.5844474917152326,0.08399040109701748,0.10521654668037939,74444,0.020657689448100824,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\best_validation.pt,0.13821205496788025,,,,,,,,,,,,,,,,,,,,,
scenario,TRAJECTORY_ONLY,42,validation,sunset,12,2928,0.20196384191513062,0.10388561338186264,-8.559031266486272e-05,0.9153744291010445,0.0626281127333641,0.8398482799530029,0.8398482203483582,0.7603133320808411,0.41310906193078323,0.052709471766848814,0.15126935336976322,74444,0.020657689448100824,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\best_validation.pt,0.035063616931438446,,,,,,,,,,,,,,,,,,,,,
scenario,TRAJECTORY_ONLY,42,validation,stable_low_change,12,7947,0.030758194625377655,0.023725513368844986,-0.0008179043070413172,nan,0.0189960990101099,18996099072.0,1811543788355584.0,47901593600.0,0.0,0.0,0.09141814521202969,74444,0.020657689448100824,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\best_validation.pt,0.0022073101717978716,,,,,,,,,,,,,,,,,,,,,
scenario,TRAJECTORY_ONLY,42,validation,h9_h12,9-12,17485,0.4893399178981781,0.22320561110973358,0.004724903032183647,0.9392673856144562,0.14534804224967957,0.7783191204071045,0.7783191800117493,1.0671488046646118,0.3442951100943666,0.08358593079782671,0.16338289962825278,74444,0.020657689448100824,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\best_validation.pt,0.4097360074520111,,,,,,,,,,,,,,,,,,,,,
scenario,TRAJECTORY_ONLY,42,validation,high_hf_irradiance_volatility,12,9346,0.6025038957595825,0.3433600068092346,-0.010712194256484509,0.9100098607408235,0.20493966341018677,0.37157294154167175,0.37157300114631653,0.34219369292259216,0.6672105713674299,0.15619873029460019,0.12912832584349812,74444,0.020657689448100824,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\best_validation.pt,0.996056318283081,,,,,,,,,,,,,,,,,,,,,
scenario,TRAJECTORY_ONLY,42,validation,low_hf_irradiance_volatility,12,8139,0.04062547907233238,0.026057159528136253,0.0007316894480027258,-0.43755069825987847,0.019430065527558327,18.03862190246582,18.038619995117188,10.375299453735352,0.015112421673424253,0.005191055412212803,0.09183151083261662,74444,0.020657689448100824,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\best_validation.pt,0.00394372409209609,,,,,,,,,,,,,,,,,,,,,
lead_time,ALICD,42,validation,full_timeline,1,17485,0.30881673097610474,0.1207287609577179,0.008992300368845463,0.9758118672720253,0.1207287609577179,0.5530895590782166,0.5530896186828613,0.5530895590782166,0.3094652559336574,0.10340291678581641,0.09144981412639405,74444,0.0300107921075175,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_alicd_screen\results\ALICD\42\best_validation.pt,,14,9,0.06450561877758498,early_stopping,True,66.27260550000005,4.7223184142857235,19136,55308,13827,88271,18.573692977271516,,,,,,,,,
lead_time,ALICD,42,validation,full_timeline,2,17485,0.3784348666667938,0.16748672723770142,0.02197425067424774,0.963676889756806,0.12074635177850723,0.5143624544143677,0.5143624544143677,0.43856653571128845,0.31186731484129254,0.10820703460108665,0.07929653989133544,74444,0.0300107921075175,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_alicd_screen\results\ALICD\42\best_validation.pt,,14,9,0.06450561877758498,early_stopping,True,66.27260550000005,4.7223184142857235,19136,55308,13827,88271,18.573692977271516,,,,,,,,,
