section,split,seed,scope,horizon,value,n,rmse_kw,mae_kw,bias_kw,r2,diff_mae_kw,prediction_to_truth_std_ratio,prediction_to_truth_change_amplitude_ratio,change_direction_accuracy,sse_share,mean_window_bias_kw,mean_peak_error_kw,mean_max_abs_error_kw,mean_energy_sum_error_kw_steps,mean_true_tv_kw,mean_pred_tv_kw,aggregate_tv_ratio,mean_peak_rate_ratio,dominant_best_lag_steps,mean_best_lag_steps,raw_window_rmse_kw,lag_aligned_window_rmse_kw,lag_alignment_gain_kw,tv_ratio,event_count,event_rate,threshold_kw,prediction_shape,labels_finite,predictions_finite,checkpoint_epoch,checkpoint_validation_rmse_kw,target_center,target_scale,saved_prediction_max_abs_difference_kw,artifact_source,train_spearman,validation_spearman,uses_only_origin_or_past,validation_r2,validation_mae_kw,baseline_mae_kw
lead_time,test,42,full_timeline,11,,17401,0.5333211020716192,0.2592962682247162,-0.007018410600721836,0.9145956321125988,0.13735581934452057,0.9718829393386841,0.41791343688964844,0.3838285156025516,0.1021224781870842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead_time,test,42,full_timeline,12,,17401,0.539131519487826,0.27145111560821533,-0.0056910733692348,0.9127062939787967,0.13838906586170197,0.9573336839675903,0.3508762717247009,0.3670478708120223,0.10435980558395386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failure_type,test,42,all_windows,12,,17401,,,,,,,,,,-0.02715034782886505,-0.1917097270488739,0.4785337448120117,-0.3258041739463806,1.5884896516799927,0.6190808415412903,0.38972923159599304,0.4070338010787964,-3,-0.6320901097638066,0.271472692489624,0.2150566130876541,0.056416090577840805,,,,,,,,,,,,,,,,,,,
scenario,test,42,full_timeline,12,,17401,0.4817674653906419,0.2312507927417755,-0.02715034782886505,0.9303750158137819,0.13729938864707947,,,,1.0,,,,,,,,,,,,,,0.38972923159599304,,,,,,,,,,,,,,,,,,
scenario,test,42,daylight,12,,9655,0.6460213054370796,0.39609628915786743,-0.04011810943484306,0.8794250230542803,0.2310740202665329,,,,0.9976927638053894,,,,,,,,,,,,,,0.32122528553009033,,,,,,,,,,,,,,,,,,
scenario,test,42,sunrise,12,,2875,0.42820191632180093,0.2541980445384979,-0.10009540617465973,0.8876413599865898,0.10859955102205276,,,,0.13052266836166382,,,,,,,,,,,,,,0.5563923120498657,,,,,,,,,,,,,,,,,,
scenario,test,42,sunset,12,,2928,0.23714140780917226,0.13264362514019012,0.01698981784284115,0.8731383215847198,0.07600759714841843,,,,0.04076962545514107,,,,,,,,,,,,,,0.7024996876716614,,,,,,,,,,,,,,,,,,
scenario,test,42,stable_low_change,12,,7229,0.03305781346864857,0.02479064092040062,-0.010577692650258541,nan,0.02011197805404663,,,,0.001956038177013397,,,,,,,,,,,,,,1744674100346880.0,,,,,,,,,,,,,,,,,,
scenario,test,42,medium_change,12,,2806,0.1363185474780597,0.09271854162216187,-0.05124830827116966,0.9970107837036155,0.03739296272397041,,,,0.012910660356283188,,,,,,,,,,,,,,1.5581557750701904,,,,,,,,,,,,,,,,,,
scenario,test,42,high_change,12,,7366,0.7349473467930447,0.4866434335708618,-0.0342349037528038,0.7876676670875564,0.2903655469417572,,,,0.9851333498954773,,,,,,,,,,,,,,0.2843579053878784,,,,,,,,,,,,,,,,,,
