evaluated_targets,rmse,mae,r2,nrmse,horizon,scope,prefix_source,model,seed,dataset,parameters,actual_epochs,best_epoch,best_validation_loss,training_seconds
36,0.1566164642572403,0.1323306560516357,-14.65787410736084,0.0259434739560122,12,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,42,Qcells,1496832,15,15,0.0179404853999865,31.76795870000205
144912,0.5234789848327637,0.3496091663837433,0.2425177097320556,0.0867141489493862,48,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,42,Qcells,1496832,15,15,0.0179404853999865,31.76795870000205
14871,1.15043842792511,0.9192809462547302,-0.0906596183776855,0.1905698071682206,48,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,42,Qcells,1496832,15,15,0.0179404853999865,31.76795870000205
289824,0.8525627851486206,0.5806321501731873,0.694007933139801,0.1412267893881151,96,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,42,Qcells,1496832,15,15,0.0179404853999865,31.76795870000205
77007,1.401969075202942,1.176324725151062,0.2432129979133606,0.2322357892713102,96,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,42,Qcells,1496832,15,15,0.0179404853999865,31.76795870000205
434736,0.8547552824020386,0.6081063151359558,0.8049200773239136,0.1415899759513059,144,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,42,Qcells,1496832,15,15,0.0179404853999865,31.76795870000205
187271,1.1663213968276978,0.9608725309371948,0.4319980144500732,0.1932008165708569,144,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,42,Qcells,1496832,15,15,0.0179404853999865,31.76795870000205
50124,0.1335204094648361,0.09101103246212,0.9926295280456544,0.0220408286221527,12,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,43,Sanyo,1496832,15,15,0.0177104802569374,32.39835899999889
9219,0.2041942328214645,0.1478849649429321,0.9841660261154176,0.0337072819750087,12,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,43,Sanyo,1496832,15,15,0.0177104802569374,32.39835899999889
200496,0.5932322144508362,0.3582064211368561,0.8608793020248413,0.0979275724532178,48,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,43,Sanyo,1496832,15,15,0.0177104802569374,32.39835899999889
49254,1.0290558338165283,0.7291173338890076,0.644253134727478,0.1698709835199384,48,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,43,Sanyo,1496832,15,15,0.0177104802569374,32.39835899999889
400992,0.9377172589302064,0.6020923852920532,0.749332070350647,0.1547933045064444,96,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,43,Sanyo,1496832,15,15,0.0177104802569374,32.39835899999889
136926,1.4680914878845217,1.1733732223510742,0.2327877879142761,0.2423446199408621,96,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,43,Sanyo,1496832,15,15,0.0177104802569374,32.39835899999889
601488,0.9378678798675536,0.6414162516593933,0.7928583025932312,0.1548181681979226,144,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,43,Sanyo,1496832,15,15,0.0177104802569374,32.39835899999889
263547,1.304016351699829,1.062927484512329,0.3582985401153564,0.215259981927109,144,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,43,Sanyo,1496832,15,15,0.0177104802569374,32.39835899999889
54420,0.1735251545906067,0.109220951795578,0.9886319041252136,0.0297699680249566,12,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,43,Hanwha,1496832,15,15,0.0177104802569374,32.39835899999889
14617,0.2778219878673553,0.1943719536066055,0.9660738110542296,0.0476631282360993,12,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,43,Hanwha,1496832,15,15,0.0177104802569374,32.39835899999889
217680,0.56840580701828,0.339516133069992,0.8819783926010132,0.0975156756958732,48,regular_full_timeline,same_H144_prediction,JointEarlyFusionModernTCN,43,Hanwha,1496832,15,15,0.0177104802569374,32.39835899999889
68044,0.8934189081192017,0.5948924422264099,0.6789793372154236,0.1532749092795798,48,predefined_daylight,same_H144_prediction,JointEarlyFusionModernTCN,43,Hanwha,1496832,15,15,0.0177104802569374,32.39835899999889
