model,seed,split,horizon_steps,horizon_hours,scope,rmse_kw,mae_kw,train_range_nrmse,r2,valid_target_count,window_count,parameter_count,trainable_parameter_count,inference_seconds,inference_ms_per_sample,actual_epochs,best_epoch,best_validation_mse,training_seconds,mean_epoch_seconds,stop_reason,peak_gpu_memory_mb,numerically_finite
HISTORY_ONLY,42,validation,12,1.0,regular_full_timeline,15.704449653625488,2.0684235095977783,2.5969782130437866,-77.14124221364347,713088,59424,683856,683856,4.091341700001067,0.06884998822026565,10,5,2.1767980711956314,105.85790730000008,10.561525889999576,early_stopping,97.19775390625,True
HISTORY_ONLY,42,validation,12,1.0,daylight,23.151594161987305,4.058999061584473,3.828480905857955,-156.70985614385663,303546,59424,683856,683856,4.091341700001067,0.06884998822026565,10,5,2.1767980711956314,105.85790730000008,10.561525889999576,early_stopping,97.19775390625,True
HISTORY_ONLY,42,validation,12,1.0,high_change_daylight,31.33385467529297,7.383434772491455,5.181546613677761,-431.0209626267414,93058,59424,683856,683856,4.091341700001067,0.06884998822026565,10,5,2.1767980711956314,105.85790730000008,10.561525889999576,early_stopping,97.19775390625,True
HISTORY_ONLY,42,validation,48,4.0,regular_full_timeline,13.782666206359863,2.013274669647217,2.279181037541693,-59.54710339750561,2852352,59424,683856,683856,4.091341700001067,0.06884998822026565,10,5,2.1767980711956314,105.85790730000008,10.561525889999576,early_stopping,97.19775390625,True
HISTORY_ONLY,42,validation,48,4.0,daylight,18.496639251708984,3.285879373550415,3.058710761005843,-102.35265697654744,1289950,59424,683856,683856,4.091341700001067,0.06884998822026565,10,5,2.1767980711956314,105.85790730000008,10.561525889999576,early_stopping,97.19775390625,True
HISTORY_ONLY,42,validation,48,4.0,high_change_daylight,25.12583351135254,5.432152271270752,4.154952491345934,-278.5277501445556,384504,59424,683856,683856,4.091341700001067,0.06884998822026565,10,5,2.1767980711956314,105.85790730000008,10.561525889999576,early_stopping,97.19775390625,True
HISTORY_ONLY,42,validation,96,8.0,regular_full_timeline,10.34626579284668,1.6801018714904785,1.710918080098408,-29.211670824600812,5704704,59424,683856,683856,4.091341700001067,0.06884998822026565,10,5,2.1767980711956314,105.85790730000008,10.561525889999576,early_stopping,97.19775390625,True
HISTORY_ONLY,42,validation,96,8.0,daylight,12.878591537475586,2.5104029178619385,2.129678045087881,-48.38596476033534,2819151,59424,683856,683856,4.091341700001067,0.06884998822026565,10,5,2.1767980711956314,105.85790730000008,10.561525889999576,early_stopping,97.19775390625,True
HISTORY_ONLY,42,validation,96,8.0,high_change_daylight,17.775951385498047,3.5501506328582764,2.939533666091043,-138.89983703156943,800759,59424,683856,683856,4.091341700001067,0.06884998822026565,10,5,2.1767980711956314,105.85790730000008,10.561525889999576,early_stopping,97.19775390625,True
HISTORY_ONLY,42,validation,144,12.0,regular_full_timeline,8.938526153564453,1.5955713987350464,1.4781261482900827,-19.8351211230205,8557056,59424,683856,683856,4.091341700001067,0.06884998822026565,10,5,2.1767980711956314,105.85790730000008,10.561525889999576,early_stopping,97.19775390625,True
HISTORY_ONLY,42,validation,144,12.0,daylight,10.370702743530273,2.2002179622650146,1.714959114959115,-30.840523310735747,4411647,59424,683856,683856,4.091341700001067,0.06884998822026565,10,5,2.1767980711956314,105.85790730000008,10.561525889999576,early_stopping,97.19775390625,True
HISTORY_ONLY,42,validation,144,12.0,high_change_daylight,14.470427513122559,2.8217790126800537,2.3929132070115675,-91.63006951474928,1216715,59424,683856,683856,4.091341700001067,0.06884998822026565,10,5,2.1767980711956314,105.85790730000008,10.561525889999576,early_stopping,97.19775390625,True
HISTORY_ONLY,43,validation,12,1.0,regular_full_timeline,11.8566312789917,1.7318451404571533,1.9606808128119604,-43.54074564631619,713088,59424,683856,683856,4.390315000000555,0.07388117595585211,8,3,0.9539867726108658,84.74573919999966,10.570591337499764,early_stopping,99.81005859375,True
HISTORY_ONLY,43,validation,12,1.0,daylight,17.73818016052246,3.392545700073242,2.9332875988613694,-91.57959173188857,303546,59424,683856,683856,4.390315000000555,0.07388117595585211,8,3,0.9539867726108658,84.74573919999966,10.570591337499764,early_stopping,99.81005859375,True
HISTORY_ONLY,43,validation,12,1.0,high_change_daylight,24.417509078979492,6.168264865875244,4.037819885033,-261.34931756279764,93058,59424,683856,683856,4.390315000000555,0.07388117595585211,8,3,0.9539867726108658,84.74573919999966,10.570591337499764,early_stopping,99.81005859375,True
HISTORY_ONLY,43,validation,48,4.0,regular_full_timeline,9.202861785888672,1.4907954931259155,1.5218382103628005,-25.994335479262794,2852352,59424,683856,683856,4.390315000000555,0.07388117595585211,8,3,0.9539867726108658,84.74573919999966,10.570591337499764,early_stopping,99.81005859375,True
HISTORY_ONLY,43,validation,48,4.0,daylight,12.70903205871582,2.4697320461273193,2.101638713441992,-47.79338308796176,1289950,59424,683856,683856,4.390315000000555,0.07388117595585211,8,3,0.9539867726108658,84.74573919999966,10.570591337499764,early_stopping,99.81005859375,True
HISTORY_ONLY,43,validation,48,4.0,high_change_daylight,17.56536865234375,4.0331034660339355,2.9047104929072143,-135.61503755567207,384504,59424,683856,683856,4.390315000000555,0.07388117595585211,8,3,0.9539867726108658,84.74573919999966,10.570591337499764,early_stopping,99.81005859375,True
HISTORY_ONLY,43,validation,96,8.0,regular_full_timeline,6.8127665519714355,1.2720184326171875,1.1265983015163343,-12.099492686848041,5704704,59424,683856,683856,4.390315000000555,0.07388117595585211,8,3,0.9539867726108658,84.74573919999966,10.570591337499764,early_stopping,99.81005859375,True
HISTORY_ONLY,43,validation,96,8.0,daylight,8.785399436950684,1.9411646127700806,1.4528042328042328,-21.982106821672577,2819151,59424,683856,683856,4.390315000000555,0.07388117595585211,8,3,0.9539867726108658,84.74573919999966,10.570591337499764,early_stopping,99.81005859375,True
HISTORY_ONLY,43,validation,96,8.0,high_change_daylight,12.339958190917969,2.677093505859375,2.040606533721288,-66.41846339706933,800759,59424,683856,683856,4.390315000000555,0.07388117595585211,8,3,0.9539867726108658,84.74573919999966,10.570591337499764,early_stopping,99.81005859375,True
HISTORY_ONLY,43,validation,144,12.0,regular_full_timeline,5.917139053344727,1.2757797241210938,0.9784921817708703,-8.130356862707334,8557056,59424,683856,683856,4.390315000000555,0.07388117595585211,8,3,0.9539867726108658,84.74573919999966,10.570591337499764,early_stopping,99.81005859375,True
HISTORY_ONLY,43,validation,144,12.0,daylight,7.125827312469482,1.8148460388183594,1.178367831318651,-14.032609012948086,4411647,59424,683856,683856,4.390315000000555,0.07388117595585211,8,3,0.9539867726108658,84.74573919999966,10.570591337499764,early_stopping,99.81005859375,True
HISTORY_ONLY,43,validation,144,12.0,high_change_daylight,10.072173118591309,2.2375805377960205,1.665592537395816,-43.87822329906649,1216715,59424,683856,683856,4.390315000000555,0.07388117595585211,8,3,0.9539867726108658,84.74573919999966,10.570591337499764,early_stopping,99.81005859375,True
HISTORY_ONLY,44,validation,12,1.0,regular_full_timeline,4.553354263305664,0.9339374303817749,0.7529688769033032,-5.568977027318534,713088,59424,683856,683856,4.1250001000007614,0.06941639909802036,12,7,0.44995019327681274,129.30722790000073,10.750480583333834,early_stopping,100.23193359375,True
HISTORY_ONLY,44,validation,12,1.0,daylight,6.356607437133789,1.5628020763397217,1.0511652039520891,-10.889068673054727,303546,59424,683856,683856,4.1250001000007614,0.06941639909802036,12,7,0.44995019327681274,129.30722790000073,10.750480583333834,early_stopping,100.23193359375,True
HISTORY_ONLY,44,validation,12,1.0,high_change_daylight,8.723089218139648,2.5627217292785645,1.442500256270748,-32.48249143236267,93058,59424,683856,683856,4.1250001000007614,0.06941639909802036,12,7,0.44995019327681274,129.30722790000073,10.750480583333834,early_stopping,100.23193359375,True
HISTORY_ONLY,44,validation,48,4.0,regular_full_timeline,5.102019309997559,1.136182427406311,0.843699287961583,-7.296807834944456,2852352,59424,683856,683856,4.1250001000007614,0.06941639909802036,12,7,0.44995019327681274,129.30722790000073,10.750480583333834,early_stopping,100.23193359375,True
HISTORY_ONLY,44,validation,48,4.0,daylight,6.391173362731934,1.7687503099441528,1.056881224422208,-11.339490387611404,1289950,59424,683856,683856,4.1250001000007614,0.06941639909802036,12,7,0.44995019327681274,129.30722790000073,10.750480583333834,early_stopping,100.23193359375,True
