evaluated_targets,rmse,mae,r2,nrmse,horizon,scope,prefix_source,dataset,model,seed,checkpoint,prediction_file,parameter_count,actual_epochs,best_epoch,best_validation_mse,training_seconds,numerically_finite
50124,0.26215171813964844,0.1733255386352539,0.9715876579284668,0.04327459087099781,12,regular_full_timeline,same_H144_prediction,Sanyo,GFNODE,44,results\Sanyo\GFNODE\seed_44\validation_best.pt,results\Sanyo\GFNODE\seed_44\test_H144_predictions_and_labels.npz,98738,9,4,0.019867780494193236,624.1349688999981,True
9219,0.5084620714187622,0.43409276008605957,0.901820719242096,0.08393417472223366,12,predefined_daylight,same_H144_prediction,Sanyo,GFNODE,44,results\Sanyo\GFNODE\seed_44\validation_best.pt,results\Sanyo\GFNODE\seed_44\test_H144_predictions_and_labels.npz,98738,9,4,0.019867780494193236,624.1349688999981,True
200496,0.6801412105560303,0.3382759094238281,0.8171309232711792,0.11227404050672098,48,regular_full_timeline,same_H144_prediction,Sanyo,GFNODE,44,results\Sanyo\GFNODE\seed_44\validation_best.pt,results\Sanyo\GFNODE\seed_44\test_H144_predictions_and_labels.npz,98738,9,4,0.019867780494193236,624.1349688999981,True
49254,1.3275810480117798,0.9301371574401855,0.4079132676124573,0.21914991482221122,48,predefined_daylight,same_H144_prediction,Sanyo,GFNODE,44,results\Sanyo\GFNODE\seed_44\validation_best.pt,results\Sanyo\GFNODE\seed_44\test_H144_predictions_and_labels.npz,98738,9,4,0.019867780494193236,624.1349688999981,True
400992,1.090670108795166,0.5714417099952698,0.6608890891075134,0.1800419355184043,96,regular_full_timeline,same_H144_prediction,Sanyo,GFNODE,44,results\Sanyo\GFNODE\seed_44\validation_best.pt,results\Sanyo\GFNODE\seed_44\test_H144_predictions_and_labels.npz,98738,9,4,0.019867780494193236,624.1349688999981,True
136926,1.8453364372253418,1.4047672748565674,-0.21216118335723877,0.30461818029257376,96,predefined_daylight,same_H144_prediction,Sanyo,GFNODE,44,results\Sanyo\GFNODE\seed_44\validation_best.pt,results\Sanyo\GFNODE\seed_44\test_H144_predictions_and_labels.npz,98738,9,4,0.019867780494193236,624.1349688999981,True
601488,1.0369584560394287,0.5839198231697083,0.7467747926712036,0.17117550574825321,144,regular_full_timeline,same_H144_prediction,Sanyo,GFNODE,44,results\Sanyo\GFNODE\seed_44\validation_best.pt,results\Sanyo\GFNODE\seed_44\test_H144_predictions_and_labels.npz,98738,9,4,0.019867780494193236,624.1349688999981,True
263547,1.5280338525772095,1.1445112228393555,0.11888426542282104,0.2522395820121555,144,predefined_daylight,same_H144_prediction,Sanyo,GFNODE,44,results\Sanyo\GFNODE\seed_44\validation_best.pt,results\Sanyo\GFNODE\seed_44\test_H144_predictions_and_labels.npz,98738,9,4,0.019867780494193236,624.1349688999981,True
50124,0.11158989369869232,0.05860383063554764,0.99485182762146,0.01842065743233707,12,regular_full_timeline,same_H144_prediction,Sanyo,Discrete,42,results\Sanyo\Discrete\seed_42\validation_best.pt,results\Sanyo\Discrete\seed_42\test_H144_predictions_and_labels.npz,98802,14,9,0.01698268544860184,540.0971083000004,True
9219,0.23298069834709167,0.15600813925266266,0.9793869256973267,0.03845919635147683,12,predefined_daylight,same_H144_prediction,Sanyo,Discrete,42,results\Sanyo\Discrete\seed_42\validation_best.pt,results\Sanyo\Discrete\seed_42\test_H144_predictions_and_labels.npz,98802,14,9,0.01698268544860184,540.0971083000004,True
