section,task,scope,horizon,model,seed,n,positive_count,prevalence,auroc,auprc,brier,spearman_abs_change,f1_at_0_5,precision_at_0_5,recall_at_0_5,ece_10bin
prevalence,ramp_step,validation_full_timeline,7,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,8,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,9,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,10,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,11,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_step,validation_full_timeline,12,LABELS,,17485,2464,0.14092078924792678,1.0,1.0,0.0,0.642818914134945,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,all12,LABELS,,209820,8352,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_daylight,all12,LABELS,,99960,8340,0.08343337334933974,1.0,1.0,0.0,0.3313425290960133,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,1,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,2,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,3,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,4,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,5,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,6,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,7,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,8,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,9,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,10,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,11,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_onset,validation_full_timeline,12,LABELS,,17485,696,0.03980554761223906,1.0,1.0,0.0,0.3105301910177451,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,all12,LABELS,,208812,36486,0.1747313372794667,1.0,1.0,0.0,0.6908369831297324,nan,nan,nan,nan
prevalence,ramp_step,test_daylight,all12,LABELS,,107560,36486,0.3392153216809223,1.0,1.0,0.0,0.8200273614693733,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,1,LABELS,,17401,3046,0.1750474110683294,1.0,1.0,0.0,0.6912377396745907,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,2,LABELS,,17401,3045,0.174989943106718,1.0,1.0,0.0,0.6911618580640624,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,3,LABELS,,17401,3044,0.1749324751451066,1.0,1.0,0.0,0.691085949794911,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,4,LABELS,,17401,3043,0.1748750071834952,1.0,1.0,0.0,0.6910235460120514,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,5,LABELS,,17401,3042,0.1748175392218838,1.0,1.0,0.0,0.6909475869160118,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,6,LABELS,,17401,3041,0.1747600712602724,1.0,1.0,0.0,0.6908716011298839,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,7,LABELS,,17401,3040,0.174702603298661,1.0,1.0,0.0,0.6908091313564181,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,8,LABELS,,17401,3039,0.1746451353370496,1.0,1.0,0.0,0.690733094539234,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,9,LABELS,,17401,3038,0.17458766737543818,1.0,1.0,0.0,0.690657030985657,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,10,LABELS,,17401,3037,0.1745301994138268,1.0,1.0,0.0,0.6905809406828582,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,11,LABELS,,17401,3036,0.1744727314522154,1.0,1.0,0.0,0.6905048236179983,nan,nan,nan,nan
prevalence,ramp_step,test_full_timeline,12,LABELS,,17401,3035,0.174415263490604,1.0,1.0,0.0,0.6904286797782268,nan,nan,nan,nan
prevalence,ramp_onset,test_full_timeline,all12,LABELS,,208812,11158,0.05343562630500163,1.0,1.0,0.0,0.33920823401664707,nan,nan,nan,nan
prevalence,ramp_onset,test_daylight,all12,LABELS,,107560,11158,0.10373744886574934,1.0,1.0,0.0,0.3430297063154925,nan,nan,nan,nan
prevalence,ramp_onset,test_full_timeline,1,LABELS,,17401,930,0.05344520429860353,1.0,1.0,0.0,0.3390360020644847,nan,nan,nan,nan
prevalence,ramp_onset,test_full_timeline,2,LABELS,,17401,930,0.05344520429860353,1.0,1.0,0.0,0.33905465448174926,nan,nan,nan,nan
prevalence,ramp_onset,test_full_timeline,3,LABELS,,17401,930,0.05344520429860353,1.0,1.0,0.0,0.3390877329241612,nan,nan,nan,nan
prevalence,ramp_onset,test_full_timeline,4,LABELS,,17401,930,0.05344520429860353,1.0,1.0,0.0,0.33912115119439495,nan,nan,nan,nan
prevalence,ramp_onset,test_full_timeline,5,LABELS,,17401,930,0.05344520429860353,1.0,1.0,0.0,0.33917480637455605,nan,nan,nan,nan
prevalence,ramp_onset,test_full_timeline,6,LABELS,,17401,930,0.05344520429860353,1.0,1.0,0.0,0.3392300147838224,nan,nan,nan,nan
prevalence,ramp_onset,test_full_timeline,7,LABELS,,17401,930,0.05344520429860353,1.0,1.0,0.0,0.3392851469471018,nan,nan,nan,nan
prevalence,ramp_onset,test_full_timeline,8,LABELS,,17401,930,0.05344520429860353,1.0,1.0,0.0,0.3393213459353846,nan,nan,nan,nan
prevalence,ramp_onset,test_full_timeline,9,LABELS,,17401,930,0.05344520429860353,1.0,1.0,0.0,0.3393467555636302,nan,nan,nan,nan
prevalence,ramp_onset,test_full_timeline,10,LABELS,,17401,930,0.05344520429860353,1.0,1.0,0.0,0.33936367267628437,nan,nan,nan,nan
prevalence,ramp_onset,test_full_timeline,11,LABELS,,17401,929,0.05338773633699213,1.0,1.0,0.0,0.33923086433009314,nan,nan,nan,nan
prevalence,ramp_onset,test_full_timeline,12,LABELS,,17401,929,0.05338773633699213,1.0,1.0,0.0,0.33924666603387843,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,all12,LAST_CHANGE,,208812,36486,0.1747313372794667,0.8832300641165151,0.6012683293116601,nan,0.8781518233306701,nan,nan,nan,nan
simple_baseline,ramp_step,daylight,all12,LAST_CHANGE,,107560,36486,0.3392153216809223,0.7336956039794145,0.6067719005078853,nan,0.46663715523820887,nan,nan,nan,nan
simple_baseline,ramp_step,sunrise_sunset_transition,all12,LAST_CHANGE,,69636,10077,0.14470963294847491,0.7668252729641194,0.41038015270907546,nan,0.68305015379736,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,1,LAST_CHANGE,,17401,3046,0.1750474110683294,0.9193533473618154,0.7113338513987373,nan,0.9347245909057463,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,2,LAST_CHANGE,,17401,3045,0.174989943106718,0.9034177593367071,0.665082895627972,nan,0.9178389479855741,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,3,LAST_CHANGE,,17401,3044,0.1749324751451066,0.8963088282767283,0.6425498804490628,nan,0.9089589596492088,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,4,LAST_CHANGE,,17401,3043,0.1748750071834952,0.8940029127933068,0.6294403177133082,nan,0.9028465782573984,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,5,LAST_CHANGE,,17401,3042,0.1748175392218838,0.8870661586272808,0.6098385895175681,nan,0.8933727278245105,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,6,LAST_CHANGE,,17401,3041,0.1747600712602724,0.8855034354078293,0.602130221875659,nan,0.8859304394978236,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,7,LAST_CHANGE,,17401,3040,0.174702603298661,0.8818627248872128,0.5936382988144115,nan,0.8761202148388542,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,8,LAST_CHANGE,,17401,3039,0.1746451353370496,0.8772559566465912,0.5811317679565005,nan,0.8662925544575023,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,9,LAST_CHANGE,,17401,3038,0.17458766737543818,0.8702808932706317,0.5670439486280396,nan,0.8553804526911958,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,10,LAST_CHANGE,,17401,3037,0.1745301994138268,0.867008120491475,0.558643229789259,nan,0.8447223394602309,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,11,LAST_CHANGE,,17401,3036,0.1744727314522154,0.8616360490450593,0.5471158777066172,nan,0.832573035643394,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,12,LAST_CHANGE,,17401,3035,0.174415263490604,0.8548789116532468,0.5282596152738792,nan,0.8190290127956293,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,all12,RECENT_MAX_6,,208812,36486,0.1747313372794667,0.917802295200053,0.6550591611332189,nan,0.8803473177640567,nan,nan,nan,nan
simple_baseline,ramp_step,daylight,all12,RECENT_MAX_6,,107560,36486,0.3392153216809223,0.8123008367799667,0.6594098588522493,nan,0.5280591803623591,nan,nan,nan,nan
simple_baseline,ramp_step,sunrise_sunset_transition,all12,RECENT_MAX_6,,69636,10077,0.14470963294847491,0.8157077039477899,0.4593471117895965,nan,0.6511155735319263,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,1,RECENT_MAX_6,,17401,3046,0.1750474110683294,0.9478614912683334,0.735830373833483,nan,0.9322823700947502,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,2,RECENT_MAX_6,,17401,3045,0.174989943106718,0.9385065935368104,0.7126235825199694,nan,0.9214231946243813,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,3,RECENT_MAX_6,,17401,3044,0.1749324751451066,0.9339225615035114,0.6980276314605638,nan,0.9137712257273105,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,4,RECENT_MAX_6,,17401,3043,0.1748750071834952,0.9292252039383317,0.6833264157728435,nan,0.9059656665377973,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,5,RECENT_MAX_6,,17401,3042,0.1748175392218838,0.924649905616011,0.6713653570772872,nan,0.8976983767281386,nan,nan,nan,nan
