row_type,run_id,dataset,site_id,model,seed,run_status,prediction_path,label_path,timestamp_path,mask_path,checkpoint_path,config_path,prediction_shape,label_shape,sample_count,forecast_horizon,parameter_count,split,window_count,notes
run_inventory,ModernTCN_Sanyo_43,Sanyo,17,ModernTCN,43,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Sanyo_43/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Sanyo_43/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Sanyo_43/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Sanyo_43/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Sanyo_43/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(4177, 144)","(4177, 144)",4177,144,,test,4177,
run_inventory,ModernTCN_Sanyo_44,Sanyo,17,ModernTCN,44,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Sanyo_44/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Sanyo_44/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Sanyo_44/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Sanyo_44/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/ModernTCN_Sanyo_44/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(4177, 144)","(4177, 144)",4177,144,,test,4177,
split_summary,,Sanyo,17,,,,,,,,,GFNODE_experiments/asoc_discrete_viability/config.json,,,20409,144,,train,20409,split-internal H144 windows
split_summary,,Sanyo,17,,,,,,,,,GFNODE_experiments/asoc_discrete_viability/config.json,,,3619,144,,validation,3619,split-internal H144 windows
split_summary,,Sanyo,17,,,,,,,,,GFNODE_experiments/asoc_discrete_viability/config.json,,,4177,144,,test,4177,split-internal H144 windows
run_inventory,Discrete Candidate_Hanwha_42,Hanwha,25,Discrete Candidate,42,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Hanwha_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Hanwha_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Hanwha_42/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Hanwha_42/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Hanwha_42/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(4535, 144)","(4535, 144)",4535,144,,test,4535,
run_inventory,Discrete Candidate_Hanwha_43,Hanwha,25,Discrete Candidate,43,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Hanwha_43/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Hanwha_43/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Hanwha_43/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Hanwha_43/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Hanwha_43/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(4535, 144)","(4535, 144)",4535,144,,test,4535,
run_inventory,Discrete Candidate_Hanwha_44,Hanwha,25,Discrete Candidate,44,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Hanwha_44/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Hanwha_44/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Hanwha_44/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Hanwha_44/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Hanwha_44/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(4535, 144)","(4535, 144)",4535,144,,test,4535,
run_inventory,iTransformer_Hanwha_42,Hanwha,25,iTransformer,42,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Hanwha_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Hanwha_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Hanwha_42/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Hanwha_42/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Hanwha_42/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(4535, 144)","(4535, 144)",4535,144,,test,4535,
run_inventory,iTransformer_Hanwha_43,Hanwha,25,iTransformer,43,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Hanwha_43/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Hanwha_43/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Hanwha_43/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Hanwha_43/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Hanwha_43/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(4535, 144)","(4535, 144)",4535,144,,test,4535,
run_inventory,iTransformer_Hanwha_44,Hanwha,25,iTransformer,44,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Hanwha_44/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Hanwha_44/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Hanwha_44/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Hanwha_44/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/iTransformer_Hanwha_44/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(4535, 144)","(4535, 144)",4535,144,,test,4535,
run_inventory,PatchTST_Hanwha_42,Hanwha,25,PatchTST,42,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Hanwha_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Hanwha_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Hanwha_42/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Hanwha_42/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Hanwha_42/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(4535, 144)","(4535, 144)",4535,144,,test,4535,
run_inventory,PatchTST_Hanwha_43,Hanwha,25,PatchTST,43,completed,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Hanwha_43/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Hanwha_43/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Hanwha_43/test_H144.npz::target_start,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Hanwha_43/test_H144.npz::implicit_valid+daylight_mask,GFNODE_experiments/asoc_discrete_viability/artifacts/PatchTST_Hanwha_43/best_validation.pt,GFNODE_experiments/asoc_discrete_viability/config.json,"(4535, 144)","(4535, 144)",4535,144,,test,4535,
