section,model,seed,scope,horizon,n,positive_count,prevalence,event_type,rmse_kw,mae_kw,diff_mae_kw,backbone_parameters,power_head_parameters,event_head_parameters,total_parameters,actual_epochs,best_epoch,stop_reason,numerically_finite,training_seconds,mean_epoch_seconds,inference_ms_per_sample,threshold_kw,step_pos_weight,artifact_source,best_validation_objective,auroc,auprc,brier,f1,precision,recall,miss_rate,onset_time_mae_steps,onset_time_mae_minutes,onset_time_n,up_count,down_count,up_recall,down_recall,direction_accuracy,identification_rate,probability_bin,mean_predicted_probability,observed_event_rate
power,TRAJECTORY_ONLY,43,full_timeline,6,,,,,0.44752299785614014,0.21256747841835022,0.13295644521713257,19136,55308,0,74444,reused,reused,reused,True,0,0,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\43\test_predictions.npz,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,43,full_timeline,12,,,,,0.4876216650009155,0.23452074825763702,0.13141803443431854,19136,55308,0,74444,reused,reused,reused,True,0,0,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\43\test_predictions.npz,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,43,daylight,12,,,,,0.6783857941627502,0.4270092844963074,0.13141803443431854,19136,55308,0,74444,reused,reused,reused,True,0,0,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\43\test_predictions.npz,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,43,ramp_step,12,,,,,0.972485363483429,0.7279741168022156,0.13141803443431854,19136,55308,0,74444,reused,reused,reused,True,0,0,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\43\test_predictions.npz,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,43,onset_near,12,,,,,0.8104481101036072,0.5665357708930969,0.13141803443431854,19136,55308,0,74444,reused,reused,reused,True,0,0,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\43\test_predictions.npz,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,44,full_timeline,3,,,,,0.4072774648666382,0.18773534893989563,0.13048310577869415,19136,55308,0,74444,reused,reused,reused,True,0,0,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\44\test_predictions.npz,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,44,full_timeline,6,,,,,0.44645193219184875,0.20687218010425568,0.1329408586025238,19136,55308,0,74444,reused,reused,reused,True,0,0,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\44\test_predictions.npz,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,44,full_timeline,12,,,,,0.49055272340774536,0.2345530092716217,0.13210412859916687,19136,55308,0,74444,reused,reused,reused,True,0,0,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\44\test_predictions.npz,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,44,daylight,12,,,,,0.6818392276763916,0.4201297461986542,0.13210412859916687,19136,55308,0,74444,reused,reused,reused,True,0,0,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\44\test_predictions.npz,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,44,ramp_step,12,,,,,0.9792927503585815,0.7342929244041443,0.13210412859916687,19136,55308,0,74444,reused,reused,reused,True,0,0,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\44\test_predictions.npz,,,,,,,,,,,,,,,,,,,,
power,TRAJECTORY_ONLY,44,onset_near,12,,,,,0.815226137638092,0.5667555332183838,0.13210412859916687,19136,55308,0,74444,reused,reused,reused,True,0,0,nan,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\44\test_predictions.npz,,,,,,,,,,,,,,,,,,,,
power,STEP_MULTITASK,42,full_timeline,3,,,,,0.4423670768737793,0.2237038016319275,0.14775501191616058,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,0.1797820584875518,,,,,,,,,,,,,,,,,,,
power,STEP_MULTITASK,42,full_timeline,6,,,,,0.4675629436969757,0.23614464700222015,0.1480925977230072,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,0.1797820584875518,,,,,,,,,,,,,,,,,,,
power,STEP_MULTITASK,42,full_timeline,12,,,,,0.5046685338020325,0.2711285352706909,0.1444772481918335,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,0.1797820584875518,,,,,,,,,,,,,,,,,,,
power,STEP_MULTITASK,42,daylight,12,,,,,0.6967645883560181,0.458055317401886,0.1444772481918335,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,0.1797820584875518,,,,,,,,,,,,,,,,,,,
power,STEP_MULTITASK,42,ramp_step,12,,,,,0.9705079197883606,0.7311652302742004,0.1444772481918335,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,0.1797820584875518,,,,,,,,,,,,,,,,,,,
