site,category,key,value
NIST_GROUND,file,01/onemin-Ground-2017-01-28.csv,"{""file"": ""01/onemin-Ground-2017-01-28.csv"", ""size"": 856393, ""mtime_ns"": 1485532800000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,01/onemin-Ground-2017-01-29.csv,"{""file"": ""01/onemin-Ground-2017-01-29.csv"", ""size"": 854345, ""mtime_ns"": 1485619200000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,01/onemin-Ground-2017-01-30.csv,"{""file"": ""01/onemin-Ground-2017-01-30.csv"", ""size"": 864093, ""mtime_ns"": 1485705600000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,01/onemin-Ground-2017-01-31.csv,"{""file"": ""01/onemin-Ground-2017-01-31.csv"", ""size"": 861889, ""mtime_ns"": 1485792000000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-01.csv,"{""file"": ""02/onemin-Ground-2017-02-01.csv"", ""size"": 850311, ""mtime_ns"": 1485878400000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-02.csv,"{""file"": ""02/onemin-Ground-2017-02-02.csv"", ""size"": 851505, ""mtime_ns"": 1485964800000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-03.csv,"{""file"": ""02/onemin-Ground-2017-02-03.csv"", ""size"": 863657, ""mtime_ns"": 1486051200000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-04.csv,"{""file"": ""02/onemin-Ground-2017-02-04.csv"", ""size"": 865573, ""mtime_ns"": 1486137600000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-05.csv,"{""file"": ""02/onemin-Ground-2017-02-05.csv"", ""size"": 855877, ""mtime_ns"": 1486224000000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-06.csv,"{""file"": ""02/onemin-Ground-2017-02-06.csv"", ""size"": 852597, ""mtime_ns"": 1486310400000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-07.csv,"{""file"": ""02/onemin-Ground-2017-02-07.csv"", ""size"": 850232, ""mtime_ns"": 1486396800000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-08.csv,"{""file"": ""02/onemin-Ground-2017-02-08.csv"", ""size"": 851870, ""mtime_ns"": 1486483200000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-09.csv,"{""file"": ""02/onemin-Ground-2017-02-09.csv"", ""size"": 860915, ""mtime_ns"": 1486569600000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-10.csv,"{""file"": ""02/onemin-Ground-2017-02-10.csv"", ""size"": 863447, ""mtime_ns"": 1486656000000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-11.csv,"{""file"": ""02/onemin-Ground-2017-02-11.csv"", ""size"": 855362, ""mtime_ns"": 1486742400000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-12.csv,"{""file"": ""02/onemin-Ground-2017-02-12.csv"", ""size"": 841958, ""mtime_ns"": 1486828800000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,02/onemin-Ground-2017-02-13.csv,"{""file"": ""02/onemin-Ground-2017-02-13.csv"", ""size"": 853388, ""mtime_ns"": 1486915200000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
