site,model,horizon,scope,analysis,RMSE_mean,RMSE_sample_sd,MAE_mean,MAE_sample_sd,bias_mean,bias_sample_sd,R2_mean,R2_sample_sd,nRMSE_mean,nRMSE_sample_sd,last_value_skill_mean,last_value_skill_sample_sd,daily_skill_mean,daily_skill_sample_sd,seed_count,forecast_origin_count,valid_target_count
YULARA_COMBINED,DISCRETE_RECURRENT_TRAJECTORY,12,full,primary,12.320301920271625,0.3691411626857822,5.896418497176502,0.25353535576726594,-0.7176013778360494,0.5568749175920621,0.8709017588425977,0.007669514737486971,0.11205067627336368,0.003357264877674828,0.010303416463668502,0.02965331125137665,,,3,26412,316944
YULARA_COMBINED,LAST_VALUE_PERSISTENCE,12,full,primary,12.448564666404499,0.0,6.029988013693925,0.0,1.5348841962646372e-06,0.0,0.8682785982621123,0.0,0.11321720023826913,0.0,0.0,0.0,,,3,26412,316944
YULARA_COMBINED,DISCRETE_RECURRENT_TRAJECTORY,12,full,supplementary_daily_matched,12.320301920271625,0.3691411626857822,5.896418497176502,0.25353535576726594,-0.7176013778360494,0.5568749175920621,0.8709017588425977,0.007669514737486971,0.11205067627336368,0.003357264877674828,0.010303416463668502,0.02965331125137665,0.23701214925775205,0.022860659110528547,3,26412,316944
YULARA_COMBINED,LAST_VALUE_PERSISTENCE,12,full,supplementary_daily_matched,12.448564666404499,0.0,6.029988013693925,0.0,1.5348841962646372e-06,0.0,0.8682785982621123,0.0,0.11321720023826913,0.0,0.0,0.0,0.22906892533065015,0.0,3,26412,316944
YULARA_COMBINED,DAILY_PERSISTENCE,12,full,supplementary_daily_matched,16.14744180826237,0.0,7.035908133713012,0.0,-0.16712150331596512,0.0,0.7783716870540149,0.0,0.14685774637742766,0.0,-0.2971328214119495,0.0,0.0,0.0,3,26412,316944
YULARA_COMBINED,DISCRETE_RECURRENT_TRAJECTORY,12,daylight,primary,16.67171692304232,1.0602795169802728,10.085612150054267,0.6991557457026644,-1.919896396963404,1.1310065143662185,0.729321576064725,0.033718858583587634,0.15162592345170292,0.009643029666420357,0.031388171634528894,0.06160129075256095,,,3,14784,164664
YULARA_COMBINED,LAST_VALUE_PERSISTENCE,12,daylight,primary,17.21196916537328,0.0,11.379806165319053,0.0,-0.20396409883986324,0.0,0.7122703384551583,0.0,0.1565394092983266,0.0,0.0,0.0,,,3,14784,164664
YULARA_COMBINED,DISCRETE_RECURRENT_TRAJECTORY,12,daylight,supplementary_daily_matched,16.67171692304232,1.0602795169802728,10.085612150054267,0.6991557457026644,-1.919896396963404,1.1310065143662185,0.729321576064725,0.033718858583587634,0.15162592345170292,0.009643029666420357,0.031388171634528894,0.06160129075256095,0.2524608535259834,0.047541620866405586,3,14784,164664
YULARA_COMBINED,LAST_VALUE_PERSISTENCE,12,daylight,supplementary_daily_matched,17.21196916537328,0.0,11.379806165319053,0.0,-0.20396409883986324,0.0,0.7122703384551583,0.0,0.1565394092983266,0.0,0.0,0.0,0.2282366118370801,0.0,3,14784,164664
YULARA_COMBINED,DAILY_PERSISTENCE,12,daylight,supplementary_daily_matched,22.302132271840573,0.0,13.413912702573825,0.0,-0.43993728576686003,0.0,0.5169230778808085,0.0,0.20283342239251312,0.0,-0.2957339196672273,0.0,0.0,0.0,3,14784,164664
