site,model,seed,horizon,scope,analysis,forecast_origin_count,valid_target_count,RMSE,MAE,bias,R2,nRMSE,last_value_skill,daily_skill,parameter_count,best_epoch,best_validation_mse,training_seconds
YULARA_COMBINED,DISCRETE_RECURRENT_TRAJECTORY,42,12,full,primary,26412,316944,12.48448941973242,5.869844014145991,-0.788282170244504,0.8675172435179399,0.1135439286684161,-0.002885855059649778,,96562.0,8.0,0.04234512870140635,1394.8261681000004
YULARA_COMBINED,LAST_VALUE_PERSISTENCE,42,12,full,primary,26412,316944,12.448564666404499,6.029988013693925,1.5348841962646372e-06,0.8682785982621122,0.11321720023826912,0.0,,,,,
YULARA_COMBINED,DISCRETE_RECURRENT_TRAJECTORY,42,12,full,supplementary_daily_matched,26412,316944,12.48448941973242,5.869844014145991,-0.788282170244504,0.8675172435179399,0.1135439286684161,-0.002885855059649778,0.2268441299881745,96562.0,8.0,0.04234512870140635,1394.8261681000004
YULARA_COMBINED,LAST_VALUE_PERSISTENCE,42,12,full,supplementary_daily_matched,26412,316944,12.448564666404499,6.029988013693925,1.5348841962646372e-06,0.8682785982621122,0.11321720023826912,0.0,0.22906892533065015,,,,
YULARA_COMBINED,DAILY_PERSISTENCE,42,12,full,supplementary_daily_matched,26412,316944,16.14744180826237,7.035908133713012,-0.16712150331596512,0.7783716870540149,0.14685774637742766,-0.2971328214119495,0.0,,,,
YULARA_COMBINED,DISCRETE_RECURRENT_TRAJECTORY,42,12,daylight,primary,14784,164664,17.211631735676878,10.12491489141701,-2.1118305910726543,0.7122816198582016,0.15653634044287798,1.9604363286962467e-05,,96562.0,8.0,0.04234512870140635,1394.8261681000004
YULARA_COMBINED,LAST_VALUE_PERSISTENCE,42,12,daylight,primary,14784,164664,17.21196916537328,11.379806165319053,-0.20396409883986324,0.7122703384551583,0.1565394092983266,0.0,,,,,
YULARA_COMBINED,DISCRETE_RECURRENT_TRAJECTORY,42,12,daylight,supplementary_daily_matched,14784,164664,17.211631735676878,10.12491489141701,-2.1118305910726543,0.7122816198582016,0.15653634044287798,1.9604363286962467e-05,0.2282517417669132,96562.0,8.0,0.04234512870140635,1394.8261681000004
YULARA_COMBINED,LAST_VALUE_PERSISTENCE,42,12,daylight,supplementary_daily_matched,14784,164664,17.21196916537328,11.379806165319053,-0.20396409883986324,0.7122703384551583,0.1565394092983266,0.0,0.2282366118370801,,,,
YULARA_COMBINED,DAILY_PERSISTENCE,42,12,daylight,supplementary_daily_matched,14784,164664,22.302132271840573,13.413912702573825,-0.43993728576686003,0.5169230778808085,0.20283342239251312,-0.2957339196672273,0.0,,,,
