site,period,support,horizon,scope,method,origins,points,RMSE,MAE,bias,SSE
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,Original A,26204,314353,6.73231659243486,3.886274236985242,0.36899291292727227,14247762.626648325
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,Original B,26204,314353,5.810972203616182,2.8109005025886904,0.16022146708774396,10614882.848153543
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,Expanded A,26204,314353,23.284350521318096,20.768371873362078,2.011711350374916,170429930.29433393
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,Expanded B,26204,314353,8.896597061511402,6.722929049813535,0.9809174421128679,24880863.684380546
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,Inverted42,26204,314353,5.772945289678251,3.1934538620263044,-1.0758104690723131,10476410.152485255
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,Inverted43,26204,314353,6.1451812406479505,3.257642879321376,1.5489747549487463,11870991.706974776
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,Inverted44,26204,314353,5.977895996398159,3.069025466314537,1.0626395279598801,11233480.070650414
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,Daily,26204,314353,9.560814154330242,3.2934081268921522,0.0396037574795375,28734745.966258105
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,Last-value,26204,314353,8.817472920276673,4.236693960122083,-0.003901805470843414,24440263.19527213
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,power-active,Original A,12446,137209,9.386876354101023,5.734310483137517,-0.5593085625956783,12089958.043710407
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,power-active,Original B,12446,137209,8.527839763212695,5.068751163113809,0.17269854130165813,9978394.317367975
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,power-active,Expanded A,12446,137209,28.934319279013657,24.84455311457508,-18.12793779624405,114870665.72308373
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,power-active,Expanded B,12446,137209,12.095326782133979,10.393519374803757,-2.3553009642293667,20073255.46378825
