site,period,support,horizon,scope,method,origins,points,RMSE,MAE,bias,SSE
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,Original A,25319,292202,24.612320754739812,14.133683667898913,0.317495031839725,177006134.01603803
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,Original B,25319,292202,23.935831593105014,13.179263655824323,0.6870629122284536,167409548.5984962
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,Expanded A,25319,292202,24.61239744789231,14.133754800880942,0.3174540296641977,177007237.13668352
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,Expanded B,25319,292202,23.935831593105014,13.179263655824323,0.6870629122284536,167409548.5984962
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,Inverted42,25319,292202,23.91993489985184,13.984201431257816,-2.4704440200482978,167187256.38273382
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,Inverted43,25319,292202,23.783196952286445,13.774012775845232,-0.857825333193074,165281272.89557317
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,Inverted44,25319,292202,23.841849193431898,13.885390312033811,-2.297564561534044,166097485.32714453
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,Daily,25319,292202,51.21344169816518,25.3473261928392,0.163725537128425,766392259.2421732
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,full,Last-value,25319,292202,26.926907015605273,12.988242536327608,0.0010405253899699865,211863491.6376276
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,power-active,Original A,13616,146476,33.16390835754711,21.632689791888957,-3.1612684067293526,161100869.49512902
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,power-active,Original B,13616,146476,32.315482028242535,21.35956233379351,-0.7000905557560839,152963477.51304883
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,power-active,Expanded A,13616,146476,33.16399730604202,21.63278984621629,-3.161274743609231,161101733.6694557
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,power-active,Expanded B,13616,146476,32.315482028242535,21.35956233379351,-0.7000905557560839,152963477.51304883
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,power-active,Inverted42,13616,146476,32.517180514809596,21.65911033679503,-2.158124792826993,154878892.88600522
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,power-active,Inverted43,13616,146476,32.29896913746084,22.007549611081906,-2.0552183569920377,152807191.8139217
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,power-active,Inverted44,13616,146476,32.539012665754264,22.26381868809978,-3.3866758408678956,155086935.1846138
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,power-active,Daily,13616,146476,71.94619922734955,49.42502501024058,-0.7544456006444731,758197212.8138074
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,power-active,Last-value,13616,146476,37.809125638463314,25.211012534476637,-0.6062690297386603,209391833.57680064
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,low-power,Original A,13861,145726,10.447248523979214,6.5960828209837015,3.814162431122243,15905264.52090896
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,low-power,Original B,13861,145726,9.956492058634957,4.95686388396333,2.0813555667753647,14446071.08544736
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,low-power,Expanded A,13861,145726,10.447326998694228,6.596124883772526,3.8140865852410935,15905503.467227789
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,low-power,Expanded B,13861,145726,9.956492058634957,4.95686388396333,2.0813555667753647,14446071.08544736
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,low-power,Inverted42,13861,145726,9.190341187348155,6.269792493611351,-2.7843706434817794,12308363.496728394
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,low-power,Inverted43,13861,145726,9.25200287843727,5.4981008488169385,0.345730247513025,12474081.081651337
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,low-power,Inverted44,13861,145726,8.692325630426417,5.463841138841394,-1.2028480129997716,11010550.142530624
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,low-power,Daily,13861,145726,7.4990661933095195,1.145708005434857,1.0866221758642933,8195046.428365681
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,12,low-power,Last-value,13861,145726,4.118372944494181,0.7025662791814776,0.6114756872486722,2471658.0608269605
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,full,Original A,25333,1168305,39.65727765324718,27.139012615887623,-0.50012609212651,1837392888.9719648
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,full,Original B,25333,1168305,33.55046190010102,20.80139020038144,0.4995136502608873,1315083238.8690147
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,full,Expanded A,25333,1168305,39.65728701629261,27.13903467660939,-0.5001657141022147,1837393756.5854836
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,full,Expanded B,25333,1168305,33.55046190010102,20.80139020038144,0.4995136502608873,1315083238.8690147
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,full,Inverted42,25333,1168305,31.61823507563258,19.205934593118993,-1.9494044478705057,1167969450.3007572
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,full,Inverted43,25333,1168305,31.876186284639,19.427587410498145,-4.500859224828535,1187104490.229791
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,full,Inverted44,25333,1168305,31.658691749087208,19.09339467309052,-3.4321753228474456,1170960280.684825
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,full,Daily,25333,1168305,51.19075863942842,25.3412871945254,0.19256172677511413,3061535974.053567
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,full,Last-value,25333,1168305,51.91695625710885,29.18573986861307,-0.03909036287613258,3149014653.254822
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,power-active,Original A,16675,585563,50.299313008384274,36.18595654434696,-11.619434826976628,1481486621.8930902
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,power-active,Original B,16675,585563,45.077320017622284,32.206996581633796,-2.768993466251455,1189843392.454235
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,power-active,Expanded A,16675,585563,50.2993147990035,36.185989091112496,-11.619429561606255,1481486727.3727992
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,power-active,Expanded B,16675,585563,45.077320017622284,32.206996581633796,-2.768993466251455,1189843392.454235
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,power-active,Inverted42,16675,585563,42.2106997061056,30.233987579944323,-5.785169719109068,1043322875.6667572
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,power-active,Inverted43,16675,585563,42.90139173424166,31.179252079962513,-9.74496402495876,1077745924.5092614
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,power-active,Inverted44,16675,585563,42.824707212636206,31.079202499898226,-7.671870885555919,1073896512.4645276
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,power-active,Daily,16675,585563,71.90037622938097,49.39488345062786,-0.7226341438922876,3027164020.516404
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,power-active,Last-value,16675,585563,68.68452026386734,50.6183234852612,-7.588874291920766,2762430532.619743
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,low-power,Original A,17064,582742,24.71323834197331,18.0482732705505,10.673010185514432,355906267.07887423
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,low-power,Original B,17064,582742,14.659970726849254,9.340570335972668,3.7838433067234667,125239846.41477919
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,low-power,Expanded A,17064,582742,24.71326480228907,18.048284794466564,10.67292545889717,355907029.2126844
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,low-power,Expanded B,17064,582742,14.659970726849254,9.340570335972668,3.7838433067234667,125239846.41477919
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,low-power,Inverted42,17064,582742,14.625206745278208,8.124495824119316,1.904929407458726,124646574.63399848
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,low-power,Inverted43,17064,582742,13.698980351226252,7.619034021784851,0.7686318004942588,109358565.72052711
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,low-power,Inverted44,17064,582742,12.905962940394804,7.049564661714976,0.8280442130471,97063768.22029632
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,low-power,Daily,17064,582742,7.680048240308936,1.171249708790511,1.112187975810908,34371953.53716324
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,48,low-power,Last-value,17064,582742,25.756321969373765,7.6494031015440775,7.547241370280502,386584120.6350781
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,full,Original A,25333,2335738,49.49571412496751,35.95472252824874,-1.4226171693034266,5722151019.968045
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,full,Original B,25333,2335738,38.91529669673128,24.55061777068548,0.19185710702079606,3537242367.616389
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,full,Expanded A,25333,2335738,49.49571495614311,35.95473368543715,-1.4226492632095422,5722151212.15083
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,full,Expanded B,25333,2335738,38.91529669673128,24.55061777068548,0.19185710702079606,3537242367.616389
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,full,Inverted42,25333,2335738,36.48414816016172,22.191329085897586,-1.9545165724702718,3109084658.06453
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,full,Inverted43,25333,2335738,36.66747989481267,22.10357014572894,-4.771581433882772,3140409275.1006136
NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,full,Inverted44,25333,2335738,36.58305881113757,21.886665659292273,-2.187150974025369,3125965328.5730057
