site,channel,lag,minimum,p01,median,p99,maximum,saved_train_mean,saved_train_scale
YULARA_COMBINED,historical_ac_active_power,0,-0.7271840063498265,-0.7268517424301316,-0.7266291828975338,1.9479261537398882,2.684643944886056,0.20969498397700953,0.288524607577755
YULARA_COMBINED,historical_ac_active_power,71,-0.727314922111773,-0.7269829650944887,-0.7267601673259374,1.945324317398289,2.6813616239877094,0.20992676625622061,0.2887913556595989
YULARA_COMBINED,ambient_temperature,0,-2.5371754049509314,-2.069294246391819,-0.29840117061168225,1.54747558957051,1.8118915127963715,0.5386429141090023,0.20685087947491576
YULARA_COMBINED,ambient_temperature,71,-2.5316588164075875,-2.064882633525487,-0.29131832188110046,1.5444307674241848,1.8071370889813498,0.5387414743080194,0.20734054711214822
YULARA_COMBINED,global_horizontal_irradiance,0,-0.7448704364692261,-0.7301204325506508,-0.7180308199118561,2.0061338949516876,2.7012571717931153,0.17563381530765673,0.2371794204501368
YULARA_COMBINED,global_horizontal_irradiance,71,-0.7448601351434049,-0.7301470828470852,-0.7180444160173736,2.0022754208050473,2.6964211361599055,0.17588016906323456,0.23751343888705861
YULARA_COMBINED,power_missing,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
YULARA_COMBINED,power_missing,71,-0.006578093273945638,-0.006578093273945638,-0.006578093273945638,-0.006578093273945638,152.0197355608837,4.3269438795378825e-05,0.006577808643541044
YULARA_COMBINED,temperature_missing,0,-0.007595782625041237,-0.007595782625041237,-0.007595782625041237,-0.007595782625041237,131.652003402871,5.76925850605051e-05,0.007595344404710619
YULARA_COMBINED,temperature_missing,71,-0.00759578262504124,-0.00759578262504124,-0.00759578262504124,-0.00759578262504124,131.65200340287103,5.76925850605051e-05,0.007595344404710616
YULARA_COMBINED,ghi_missing,0,-0.007595782625041237,-0.007595782625041237,-0.007595782625041237,-0.007595782625041237,131.652003402871,5.76925850605051e-05,0.007595344404710619
YULARA_COMBINED,ghi_missing,71,-0.00759578262504124,-0.00759578262504124,-0.00759578262504124,-0.00759578262504124,131.65200340287103,5.76925850605051e-05,0.007595344404710616
YULARA_COMBINED,isolation_forest_flag,0,-0.10099096654555936,-0.10099096654555936,-0.10099096654555936,-0.10099096654555936,9.901875724173394,0.010096202385588393,0.099971341308371
YULARA_COMBINED,isolation_forest_flag,71,-0.10099096654555946,-0.10099096654555946,-0.10099096654555946,-0.10099096654555946,9.901875724173403,0.010096202385588393,0.0999713413083709
NIST_GROUND,historical_ac_active_power,0,-0.6622117877826901,-0.6578565039236851,-0.5614513016921743,2.700677243403827,3.109332059960713,0.17610289620147637,0.26559891079580444
NIST_GROUND,historical_ac_active_power,71,-0.6800588403239977,-0.6757584019581268,-0.5815327054582774,2.640481789876118,3.0439904722977156,0.18314662171224005,0.26898621739089174
NIST_GROUND,ambient_temperature,0,-1.641580124887889,-1.343399613347,0.3907949156075686,1.7179897677462739,2.0756919672098957,0.5465944176552638,0.19355737525843625
NIST_GROUND,ambient_temperature,71,-1.6377825418761258,-1.3393808809703656,0.3929740526701369,1.7238615139760967,2.0822465122979974,0.5456244309944294,0.19341392736181717
NIST_GROUND,global_horizontal_irradiance,0,-0.717603775400219,-0.6816479330572012,-0.4769945110155356,2.836507438962452,3.576931404989461,0.14847844757651896,0.2136147960172553
NIST_GROUND,global_horizontal_irradiance,71,-0.7346823931883897,-0.6988532024186442,-0.49888505704322905,2.7698249224310034,3.4999149643845406,0.1543480574146538,0.21663836702379294
NIST_GROUND,power_missing,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
NIST_GROUND,power_missing,71,-0.05076162036150715,-0.05076162036150715,-0.05076162036150715,19.69992275420925,19.69992275420925,0.0025701195664320038,0.05063115692778281
NIST_GROUND,temperature_missing,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
NIST_GROUND,temperature_missing,71,-0.05076162036150715,-0.05076162036150715,-0.05076162036150715,19.69992275420925,19.69992275420925,0.0025701195664320038,0.05063115692778281
NIST_GROUND,ghi_missing,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
NIST_GROUND,ghi_missing,71,-0.05076162036150715,-0.05076162036150715,-0.05076162036150715,19.69992275420925,19.69992275420925,0.0025701195664320038,0.05063115692778281
NIST_GROUND,isolation_forest_flag,0,-0.10537947691006988,-0.10537947691006988,-0.10537947691006988,-0.10537947691006988,9.4895137964584,0.010982871190715643,0.10422210768884675
NIST_GROUND,isolation_forest_flag,71,-0.1062279901765645,-0.1062279901765645,-0.1062279901765645,-0.1062279901765645,9.413714768951518,0.011158469421962549,0.1050426483963007
