site,period,support,scope,horizon,block_hours,method,reference,rmse,reference_rmse,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,blocks,nonempty_blocks,points,replicates,valid_replicates,zero_support_replicates,valid_skill_replicates
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,full,12,24,Inverted mean,Daily,5.965340842241453,9.560814154330243,-3.5954733120887905,-5.042863351815508,-2.3478355021126895,0.376063508196145,0.28292537803283385,0.4601855341812004,91,91,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,full,12,24,Original B,Daily,5.810972203616182,9.560814154330243,-3.7498419507140612,-4.973845560578118,-2.6428282336001203,0.3922094802999281,0.318627158071112,0.45560293941706714,91,91,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,full,12,24,Expanded B,Daily,8.896597061511402,9.560814154330243,-0.6642170928188413,-1.8228546123060272,0.43515236815339214,0.06947285891108002,-0.05381592654309767,0.16165233996522482,91,91,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,full,12,24,Expanded B,Inverted mean,8.896597061511402,5.965340842241453,2.931256219269949,2.484493590705441,3.461250081484711,-0.49235632907057797,-0.6418765920225447,-0.38257943615983553,91,91,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,full,12,48,Inverted mean,Daily,5.965340842241452,9.560814154330242,-3.59547331208879,-5.027099137250545,-2.1719329811828283,0.376063508196145,0.27643521979087576,0.4547657452447793,46,46,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,full,12,48,Original B,Daily,5.810972203616181,9.560814154330242,-3.7498419507140603,-5.0031320815303255,-2.5138343769454887,0.3922094802999281,0.31538180296509744,0.448615508413589,46,46,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,full,12,48,Expanded B,Daily,8.896597061511402,9.560814154330242,-0.6642170928188396,-1.9240447587869762,0.6840623253632029,0.0694728589110798,-0.09026402218558859,0.1700045259480339,46,46,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,full,12,48,Expanded B,Inverted mean,8.896597061511402,5.965340842241452,2.9312562192699496,2.474637513911756,3.438333107213083,-0.4923563290705782,-0.642585090082889,-0.37876716699832114,46,46,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,full,12,72,Inverted mean,Daily,5.965340842241453,9.560814154330243,-3.59547331208879,-5.21901446437874,-2.1577120158750396,0.376063508196145,0.27290963959560194,0.4652033792226781,31,31,314353,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,full,12,72,Original B,Daily,5.810972203616182,9.560814154330243,-3.7498419507140612,-5.101542156527539,-2.498638559663564,0.3922094802999281,0.3186497188604761,0.45188195542395404,31,31,314353,2000,2000,0,2000
