block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Daily_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,site,scope,horizon,support,block_hours
0,10368.0,2551.4676598164883,107.64141372841148,2551.4676598164883,107.64141372841148,3.2929536480607666,1380.5531938105912,1199.8305639366984,955.5764996546018,Sanyo,full,144,complete_H144_Daily_intersection,24
1,20448.0,11917.695240972374,512.1397704169099,11917.695240972374,512.1397704169099,12.579482341635401,7678.523230737497,7518.504085187519,7254.123047786036,Sanyo,full,144,complete_H144_Daily_intersection,24
2,41184.0,47774.414398164234,2034.3673994740288,47774.414398164234,2034.3673994740288,72.69604070947136,31453.94185522118,28099.843302122375,29885.841583927955,Sanyo,full,144,complete_H144_Daily_intersection,24
3,41472.0,49710.733649592104,1718.6449643969793,49710.733649592104,1718.6449643969793,208.20158967652344,42418.50102379447,41565.28999329542,43472.273085098255,Sanyo,full,144,complete_H144_Daily_intersection,24
4,41472.0,25448.735462357043,1234.9453891382336,25448.735462357043,1234.9453891382336,67.37513158665176,11381.915153491811,10874.730303200857,11056.55110622666,Sanyo,full,144,complete_H144_Daily_intersection,24
5,20448.0,11518.139961528152,370.4956880629247,11518.139961528152,370.4956880629247,10.256515907249495,6903.67926942264,6413.78977786935,6404.57216677545,Sanyo,full,144,complete_H144_Daily_intersection,24
6,20448.0,10876.009163015628,281.62135154487123,10876.009163015628,281.62135154487123,55.16115365691827,6981.9041257672625,6704.855201100873,5454.082450219129,Sanyo,full,144,complete_H144_Daily_intersection,24
7,20591.0,17106.81223199779,364.500922336027,17106.81223199779,364.500922336027,36.98106279337962,10301.474671371105,9805.46403990393,9424.118540164634,Sanyo,full,144,complete_H144_Daily_intersection,24
8,20592.0,11903.41205312557,543.5058864972852,11903.41205312557,543.5058864972852,42.7370201740349,5958.524866425893,5901.603019220229,6028.911893760306,Sanyo,full,144,complete_H144_Daily_intersection,24
9,20592.0,18810.896229128728,783.5083380756187,18810.896229128728,783.5083380756187,39.44346619748829,13173.555803094207,11018.63866769964,10734.716101393447,Sanyo,full,144,complete_H144_Daily_intersection,24
10,20592.0,16024.296668179331,704.9823294272231,16024.296668179331,704.9823294272231,19.144460633798655,12612.227826207889,11450.58358180378,11532.809662367981,Sanyo,full,144,complete_H144_Daily_intersection,24
11,41328.0,20714.841775951358,1464.3729635467878,20714.841775951358,1464.3729635467878,353.64297249028,14344.215203660824,14222.814294789185,15230.423594809057,Sanyo,full,144,complete_H144_Daily_intersection,24
12,20592.0,13281.20315735523,774.1095705322703,13281.20315735523,774.1095705322703,80.39862622172676,6851.363703708111,7243.781860622852,6961.354751861546,Sanyo,full,144,complete_H144_Daily_intersection,24
13,20592.0,13117.240164431116,647.8333666853305,13117.240164431116,647.8333666853305,56.79507724919056,9783.545985585293,7956.276789554724,7193.352956440693,Sanyo,full,144,complete_H144_Daily_intersection,24
14,20592.0,11983.341337091577,1049.3712644316647,11983.341337091577,1049.3712644316647,50.21377765643527,14214.878543254676,13955.918097770544,17116.91648470991,Sanyo,full,144,complete_H144_Daily_intersection,24
15,41328.0,53826.972555976616,2485.9240864252756,53826.972555976616,2485.9240864252756,126.48018831832817,44439.48524273726,34243.049865775334,42788.35859149205,Sanyo,full,144,complete_H144_Daily_intersection,24
16,20592.0,15882.110617812461,961.5808464715801,15882.110617812461,961.5808464715801,51.97363038227549,9156.826629471841,9646.855970626533,8798.789254118925,Sanyo,full,144,complete_H144_Daily_intersection,24
17,41328.0,28652.53138340136,978.5940808422641,28652.53138340136,978.5940808422641,29.580255377195677,20782.24198215007,20300.53071063825,20549.559514907665,Sanyo,full,144,complete_H144_Daily_intersection,24
18,20448.0,10955.240048620328,423.8149794047848,10955.240048620328,423.8149794047848,17.73568351162658,5625.134606472335,6013.471253192273,5422.532515735476,Sanyo,full,144,complete_H144_Daily_intersection,24
