site,scope,horizon,support,block_hours,method,reference,rmse,reference_rmse,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,blocks,nonempty_blocks,points,replicates,valid_replicates,zero_support_replicates,valid_skill_replicates
Sanyo,full,144,complete_H144_Daily_intersection,24,Expanded B,Expanded A,0.2119271373577942,0.9137155813137657,-0.7017884439559715,-0.7594818041376257,-0.6430069425457821,0.7680600597255007,0.7425187756101757,0.7901199025083645,24,24,598317,2000,2000,0,2000
Sanyo,full,144,complete_H144_Daily_intersection,24,Expanded B,Daily,0.2119271373577942,0.1181415952926917,0.09378554206510249,0.057715925702767235,0.1499185432138241,-0.7938401528500785,-3.263161101329335,-0.3202999149128137,24,24,598317,2000,2000,0,2000
Sanyo,full,144,complete_H144_Daily_intersection,24,Expanded B,Inverted42,0.2119271373577942,0.7806551435120445,-0.5687280061542502,-0.637609594799992,-0.5022812841398411,0.7285265598784536,0.7020905082045725,0.7538007172841213,24,24,598317,2000,2000,0,2000
Sanyo,full,144,complete_H144_Daily_intersection,24,Expanded B,Inverted43,0.2119271373577942,0.7635701318466523,-0.5516429944888581,-0.6191387713928542,-0.4901817878158223,0.7224522954489326,0.7001019424438019,0.7461644242558008,24,24,598317,2000,2000,0,2000
Sanyo,full,144,complete_H144_Daily_intersection,24,Expanded B,Inverted44,0.2119271373577942,0.7817965305049881,-0.5698693931471939,-0.6436738014170887,-0.4964842420778464,0.7289228986205611,0.7055416006552967,0.7521085665385585,24,24,598317,2000,2000,0,2000
Sanyo,full,144,complete_H144_Daily_intersection,24,Expanded B,Inverted mean,0.2119271373577942,0.7753406019545617,-0.5634134645967673,-0.6323402740489553,-0.4980833669805294,0.7266339179826492,0.702513426226715,0.7506253537920912,24,24,598317,2000,2000,0,2000
Sanyo,full,144,complete_H144_Daily_intersection,24,Expanded A,Original A,0.9137155813137657,0.9137155813137657,0.0,0.0,0.0,0.0,0.0,0.0,24,24,598317,2000,2000,0,2000
Sanyo,full,144,complete_H144_Daily_intersection,24,Expanded B,Original B,0.2119271373577942,0.2119271373577942,0.0,0.0,0.0,0.0,0.0,0.0,24,24,598317,2000,2000,0,2000
Sanyo,full,144,complete_H144_Daily_intersection,48,Expanded B,Expanded A,0.2119271373577942,0.9137155813137657,-0.7017884439559715,-0.7675325646882152,-0.6360635048373143,0.7680600597255007,0.7351356023920602,0.7944824390491089,12,12,598317,2000,2000,0,2000
Sanyo,full,144,complete_H144_Daily_intersection,48,Expanded B,Daily,0.2119271373577942,0.11814159529269169,0.0937855420651025,0.04495357263848778,0.1562704724449419,-0.7938401528500787,-3.4385798381780375,-0.22001791056838796,12,12,598317,2000,2000,0,2000
