site,horizon,method,scope,points,full_points,weighted_model_MSE,weighted_daily_MSE,delta_MSE
YULARA_COMBINED,12,Inverted42,power-active,137209,314353,31.040367221860993,91.15399159968605,-60.113624377825055
YULARA_COMBINED,12,Inverted42,low-power,177144,314353,2.286530095757298,0.2551756939554628,2.0313544018018352
YULARA_COMBINED,12,Inverted43,power-active,137209,314353,34.888574569559395,91.15399159968605,-56.26541703012664
YULARA_COMBINED,12,Inverted43,low-power,177144,314353,2.874677910852051,0.2551756939554628,2.619502216896588
YULARA_COMBINED,12,Inverted44,power-active,137209,314353,33.499458405483644,91.15399159968605,-57.65453319420241
YULARA_COMBINED,12,Inverted44,low-power,177144,314353,2.2357821382694403,0.2551756939554628,1.9806064443139775
YULARA_COMBINED,12,Original B,power-active,137209,314353,31.742640653558187,91.15399159968605,-59.41135094612787
YULARA_COMBINED,12,Original B,low-power,177144,314353,2.024757297641719,0.2551756939554628,1.7695816036862562
YULARA_COMBINED,12,Expanded B,power-active,137209,314353,63.85577826134393,91.15399159968605,-27.298213338342116
YULARA_COMBINED,12,Expanded B,low-power,177144,314353,15.293661013549395,0.2551756939554628,15.038485319593933
YULARA_COMBINED,48,Inverted42,power-active,548904,1257410,63.66910812429073,91.17228172123527,-27.503173596944542
YULARA_COMBINED,48,Inverted42,low-power,708506,1257410,33.72160203945399,0.25517567157282345,33.46642636788117
YULARA_COMBINED,48,Inverted43,power-active,548904,1257410,72.78033961110232,91.17228172123527,-18.391942110132955
YULARA_COMBINED,48,Inverted43,low-power,708506,1257410,21.999145336653978,0.25517567157282345,21.743969665081156
YULARA_COMBINED,48,Inverted44,power-active,548904,1257410,74.55184519600435,91.17228172123527,-16.620436525230915
YULARA_COMBINED,48,Inverted44,low-power,708506,1257410,26.051688016362405,0.25517567157282345,25.79651234478958
YULARA_COMBINED,48,Original B,power-active,548904,1257410,49.61099887200686,91.17228172123527,-41.56128284922841
YULARA_COMBINED,48,Original B,low-power,708506,1257410,2.997375869687594,0.25517567157282345,2.7422001981147703
YULARA_COMBINED,48,Expanded B,power-active,548904,1257410,78.54114984187544,91.17228172123527,-12.63113187935983
YULARA_COMBINED,48,Expanded B,low-power,708506,1257410,19.34724967319589,0.25517567157282345,19.092074001623065
YULARA_COMBINED,96,Inverted42,power-active,1097863,2514818,129.14872357423454,91.17560134791881,37.97312222631571
YULARA_COMBINED,96,Inverted42,low-power,1416955,2514818,68.57086867072574,0.25517416930778647,68.31569450141795
YULARA_COMBINED,96,Inverted43,power-active,1097863,2514818,131.44426471487404,91.17560134791881,40.268663366955224
YULARA_COMBINED,96,Inverted43,low-power,1416955,2514818,50.978291943397295,0.25517416930778647,50.723117774089516
YULARA_COMBINED,96,Inverted44,power-active,1097863,2514818,136.7732548007962,91.17560134791881,45.59765345287737
YULARA_COMBINED,96,Inverted44,low-power,1416955,2514818,56.5818043884857,0.25517416930778647,56.326630219177915
YULARA_COMBINED,96,Original B,power-active,1097863,2514818,58.400845198442774,91.17560134791881,-32.77475614947605
YULARA_COMBINED,96,Original B,low-power,1416955,2514818,2.7688987344751737,0.25517416930778647,2.5137245651673874
YULARA_COMBINED,96,Expanded B,power-active,1097863,2514818,87.62324787679225,91.17560134791881,-3.552353471126573
YULARA_COMBINED,96,Expanded B,low-power,1416955,2514818,22.988520269196663,0.25517416930778647,22.733346099888877
YULARA_COMBINED,144,Inverted42,power-active,1646503,3772226,138.8721011046194,91.1327580295468,47.73934307507259
YULARA_COMBINED,144,Inverted42,low-power,2125723,3772226,50.5167607973502,0.2551688738045272,50.26159192354567
YULARA_COMBINED,144,Inverted43,power-active,1646503,3772226,142.1660668530779,91.1327580295468,51.03330882353109
