site,split,method_support,horizon,origins,points,active_points,active_fraction,unique_targets
Qcells,train,neural,12,12747,152964,4674,0.030556209304149998,13847
Qcells,train,neural,144,12747,1835568,736055,0.400995768067432,27047
Qcells,train,Ridge,12,12648,151776,4674,0.03079538266919671,13748
Qcells,train,Ridge,144,12648,1821312,736055,0.40413449205847213,26948
Qcells,validation,neural,12,2999,35988,0,0.0,3252
Qcells,validation,neural,144,2999,431856,171340,0.3967526212441184,6288
Qcells,validation,Ridge,12,2977,35724,0,0.0,3230
Qcells,validation,Ridge,144,2977,428688,171340,0.39968461911693354,6266
