site,split,method_support,horizon,origins,points,active_points,active_fraction,unique_targets
Sanyo,train,neural,12,20409,244908,64440,0.2631192121123034,21146
Sanyo,train,neural,144,20409,2938896,1212095,0.4124320833401386,29990
Sanyo,train,Ridge,12,20343,244116,64394,0.2637844303527831,21080
Sanyo,train,Ridge,144,20343,2929392,1211610,0.41360459781415393,29924
Sanyo,validation,neural,12,3619,43428,5844,0.134567560099475,3828
Sanyo,validation,neural,144,3619,521136,208507,0.4001009333456142,6336
Sanyo,validation,Ridge,12,3601,43212,5844,0.13524021105248543,3810
Sanyo,validation,Ridge,144,3601,518544,208507,0.4021008824709186,6318
