site,origin,selection,lead_minutes,truth,Inverted42,Inverted43,Inverted44,Original_B,Expanded_B,Daily
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,5,63.63593006134,56.775753021240234,61.411827087402344,62.067378997802734,63.80921414766427,52.924731360161445,64.629093170166
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,10,65.563785207599,59.242576599121094,62.68842697143555,61.422874450683594,65.12427290286959,54.06683109530633,65.134289787994
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,15,67.714345932007,60.46919250488281,64.45004272460938,64.64236450195312,66.52065735315001,55.19340579425394,67.421085357666
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,20,68.468862253652,62.965545654296875,62.93194580078125,66.4603042602539,67.76682662846532,56.300105428038165,68.169958722109
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,25,70.19593334198,63.97908401489258,67.14444732666016,64.77531433105469,69.08424597658359,57.383321195587364,70.095014572144
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,30,71.008174341075,65.4822769165039,66.48500061035156,69.2630615234375,70.30994909689004,58.44208720132996,70.610833637225
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,35,72.716215133667,65.6932601928711,69.56913757324219,69.16787719726562,71.61903960663612,59.47656964337761,72.346061706543
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,40,72.970420185386,69.05196380615234,70.34107208251953,71.7640609741211,72.74537431190117,60.48488164406632,72.77394219951
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,45,74.935846328735,71.59864807128906,71.99296569824219,70.77767944335938,73.91867097712361,61.4660020474329,74.494354248047
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,50,75.400017433941,71.15719604492188,70.6111068725586,72.83330535888672,74.87834114148943,62.41788586300863,74.853086000895
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,55,76.65040397644,72.06103515625,73.50714874267578,75.62712860107422,75.93083969215365,63.34009216597057,76.829637527466
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,60,77.104716353574,73.1947250366211,74.31836700439453,73.77764129638672,76.8209285731516,64.23127124336067,77.372671909767
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,65,78.924083709717,74.3496322631836,74.90167999267578,75.40492248535156,77.82976746041167,65.09036313413522,78.426914215088
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,70,79.213395341943,74.4097900390625,74.72637176513672,75.0185317993164,78.62409272176862,65.9163318844528,78.931366093388
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,75,80.107189178467,76.4437255859375,76.8471908569336,77.71328735351562,79.48520650388072,66.70900210082533,80.031465530396
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,80,80.659684234664,78.96104431152344,78.34977722167969,78.34429931640625,80.22073216133305,67.4668147277133,80.500123354173
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,85,81.854640960693,79.07998657226562,77.87870788574219,77.57215118408203,81.0014944647525,68.18884200067995,81.671430587769
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,90,82.194319845706,80.04486083984375,79.77662658691406,81.00579833984375,81.62987180783784,68.87409065103108,81.762924407625
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,95,83.051620483398,79.47921752929688,79.61799621582031,81.2225112915039,82.25480851638137,69.52241724164665,82.757883071899
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,100,83.492922292172,81.09062957763672,81.04991912841797,81.39501190185547,82.79359491000736,70.13376331459317,82.95057972226
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,105,84.925144195557,82.70562744140625,80.3980484008789,81.30184936523438,83.34106526829852,70.70721699100444,84.088706970215
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,110,84.803746904746,81.64181518554688,82.06534576416016,82.80226135253906,83.74980411001096,71.24136488419644,83.785153180623
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,115,85.201953887939,81.79232788085938,80.57958984375,84.60076904296875,84.240720032929,71.73649973282981,84.941625595093
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,120,85.410739297569,82.37710571289062,81.16626739501953,85.8752212524414,84.57790995480697,72.1916360190798,84.903596102085
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,125,86.094221115112,82.25204467773438,81.51068878173828,86.92805480957031,84.97662124867529,72.60726507558513,85.155672073364
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,130,86.2749901273,83.51079559326172,80.87952423095703,87.1285400390625,85.28366665961488,72.9817946625726,85.452418162929
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,135,86.964933395386,83.32272338867188,81.64203643798828,86.72277069091797,85.64888487300092,73.31418937474179,86.055459976196
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,140,86.739169141605,85.56871795654297,79.9218978881836,86.18283081054688,85.81168274392932,73.60430934738791,86.08135488203
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,145,87.496208190918,84.20542907714844,79.88977813720703,87.31845092773438,86.1072902783045,73.85294675642749,86.28426361084
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,150,87.161706290096,82.81713104248047,79.95590209960938,87.64505767822266,86.27159799425289,74.0592677289236,86.321163029125
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,155,87.32896232605,83.30557250976562,79.98143768310547,88.39159393310547,86.37319517172054,74.22349901203702,87.509859085083
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,160,87.10250069553,84.58003234863281,81.87683868408203,88.01398468017578,86.40323028755836,74.34486196877265,87.354733452598
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,165,87.132390975952,84.06291961669922,82.12393951416016,86.23157501220703,86.42367738958438,74.42442542085244,87.349666595459
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,170,87.117423336454,83.06138610839844,82.10933685302734,87.53121948242188,86.39955192465415,74.46139457348653,87.092660040997
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,175,86.587718963623,83.18199157714844,80.69670867919922,82.5112533569336,86.42544176250146,74.45637468702697,86.928356170654
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,180,86.462732217764,82.19918060302734,81.37604522705078,83.92720031738281,86.32701265400733,74.40882906323898,86.447742513157
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,185,86.84203338623,80.3186264038086,80.65359497070312,85.7273941040039,86.22683939478664,74.3190512865638,86.276138305664
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,190,86.855289336771,83.04235076904297,80.87238311767578,86.32868194580078,86.08360572873926,74.18672685724106,86.272237389603
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,195,86.253757476807,84.0687026977539,81.70536804199219,85.95735931396484,85.88037075204528,74.0117660876927,86.254402160645
YULARA_COMBINED,2018-04-15 10:00:00,fixed_15th_10am_no_score_selection,200,85.993737896178,83.00863647460938,81.07840728759766,83.53394317626953,85.58371426396049,73.79415794017173,86.257814478727
