site,period,support,horizon,scope,method,status,RMSE,MAE,bias,SSE,points
YULARA_COMBINED,2017,pointwise_finite,144,power-active,Daily,accepted,22.30752320739525,13.41657987666309,-0.44545073111276917,983504731.2060928,1976395
YULARA_COMBINED,2017,pointwise_finite,144,power-active,Last-value,accepted,52.28090877010607,42.524382698595346,-24.250671646624976,5402067452.434055,1976395
YULARA_COMBINED,2017,pointwise_finite,144,low-power,Original A,accepted,116.83511960414944,34.17687680801158,1.5592676726997385,25103564535.902363,1839029
YULARA_COMBINED,2017,pointwise_finite,144,low-power,Original B,accepted,33.512296663984394,8.574401870006268,-6.705903447770851,2065365706.0777233,1839029
YULARA_COMBINED,2017,pointwise_finite,144,low-power,Expanded A,accepted,16.726384604835726,15.239778341114757,15.184879338451617,514508714.63031715,1839029
YULARA_COMBINED,2017,pointwise_finite,144,low-power,Expanded B,accepted,7.942380976998807,4.927255402606094,0.16650456554172383,116008552.61964639,1839029
YULARA_COMBINED,2017,pointwise_finite,144,low-power,Inverted42,accepted,6.0060938200903236,3.3002820930287036,1.24851318270676,66339592.834088564,1839029
YULARA_COMBINED,2017,pointwise_finite,144,low-power,Inverted43,accepted,5.582587479295849,3.250310111241122,0.9896811877865578,57313859.163985014,1839029
YULARA_COMBINED,2017,pointwise_finite,144,low-power,Inverted44,accepted,6.151715047821375,3.8163494775363067,2.140254168040062,69595474.24076243,1839029
YULARA_COMBINED,2017,pointwise_finite,144,low-power,Daily,accepted,2.1951798423085402,0.13827711136682916,0.12690894657727875,8861939.684824642,1839029
YULARA_COMBINED,2017,pointwise_finite,144,low-power,Last-value,accepted,42.95604131929518,26.07664753000615,26.05233464476884,3393415823.855255,1839029
