site,period,support,horizon,scope,method,status,RMSE,MAE,bias,SSE,points
Sanyo,Alice2018Test,Original,12,low-power,Depthwise convolutional TCN42,diagnostic,0.13705438368264933,0.09912019411647953,0.07076833835904361,804.2328534691001,42815
Sanyo,Alice2018Test,Original,12,low-power,Depthwise convolutional TCN43,diagnostic,0.08952325578157067,0.06343587782405621,0.019065966629047523,343.1371065412381,42815
Sanyo,Alice2018Test,Original,12,low-power,Depthwise convolutional TCN44,diagnostic,0.18060407172947773,0.15239493599293807,0.14996197454536866,1396.5324225022785,42815
Sanyo,Alice2018Test,Original,12,low-power,Discrete recurrent decoder42,diagnostic,0.07108400250844685,0.05946993024205533,0.052700574155770646,216.34142969136286,42815
Sanyo,Alice2018Test,Original,12,low-power,Discrete recurrent decoder43,diagnostic,0.056928386864436846,0.040711354711558526,0.010106442239591056,138.7566173047078,42815
Sanyo,Alice2018Test,Original,12,low-power,Discrete recurrent decoder44,diagnostic,0.06559895579547191,0.05380891581845523,0.018774454454973208,184.2424928073505,42815
Sanyo,Alice2018Test,Original,12,low-power,Inverted42,accepted,0.2103618324947085,0.17158482603267036,0.16631867256762461,1894.6536859273185,42815
Sanyo,Alice2018Test,Original,12,low-power,Inverted43,diagnostic,0.2254701848436954,0.1690940530895579,0.1285919553379381,2176.5777741114694,42815
Sanyo,Alice2018Test,Original,12,low-power,Inverted44,diagnostic,0.1202025203156022,0.08483067589899172,0.01673909294954603,618.6187737898875,42815
Sanyo,Alice2018Test,Original,12,low-power,Joint-patch Transformer42,accepted,0.1939927282168381,0.13992201655689948,0.02585095994749097,1611.2645418023294,42815
Sanyo,Alice2018Test,Original,12,low-power,Joint-patch Transformer43,accepted,0.15924165167508336,0.10906078039887526,0.05653143136992895,1085.6986438417505,42815
Sanyo,Alice2018Test,Original,12,low-power,Joint-patch Transformer44,accepted,0.1551313045232905,0.1209993786715882,0.04264931723561895,1030.373872149236,42815
Sanyo,Alice2018Test,S1,12,full,Original A,accepted,0.2100543521073131,0.11940339031954966,0.007225565759114161,3588.8186919698865,81337
