site,period,support,horizon,scope,block_hours,method,reference,rmse,reference_rmse,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,blocks,nonempty_blocks,points,replicates,valid_replicates,zero_support_replicates,valid_skill_replicates
Sanyo,Alice2018Test,Original,12,full,24,Original A,Daily,0.2058401515472465,0.1752187229333811,0.0306214286138654,-0.0596670026475116,0.153752136194563,-0.1747611676493488,-3.475930181788737,0.2228512990922689,24,24,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,24,Original A,Last-value,0.2058401515472465,0.463695033817162,-0.2578548822699155,-0.27040228620647,-0.2454716785804355,0.5560872199713689,0.5183760356390974,0.5881502639371519,24,24,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,24,Expanded A,Daily,0.2058401515472465,0.1752187229333811,0.0306214286138654,-0.0596670026475116,0.153752136194563,-0.1747611676493488,-3.475930181788737,0.2228512990922689,24,24,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,24,Expanded A,Last-value,0.2058401515472465,0.463695033817162,-0.2578548822699155,-0.27040228620647,-0.2454716785804355,0.5560872199713689,0.5183760356390974,0.5881502639371519,24,24,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,24,Original B,Daily,0.1365654485543728,0.1752187229333811,-0.0386532743790082,-0.1245430438578329,0.0764936056187759,0.2206001375418331,-1.7199248015522377,0.4562608870409694,24,24,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,24,Original B,Last-value,0.1365654485543728,0.463695033817162,-0.3271295852627892,-0.3409498662581477,-0.3108930997780909,0.7054843407958052,0.6535997816361321,0.7436449992398028,24,24,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,24,Expanded B,Daily,0.1365654485543728,0.1752187229333811,-0.0386532743790082,-0.1245430438578329,0.0764936056187759,0.2206001375418331,-1.7199248015522377,0.4562608870409694,24,24,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,24,Expanded B,Last-value,0.1365654485543728,0.463695033817162,-0.3271295852627892,-0.3409498662581477,-0.3108930997780909,0.7054843407958052,0.6535997816361321,0.7436449992398028,24,24,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,24,Inverted42,Daily,0.2650887684009845,0.1752187229333811,0.0898700454676034,0.003652457055963,0.2116982450118657,-0.5129020687005716,-4.733398426642775,-0.0126915357103113,24,24,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,24,Inverted42,Last-value,0.2650887684009845,0.463695033817162,-0.1986062654161774,-0.2130147451070996,-0.1852454271733254,0.4283122546757514,0.3912566565860016,0.4633534787777047,24,24,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,24,Expanded B,Original B,0.1365654485543728,0.1365654485543728,0.0,0.0,0.0,0.0,0.0,0.0,24,24,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,24,Expanded B,Expanded A,0.1365654485543728,0.2058401515472465,-0.0692747029928736,-0.0804155609422213,-0.0590811665519824,0.3365461134387719,0.2638160188998759,0.4014650259180183,24,24,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,48,Original A,Daily,0.2058401515472464,0.1752187229333811,0.0306214286138653,-0.07500954486888,0.1558395711694551,-0.1747611676493483,-3.564313571472564,0.252565499443613,12,12,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,48,Original A,Last-value,0.2058401515472464,0.463695033817162,-0.2578548822699156,-0.2704626732315864,-0.2458341826239861,0.556087219971369,0.5211401232080309,0.5888280662723451,12,12,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,48,Expanded A,Daily,0.2058401515472464,0.1752187229333811,0.0306214286138653,-0.07500954486888,0.1558395711694551,-0.1747611676493483,-3.564313571472564,0.252565499443613,12,12,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,48,Expanded A,Last-value,0.2058401515472464,0.463695033817162,-0.2578548822699156,-0.2704626732315864,-0.2458341826239861,0.556087219971369,0.5211401232080309,0.5888280662723451,12,12,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,48,Original B,Daily,0.1365654485543728,0.1752187229333811,-0.0386532743790082,-0.1340397038998238,0.0786538834531336,0.2206001375418333,-1.810398185258284,0.4504411335484998,12,12,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,48,Original B,Last-value,0.1365654485543728,0.463695033817162,-0.3271295852627892,-0.3425728682330834,-0.3118643583471236,0.7054843407958052,0.6527196190346899,0.746608683473702,12,12,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,48,Expanded B,Daily,0.1365654485543728,0.1752187229333811,-0.0386532743790082,-0.1340397038998238,0.0786538834531336,0.2206001375418333,-1.810398185258284,0.4504411335484998,12,12,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,48,Expanded B,Last-value,0.1365654485543728,0.463695033817162,-0.3271295852627892,-0.3425728682330834,-0.3118643583471236,0.7054843407958052,0.6527196190346899,0.746608683473702,12,12,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,48,Inverted42,Daily,0.2650887684009845,0.1752187229333811,0.0898700454676034,-0.0128366794155748,0.2160146112443367,-0.5129020687005712,-4.964796494233773,0.0433132511837902,12,12,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,48,Inverted42,Last-value,0.2650887684009845,0.463695033817162,-0.1986062654161774,-0.2150861568793297,-0.1839618814631139,0.4283122546757514,0.3863911167262875,0.4680933446906147,12,12,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,48,Expanded B,Original B,0.1365654485543728,0.1365654485543728,0.0,0.0,0.0,0.0,0.0,0.0,12,12,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,48,Expanded B,Expanded A,0.1365654485543728,0.2058401515472464,-0.0692747029928736,-0.0829934900765343,-0.0567955831991847,0.3365461134387719,0.2569344568221068,0.4109004146015857,12,12,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,72,Original A,Daily,0.2058401515472464,0.1752187229333811,0.0306214286138653,-0.0773780200480917,0.154926095540888,-0.1747611676493483,-3.356651647864496,0.2605648940673478,8,8,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,72,Original A,Last-value,0.2058401515472464,0.463695033817162,-0.2578548822699155,-0.268814081368475,-0.2477533658597212,0.5560872199713689,0.5275790524899505,0.5844138404607939,8,8,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,72,Expanded A,Daily,0.2058401515472464,0.1752187229333811,0.0306214286138653,-0.0773780200480917,0.154926095540888,-0.1747611676493483,-3.356651647864496,0.2605648940673478,8,8,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,72,Expanded A,Last-value,0.2058401515472464,0.463695033817162,-0.2578548822699155,-0.268814081368475,-0.2477533658597212,0.5560872199713689,0.5275790524899505,0.5844138404607939,8,8,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,72,Original B,Daily,0.1365654485543728,0.1752187229333811,-0.0386532743790082,-0.133994768913718,0.077957555041404,0.2206001375418333,-1.705072613785651,0.4513880230272947,8,8,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,72,Original B,Last-value,0.1365654485543728,0.463695033817162,-0.3271295852627891,-0.3435167841834793,-0.310738942450361,0.7054843407958051,0.6520205460201892,0.7484235636300227,8,8,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,72,Expanded B,Daily,0.1365654485543728,0.1752187229333811,-0.0386532743790082,-0.133994768913718,0.077957555041404,0.2206001375418333,-1.705072613785651,0.4513880230272947,8,8,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,72,Expanded B,Last-value,0.1365654485543728,0.463695033817162,-0.3271295852627891,-0.3435167841834793,-0.310738942450361,0.7054843407958051,0.6520205460201892,0.7484235636300227,8,8,79005,2000,2000,0,2000
Sanyo,Alice2018Test,Original,12,full,72,Inverted42,Daily,0.2650887684009845,0.1752187229333811,0.0898700454676034,-0.0065856281858471,0.2083511614938716,-0.5129020687005712,-4.511608242077734,0.0222169282501927,8,8,79005,2000,2000,0,2000
