site,period,support,horizon,scope,candidate_origins,origins,points,unique_targets,active_points,active_fraction
YULARA_COMBINED,2018,complete_H144,144,full,26208,25628,3690097,26339,1595322,0.43232522071913015
YULARA_COMBINED,2018,complete_H144,144,power-active,26208,23874,1595322,11483,1595322,1.0
YULARA_COMBINED,2018,complete_H144,144,low-power,26208,25628,2094775,14856,0,0.0
YULARA_COMBINED,2018,pointwise_finite,144,full,26208,26204,3772226,26343,1646503,0.4364804759842067
YULARA_COMBINED,2018,pointwise_finite,144,power-active,26208,24450,1646503,11487,1646503,1.0
YULARA_COMBINED,2018,pointwise_finite,144,low-power,26208,26204,2125723,14856,0,0.0
