site,period,support,horizon,scope,method,status,RMSE,MAE,bias,SSE,points
Hanwha,Alice2018Test,Original,12,low-power,Depthwise convolutional TCN42,diagnostic,0.11538425988567076,0.08173373848085111,-0.018559444362896364,572.095587167201,42971
Hanwha,Alice2018Test,Original,12,low-power,Depthwise convolutional TCN43,diagnostic,0.10379131625636427,0.0757701539941576,0.031756081010205495,462.9109987172543,42971
Hanwha,Alice2018Test,Original,12,low-power,Depthwise convolutional TCN44,diagnostic,0.10791419540545394,0.07993660380766797,0.01751137543442879,500.41764477674917,42971
Hanwha,Alice2018Test,Original,12,low-power,Discrete recurrent decoder42,diagnostic,0.07141645446004502,0.0529406498057434,-0.015598343820513663,219.16541961961673,42971
Hanwha,Alice2018Test,Original,12,low-power,Discrete recurrent decoder43,diagnostic,0.059933398207722664,0.04734173372468786,-0.015418474139716174,154.35235713679347,42971
Hanwha,Alice2018Test,Original,12,low-power,Discrete recurrent decoder44,diagnostic,0.0806793003934947,0.06125267417647724,-0.04144113623530265,279.7046636794539,42971
Hanwha,Alice2018Test,Original,12,low-power,Inverted42,accepted,0.11385048415541725,0.09131605043979493,-0.019920000083749424,556.987211874655,42971
Hanwha,Alice2018Test,Original,12,low-power,Inverted43,accepted,0.11915274800641115,0.09185850796784811,0.043497454016550856,610.0755024282437,42971
Hanwha,Alice2018Test,Original,12,low-power,Inverted44,accepted,0.12214455579369544,0.09437097772252137,0.03346806973543232,641.0969184488936,42971
Hanwha,Alice2018Test,Original,12,low-power,Joint-patch Transformer42,accepted,0.18069445692624791,0.14677242640421645,0.11343586206712204,1403.0240667303292,42971
Hanwha,Alice2018Test,Original,12,low-power,Joint-patch Transformer43,accepted,0.2767603790002523,0.24108181568241469,-0.23301976310661504,3291.419924613476,42971
Hanwha,Alice2018Test,Original,12,low-power,Joint-patch Transformer44,accepted,0.1800188547793322,0.14429029775224037,-0.10395701174119756,1392.5520904164725,42971
Hanwha,Alice2018Test,S1,12,full,Original A,accepted,0.17719904820407706,0.10927255525766669,-0.011685053809227105,2554.0041488489187,81339
Hanwha,Alice2018Test,S1,12,full,Original B,accepted,0.12234938822105633,0.07111403056146699,-0.004306855191754509,1217.593814021952,81339
Hanwha,Alice2018Test,S1,12,full,Expanded A,accepted,0.17719904820407706,0.10927255525766669,-0.011685053809227105,2554.0041488489187,81339
Hanwha,Alice2018Test,S1,12,full,Expanded B,accepted,0.12234938822105633,0.07111403056146699,-0.004306855191754509,1217.593814021952,81339
Hanwha,Alice2018Test,S1,12,full,Daily,accepted,0.1829846786172437,0.048922787194843415,-0.004482727147759508,2723.5056713954677,81339
Hanwha,Alice2018Test,S1,12,full,Last-value,accepted,0.43446931404951566,0.2268710480083406,-0.001794566751389339,15353.841228167563,81339
Hanwha,Alice2018Test,S1,12,full,Depthwise convolutional TCN42,diagnostic,0.18255850890978906,0.1302811226030249,-0.027701167006183903,2710.8344027150565,81339
Hanwha,Alice2018Test,S1,12,full,Depthwise convolutional TCN43,diagnostic,0.1697905786361093,0.11514043947098992,0.014700684052479051,2344.9090650415956,81339
Hanwha,Alice2018Test,S1,12,full,Depthwise convolutional TCN44,diagnostic,0.1830769446548731,0.12900394176156565,0.03402732384241222,2726.2529006353916,81339
Hanwha,Alice2018Test,S1,12,full,Discrete recurrent decoder42,diagnostic,0.1912590370895322,0.12256711639696562,-0.07062242837976873,2975.382187273612,81339
Hanwha,Alice2018Test,S1,12,full,Discrete recurrent decoder43,diagnostic,0.20820617359090604,0.1273307959139537,-0.06207131284525586,3526.0302542652294,81339
Hanwha,Alice2018Test,S1,12,full,Discrete recurrent decoder44,diagnostic,0.2357009040911423,0.16029852605175685,-0.12037736535707198,4518.781327928131,81339
Hanwha,Alice2018Test,S1,12,full,Inverted42,accepted,0.19249913917674327,0.1394348162195339,-0.008777580014673197,3014.0913616866656,81339
Hanwha,Alice2018Test,S1,12,full,Inverted43,accepted,0.2118652295784798,0.1540532800569325,-0.013224541312170622,3651.05356664767,81339
Hanwha,Alice2018Test,S1,12,full,Inverted44,accepted,0.2125414236059674,0.1543324805648421,-0.014604119458261644,3674.3963340622786,81339
Hanwha,Alice2018Test,S1,12,full,Joint-patch Transformer42,accepted,0.2522985072371526,0.1963384754408068,0.09427735859698463,5177.596365041376,81339
Hanwha,Alice2018Test,S1,12,full,Joint-patch Transformer43,accepted,0.2950126164061316,0.2457231948465093,-0.199064438415509,7079.131949403449,81339
Hanwha,Alice2018Test,S1,12,full,Joint-patch Transformer44,accepted,0.23336079165244922,0.1804780795077265,-0.05468979371325033,4429.498996361625,81339
Hanwha,Alice2018Test,S1,12,power-active,Original A,accepted,0.2361710447847393,0.15639703969098614,-0.04714944451258274,2060.282049335995,36938
Hanwha,Alice2018Test,S1,12,power-active,Original B,accepted,0.16730710127727494,0.10857969311600742,-0.011834806528879912,1033.9561637982165,36938
Hanwha,Alice2018Test,S1,12,power-active,Expanded A,accepted,0.2361710447847393,0.15639703969098614,-0.04714944451258274,2060.282049335995,36938
Hanwha,Alice2018Test,S1,12,power-active,Expanded B,accepted,0.16730710127727494,0.10857969311600742,-0.011834806528879912,1033.9561637982165,36938
Hanwha,Alice2018Test,S1,12,power-active,Daily,accepted,0.27153064745756006,0.1074606021836779,-0.009744980182424813,2723.3978314871647,36938
Hanwha,Alice2018Test,S1,12,power-active,Last-value,accepted,0.6272087619118298,0.4733398174907879,-0.028761008610052645,14531.070516178732,36938
Hanwha,Alice2018Test,S1,12,power-active,Depthwise convolutional TCN42,diagnostic,0.23239633865921858,0.1815860405243401,-0.030070023722892737,1994.9496546120008,36938
Hanwha,Alice2018Test,S1,12,power-active,Depthwise convolutional TCN43,diagnostic,0.22281274213845007,0.1599381186176596,-0.0052063047135169314,1833.8061460727777,36938
Hanwha,Alice2018Test,S1,12,power-active,Depthwise convolutional TCN44,diagnostic,0.23784244264569965,0.18175326382937418,0.06084039000876357,2089.546738669431,36938
Hanwha,Alice2018Test,S1,12,power-active,Discrete recurrent decoder42,diagnostic,0.2729741425669659,0.20683629354950067,-0.13788237612583173,2752.4307301606673,36938
Hanwha,Alice2018Test,S1,12,power-active,Discrete recurrent decoder43,diagnostic,0.3017450307676453,0.2231186569963052,-0.11890673410258754,3363.2072489970224,36938
Hanwha,Alice2018Test,S1,12,power-active,Discrete recurrent decoder44,diagnostic,0.33847748588310567,0.2794261168856513,-0.2158914035010746,4231.876158116791,36938
Hanwha,Alice2018Test,S1,12,power-active,Inverted42,accepted,0.256411956268125,0.1962484109756621,0.005636622734233733,2428.5660590764646,36938
Hanwha,Alice2018Test,S1,12,power-active,Inverted43,accepted,0.2848003880893774,0.22692964829410794,-0.08188501580268712,2996.0877608813566,36938
Hanwha,Alice2018Test,S1,12,power-active,Inverted44,accepted,0.2838244427694805,0.22375960554147714,-0.0711447157795317,2975.589138108595,36938
Hanwha,Alice2018Test,S1,12,power-active,Joint-patch Transformer42,accepted,0.31558674476986753,0.2537692228437686,0.07191317722571557,3678.8398689589203,36938
Hanwha,Alice2018Test,S1,12,power-active,Joint-patch Transformer43,accepted,0.3127125260411395,0.24881442093149592,-0.1568857858587613,3612.1346602076555,36938
Hanwha,Alice2018Test,S1,12,power-active,Joint-patch Transformer44,accepted,0.28239589860133424,0.22149910127303493,0.00268530577298714,2945.7110697337325,36938
Hanwha,Alice2018Test,S1,12,low-power,Original A,accepted,0.10544959300220257,0.07006883899006111,0.017818418270242962,493.7220995129238,44401
Hanwha,Alice2018Test,S1,12,low-power,Original B,accepted,0.06431088525648178,0.03994566400576749,0.0019557845346196293,183.63765022373553,44401
Hanwha,Alice2018Test,S1,12,low-power,Expanded A,accepted,0.10544959300220257,0.07006883899006111,0.017818418270242962,493.7220995129238,44401
Hanwha,Alice2018Test,S1,12,low-power,Expanded B,accepted,0.06431088525648178,0.03994566400576749,0.0019557845346196293,183.63765022373553,44401
Hanwha,Alice2018Test,S1,12,low-power,Daily,accepted,0.001558451815592698,0.0002241135150261319,-0.00010496307500287853,0.10783990830373498,44401
Hanwha,Alice2018Test,S1,12,low-power,Last-value,accepted,0.13612661216331134,0.021829192934296315,0.020639307021167702,822.7707119888289,44401
Hanwha,Alice2018Test,S1,12,low-power,Depthwise convolutional TCN42,diagnostic,0.1269770342553503,0.08759962763269677,-0.025730471990265544,715.884748103056,44401
Hanwha,Alice2018Test,S1,12,low-power,Depthwise convolutional TCN43,diagnostic,0.10728964416717794,0.07787243486929886,0.03126167031491367,511.1029189688184,44401
Hanwha,Alice2018Test,S1,12,low-power,Depthwise convolutional TCN44,diagnostic,0.11974934614541151,0.08512082069355562,0.011721046099733309,636.7061619659613,44401
Hanwha,Alice2018Test,S1,12,low-power,Discrete recurrent decoder42,diagnostic,0.07086124555460532,0.05246205422133128,-0.014667653716043245,222.9514571129448,44401
Hanwha,Alice2018Test,S1,12,low-power,Discrete recurrent decoder43,diagnostic,0.0605566033636781,0.04764313093659055,-0.014788891494310666,162.8230052682058,44401
Hanwha,Alice2018Test,S1,12,low-power,Discrete recurrent decoder44,diagnostic,0.08038459190362171,0.06119411511005745,-0.040917498665709866,286.90516981133965,44401
Hanwha,Alice2018Test,S1,12,low-power,Inverted42,accepted,0.11483557726730516,0.09217055273218316,-0.020769017620563247,585.5253026102018,44401
Hanwha,Alice2018Test,S1,12,low-power,Inverted43,accepted,0.12145431189854287,0.09342610296756995,0.043895357039909245,654.9658057663136,44401
Hanwha,Alice2018Test,S1,12,low-power,Inverted44,accepted,0.12545336319925143,0.09657479172029028,0.0324330316625481,698.8071959536843,44401
Hanwha,Alice2018Test,S1,12,low-power,Joint-patch Transformer42,accepted,0.18372538390399515,0.1485607914343519,0.11288252810875095,1498.7564960824561,44401
Hanwha,Alice2018Test,S1,12,low-power,Joint-patch Transformer43,accepted,0.2794347256302641,0.24315154760596885,-0.23415362713065385,3466.9972891957964,44401
Hanwha,Alice2018Test,S1,12,low-power,Joint-patch Transformer44,accepted,0.18280561900785705,0.1463519449169073,-0.10242118320498789,1483.7879266278937,44401
Hanwha,Alice2018Test,S2,12,full,Original A,accepted,0.17717199045457802,0.10929328717235799,-0.011710886872070152,2556.551562152332,81445
Hanwha,Alice2018Test,S2,12,full,Original B,accepted,0.12235305628662344,0.0711664495837345,-0.004299658550054679,1219.2536713171808,81445
Hanwha,Alice2018Test,S2,12,full,Expanded A,accepted,0.17717199045457802,0.10929328717235799,-0.011710886872070152,2556.551562152332,81445
Hanwha,Alice2018Test,S2,12,full,Expanded B,accepted,0.12235305628662344,0.0711664495837345,-0.004299658550054679,1219.2536713171808,81445
Hanwha,Alice2018Test,S2,12,full,Daily,accepted,0.18286557394035502,0.04886095468471613,-0.004475052818666269,2723.50598780435,81445
Hanwha,Alice2018Test,S2,12,full,Last-value,accepted,0.4346315849441723,0.22706298205502534,-0.001305026281172993,15385.336338628576,81445
Hanwha,Alice2018Test,S2,12,full,Depthwise convolutional TCN42,diagnostic,0.18259445227547924,0.13034689966222904,-0.0278710591412852,2715.436080775157,81445
Hanwha,Alice2018Test,S2,12,full,Depthwise convolutional TCN43,diagnostic,0.16972847317035467,0.11510620655768067,0.014770807082032066,2346.247573783033,81445
Hanwha,Alice2018Test,S2,12,full,Depthwise convolutional TCN44,diagnostic,0.18302358789814527,0.12898221674261903,0.03393179317921235,2728.214778904483,81445
Hanwha,Alice2018Test,S2,12,full,Discrete recurrent decoder42,diagnostic,0.1911388869879058,0.12244829333821003,-0.07049477701422018,2975.5176666199536,81445
Hanwha,Alice2018Test,S2,12,full,Discrete recurrent decoder43,diagnostic,0.20808448860391893,0.12722336154208722,-0.06194895362838983,3526.4996299088234,81445
Hanwha,Alice2018Test,S2,12,full,Discrete recurrent decoder44,diagnostic,0.2355531691360925,0.16013940783053437,-0.12024072455807053,4518.99989118766,81445
Hanwha,Alice2018Test,S2,12,full,Inverted42,accepted,0.19239392563890578,0.13933360640796957,-0.008763332011221875,3014.7210955097767,81445
Hanwha,Alice2018Test,S2,12,full,Inverted43,accepted,0.21181107587024586,0.15402785093074317,-0.01305316581459361,3653.942930444479,81445
Hanwha,Alice2018Test,S2,12,full,Inverted44,accepted,0.2124582253334957,0.15427193827174618,-0.014505874968383818,3676.3049298533097,81445
Hanwha,Alice2018Test,S2,12,full,Joint-patch Transformer42,accepted,0.2522772859812599,0.19634388304760822,0.09438347315630724,5183.471654702524,81445
Hanwha,Alice2018Test,S2,12,full,Joint-patch Transformer43,accepted,0.2949784332308319,0.245692544097136,-0.19905104150366842,7086.71482462836,81445
Hanwha,Alice2018Test,S2,12,full,Joint-patch Transformer44,accepted,0.23332517252986054,0.18045788004121627,-0.05460329615230836,4433.917610103784,81445
Hanwha,Alice2018Test,S2,12,power-active,Original A,accepted,0.2361710447847393,0.15639703969098614,-0.04714944451258274,2060.282049335995,36938
Hanwha,Alice2018Test,S2,12,power-active,Original B,accepted,0.16730710127727494,0.10857969311600742,-0.011834806528879912,1033.9561637982165,36938
Hanwha,Alice2018Test,S2,12,power-active,Expanded A,accepted,0.2361710447847393,0.15639703969098614,-0.04714944451258274,2060.282049335995,36938
Hanwha,Alice2018Test,S2,12,power-active,Expanded B,accepted,0.16730710127727494,0.10857969311600742,-0.011834806528879912,1033.9561637982165,36938
Hanwha,Alice2018Test,S2,12,power-active,Daily,accepted,0.27153064745756006,0.1074606021836779,-0.009744980182424813,2723.3978314871647,36938
