site,period,support,horizon,scope,method,status,RMSE,MAE,bias,SSE,points
Sanyo,Alice2018Test,S2_new_origins,12,full,Daily,accepted,0.0465609626509457,0.008325616940825,0.0004749550684753,5.283228943149002,2437
Sanyo,Alice2018Test,S2_new_origins,12,full,Last-value,accepted,0.4944365406340895,0.3222490490234402,0.3218509912533079,595.7672797445191,2437
Sanyo,Alice2018Test,S2_new_origins,12,full,Inverted42,accepted,0.3670891641284032,0.2999104231229514,0.2849515968004385,328.3966054227336,2437
Sanyo,Alice2018Test,S2_new_origins,12,full,Joint-patch Transformer42,accepted,0.5012138142233779,0.3945480123811033,0.3641672717354691,612.2116558040611,2437
Sanyo,Alice2018Test,S2_new_origins,12,full,Joint-patch Transformer43,accepted,0.345523832319516,0.251158637060042,0.2121388208739102,290.94543347376447,2437
Sanyo,Alice2018Test,S2_new_origins,12,full,Joint-patch Transformer44,accepted,0.3578894416751448,0.2843291922156087,0.2259853615318771,312.1427854512268,2437
Sanyo,Alice2018Test,S2_new_origins,12,power-active,Original A,accepted,0.3155894557869576,0.2611556407983521,0.2560218686461009,42.02980934284922,422
Sanyo,Alice2018Test,S2_new_origins,12,power-active,Original B,accepted,0.2588857090357786,0.2016886085358515,0.1857054772110656,28.283203964728205,422
Sanyo,Alice2018Test,S2_new_origins,12,power-active,Expanded A,accepted,0.3155894557869576,0.2611556407983521,0.2560218686461009,42.02980934284922,422
Sanyo,Alice2018Test,S2_new_origins,12,power-active,Expanded B,accepted,0.2588857090357786,0.2016886085358515,0.1857054772110656,28.283203964728205,422
Sanyo,Alice2018Test,S2_new_origins,12,power-active,Daily,accepted,0.1116164001092272,0.0423632593823392,0.0034896483544668,5.25736916635079,422
Sanyo,Alice2018Test,S2_new_origins,12,power-active,Last-value,accepted,0.5663708195537077,0.476732624279803,0.474433887820532,135.36743201209808,422
Sanyo,Alice2018Test,S2_new_origins,12,power-active,Inverted42,accepted,0.4524901279013883,0.375373592878299,0.3669405792093884,86.40336728794662,422
Sanyo,Alice2018Test,S2_new_origins,12,power-active,Joint-patch Transformer42,accepted,0.7700355244570467,0.7435649129875463,0.7435649129875463,250.22688716670407,422
Sanyo,Alice2018Test,S2_new_origins,12,power-active,Joint-patch Transformer43,accepted,0.4792811982940488,0.3977367071373061,0.3897030989935189,96.93781709011168,422
Sanyo,Alice2018Test,S2_new_origins,12,power-active,Joint-patch Transformer44,accepted,0.5311489724506219,0.4966869693584916,0.4966869693584916,119.0543154547183,422
Sanyo,Alice2018Test,S2_new_origins,12,low-power,Original A,accepted,0.3191176021854013,0.2734870522561279,-0.119588708838424,205.1996287094885,2015
Sanyo,Alice2018Test,S2_new_origins,12,low-power,Original B,accepted,0.1765041485233933,0.1356416504965024,0.0385087202200174,62.77473460862571,2015
Sanyo,Alice2018Test,S2_new_origins,12,low-power,Expanded A,accepted,0.3191176021854013,0.2734870522561279,-0.119588708838424,205.1996287094885,2015
Sanyo,Alice2018Test,S2_new_origins,12,low-power,Expanded B,accepted,0.1765041485233933,0.1356416504965024,0.0385087202200174,62.77473460862571,2015
Sanyo,Alice2018Test,S2_new_origins,12,low-power,Daily,accepted,0.0035824064716535,0.0011971379778875,-0.0001564099770275,0.0258597767982119,2015
Sanyo,Alice2018Test,S2_new_origins,12,low-power,Last-value,accepted,0.4780023815738614,0.2898956650243409,0.2898956650243409,460.399847732421,2015
Sanyo,Alice2018Test,S2_new_origins,12,low-power,Inverted42,accepted,0.3465485533352473,0.2841062257846106,0.267780703214048,241.9932381347869,2015
Sanyo,Alice2018Test,S2_new_origins,12,low-power,Joint-patch Transformer42,accepted,0.4238455455353428,0.3214536540406968,0.2847102967437189,361.984768637357,2015
Sanyo,Alice2018Test,S2_new_origins,12,low-power,Joint-patch Transformer43,accepted,0.3102929188295444,0.2204608973217762,0.1749516618831039,194.00761638365285,2015
Sanyo,Alice2018Test,S2_new_origins,12,low-power,Joint-patch Transformer44,accepted,0.3095570115868559,0.2398552557618635,0.1692925186024322,193.0884699965084,2015
Sanyo,Alice2018Test,Original,144,full,Original A,accepted,0.9137155813137656,0.6192592830143065,-0.2110193468969993,499520.60153810144,598317
Sanyo,Alice2018Test,Original,144,full,Original B,accepted,0.2119271373577942,0.1515776804404297,-0.1031333552481965,26872.27816246521,598317
Sanyo,Alice2018Test,Original,144,full,Expanded A,accepted,0.9137155813137656,0.6192592830143065,-0.2110193468969993,499520.60153810144,598317
Sanyo,Alice2018Test,Original,144,full,Expanded B,accepted,0.2119271373577942,0.1515776804404297,-0.1031333552481965,26872.27816246521,598317
Sanyo,Alice2018Test,Original,144,full,Daily,accepted,0.1181415952926916,0.0342705661669163,-0.0097920170337861,8350.971557287321,598317
Sanyo,Alice2018Test,Original,144,full,Last-value,accepted,2.728050208504772,1.7831623733651525,-0.8996926851510308,4452829.44396053,598317
Sanyo,Alice2018Test,Original,144,full,Inverted42,accepted,0.7806552101766312,0.5073427011549927,-0.1249137782571287,364627.87614182505,598317
