block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Daily_SSE,Last-value_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Joint-patch Transformer42_SSE,Joint-patch Transformer43_SSE,Joint-patch Transformer44_SSE,site,period,support,horizon,scope,block_hours
0,2604.0,61.94908837824621,29.95839892145607,61.94908837824621,29.95839892145607,6.316607816727663,628.9951121511521,107.4148759848154,100.69633001641358,105.88364698896719,155.6490993753247,191.39865443796015,112.67959262982112,Hanwha,Alice2018Test,Original,12,full,24
1,3456.0,81.81156718289812,35.48146571516971,81.81156718289812,35.48146571516971,4.003379687539483,624.2149720097339,135.40620055670027,114.17034170806133,123.08158894856868,213.45394597894614,235.19185994539066,183.04248691812674,Hanwha,Alice2018Test,Original,12,full,24
2,3288.0,80.80031179489669,30.970440742749155,80.80031179489669,30.970440742749155,4.05324532375848,589.9942560787766,89.38276770281045,119.37245529590761,142.00029803793976,187.426051508295,271.62641703521933,193.37353563670177,Hanwha,Alice2018Test,Original,12,full,24
3,3288.0,153.05626017708582,40.38122017442597,153.05626017708582,40.38122017442597,44.860528429269195,636.0878263294412,98.87015172289964,175.19895828913832,155.50523456272458,201.4342885933583,365.9985299946436,213.22093605578368,Hanwha,Alice2018Test,Original,12,full,24
4,3288.0,138.7876110741237,35.30732798815374,138.7876110741237,35.30732798815374,5.599951303225313,642.7320323878738,77.04721829915027,151.36274298886838,142.17434297150328,203.64234095609908,398.90895301381164,250.44383768094676,Hanwha,Alice2018Test,Original,12,full,24
5,3432.0,95.1732621727017,24.652067109140702,95.1732621727017,24.652067109140702,2.188399633037429,662.5861950234693,74.19182863810555,130.94172830395243,110.38541313612973,192.55448312685664,312.695360997674,193.473869764812,Hanwha,Alice2018Test,Original,12,full,24
6,3300.0,58.719943056762446,26.049658382243614,58.719943056762446,26.049658382243614,21.98137317558745,603.2064621513986,75.08368160920212,89.56321777126955,84.87468499680647,137.5862227517405,247.50323043105888,133.98645173069227,Hanwha,Alice2018Test,Original,12,full,24
7,3444.0,103.59763674632208,38.81809282632522,103.59763674632208,38.81809282632522,17.41268709619802,595.4516722098169,150.94612877008421,115.14818509677312,135.35726267718294,262.4961532415655,232.96479570031846,181.39296678941662,Hanwha,Alice2018Test,Original,12,full,24
8,3300.0,100.00179768889026,27.86882422171929,100.00179768889026,27.86882422171929,8.016413870578214,546.7594916613126,148.90531100572673,107.90864743813616,120.94928051268114,322.9196304160577,261.24387431864,231.45211638336983,Hanwha,Alice2018Test,Original,12,full,24
9,3444.0,90.47526088239363,30.19583249063452,90.47526088239363,30.19583249063452,13.314187131010227,591.2752821191208,126.26324536576261,93.19990013175658,105.53540633156179,235.76458122408468,233.52459711791883,179.10024018341315,Hanwha,Alice2018Test,Original,12,full,24
10,3300.0,58.70808214521519,21.363959020261948,58.70808214521519,21.363959020261948,8.658781214122818,572.1252193416755,116.06002301216532,119.9653947823036,123.5620874840389,191.6278984969436,277.091249272778,129.6791167507727,Hanwha,Alice2018Test,Original,12,full,24
11,3300.0,101.3593943792116,30.443963333818633,101.3593943792116,30.443963333818633,54.35252527014949,621.7591404508399,118.69325814985882,186.376685489577,159.15265811985125,192.15036461143475,322.6199660439864,168.52958793216854,Hanwha,Alice2018Test,Original,12,full,24
12,3444.0,66.76620633247397,29.424242304560934,66.76620633247397,29.424242304560934,7.356267365111371,655.299419403344,94.1152895026816,145.30529346681044,122.05499401709348,167.29610920735573,238.99680650259924,124.52349545420321,Hanwha,Alice2018Test,Original,12,full,24
13,3456.0,116.59001329111368,49.13775750954438,116.59001329111368,49.13775750954438,28.811938324496982,637.9336610184278,121.61121394884876,143.5527907717922,143.95769044787843,249.19964044679512,257.3093357181209,198.61676001922416,Hanwha,Alice2018Test,Original,12,full,24
14,3300.0,65.76771317046726,26.123335676505107,65.76771317046726,26.123335676505107,13.395540445729175,574.1629244084774,97.06748579050131,130.56356601568763,170.56674836144853,215.4220777950705,399.3780668824703,228.3928095360976,Hanwha,Alice2018Test,Original,12,full,24
