site,period,support,horizon,scope,block_hours,method,reference,rmse,reference_rmse,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,blocks,nonempty_blocks,points,replicates,valid_replicates,zero_support_replicates,valid_skill_replicates
NIST_GROUND,2018,complete_H144,144,full,24,Original A,Daily,50.96356126314963,49.07956305466039,1.8839982084892384,-2.746041536946983,6.489420865395021,-0.03838661331175697,-0.14324297748580458,0.051977687152719866,91,82,2514247,2000,2000,0,2000
NIST_GROUND,2018,complete_H144,144,full,24,Original A,Last-value,50.96356126314963,90.10477509212829,-39.141213828978664,-44.93364747479674,-32.86346195234719,0.43439666531500065,0.3925822916536328,0.4701433124547707,91,82,2514247,2000,2000,0,2000
NIST_GROUND,2018,complete_H144,144,full,24,Expanded A,Daily,50.96358246029148,49.07956305466039,1.8840194056310864,-2.746025847907732,6.48943539128657,-0.038387045205207526,-0.14324357164891205,0.05197752489834143,91,82,2514247,2000,2000,0,2000
NIST_GROUND,2018,complete_H144,144,full,24,Expanded A,Last-value,50.96358246029148,90.10477509212829,-39.141192631836816,-44.933642492955535,-32.86342682780497,0.4343964300650728,0.392581940720615,0.47014328839110986,91,82,2514247,2000,2000,0,2000
NIST_GROUND,2018,complete_H144,144,full,24,Original B,Daily,38.67826985967808,49.07956305466039,-10.401293194982308,-12.24998813563499,-8.56788107715472,0.21192717594894406,0.18467113143538139,0.23790950387737536,91,82,2514247,2000,2000,0,2000
NIST_GROUND,2018,complete_H144,144,full,24,Original B,Last-value,38.67826985967808,90.10477509212829,-51.42650523245021,-58.41601832235209,-44.60568604311195,0.5707411752581237,0.5255877603720535,0.6123998407538024,91,82,2514247,2000,2000,0,2000
NIST_GROUND,2018,complete_H144,144,full,24,Expanded B,Daily,38.67826985967808,49.07956305466039,-10.401293194982308,-12.24998813563499,-8.56788107715472,0.21192717594894406,0.18467113143538139,0.23790950387737536,91,82,2514247,2000,2000,0,2000
NIST_GROUND,2018,complete_H144,144,full,24,Expanded B,Last-value,38.67826985967808,90.10477509212829,-51.42650523245021,-58.41601832235209,-44.60568604311195,0.5707411752581237,0.5255877603720535,0.6123998407538024,91,82,2514247,2000,2000,0,2000
NIST_GROUND,2018,complete_H144,144,full,24,Inverted42,Daily,36.56173356267113,49.07956305466039,-12.51782949198926,-17.18621933030209,-7.775678076344839,0.2550517713054623,0.16672338852219262,0.32682123667832713,91,82,2514247,2000,2000,0,2000
NIST_GROUND,2018,complete_H144,144,full,24,Inverted42,Last-value,36.56173356267113,90.10477509212829,-53.54304152945716,-61.20123974122607,-45.630100355544855,0.5942308992471452,0.5419841311729496,0.6393562606608878,91,82,2514247,2000,2000,0,2000
NIST_GROUND,2018,complete_H144,144,full,24,Inverted43,Daily,36.723884690503525,49.07956305466039,-12.355678364156866,-17.021656227063858,-7.723229667507634,0.25174792918177014,0.16602581586343354,0.3224770106692765,91,82,2514247,2000,2000,0,2000
NIST_GROUND,2018,complete_H144,144,full,24,Inverted43,Last-value,36.723884690503525,90.10477509212829,-53.38089040162477,-60.732149076162806,-45.7278735123558,0.5924313150667663,0.5432891205812044,0.6348403474093631,91,82,2514247,2000,2000,0,2000
NIST_GROUND,2018,complete_H144,144,full,24,Inverted44,Daily,36.606073545448076,49.07956305466039,-12.473489509212314,-17.20441823844955,-7.678152102568958,0.25414834063050773,0.16698290616761208,0.3274922421916893,91,82,2514247,2000,2000,0,2000
NIST_GROUND,2018,complete_H144,144,full,24,Inverted44,Last-value,36.606073545448076,90.10477509212829,-53.498701546680216,-61.36988011749933,-45.33519898857278,0.5937388056513107,0.5406470156871812,0.6402082939789066,91,82,2514247,2000,2000,0,2000
NIST_GROUND,2018,complete_H144,144,full,24,Inverted mean,Daily,36.630563932874246,49.07956305466039,-12.448999121786146,-17.11003296497245,-7.716465684331582,0.25364934703924674,0.1667978421752898,0.3250620272387861,91,82,2514247,2000,2000,0,2000
