block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,Last-value_SSE,site,period,support,horizon,scope,block_hours
0,41472.0,22319187.061331134,24083665.150211457,29993378.424422912,23027964.361597534,18408836.45626635,17154515.50382544,15814658.575576762,35840700.89984971,78638947.29660541,YULARA_COMBINED,2017,complete_H144,144,full,24
1,41472.0,19936183.32625142,9572228.81433379,45603182.65930428,14362917.931789968,11252048.019826563,9637650.74725049,8886061.933218941,16162217.575439943,121269549.86738983,YULARA_COMBINED,2017,complete_H144,144,full,24
2,41472.0,13884247.210880227,1375826.6748379795,38840385.79647315,3277440.021568441,9563379.836794576,7599757.928730895,7065649.127166313,2009564.9326045387,105468784.29856841,YULARA_COMBINED,2017,complete_H144,144,full,24
3,41472.0,12891403.45532009,1168677.5415030762,35895272.424188495,3380326.08943607,5803856.6848315615,5268145.823745838,5439100.964291204,2271339.0337327663,97945944.84641287,YULARA_COMBINED,2017,complete_H144,144,full,24
4,41472.0,27657545.13624282,13262727.956755836,27274262.739077695,11161875.630201595,14159573.037834864,13749950.51403228,14917428.696738033,16298065.509089045,62754312.01908761,YULARA_COMBINED,2017,complete_H144,144,full,24
5,41472.0,30865057.40613562,11064498.346979897,20395525.528989404,11875632.549527572,9532567.729167666,13923489.392357094,15644651.92568375,17270265.68641137,23255554.49232992,YULARA_COMBINED,2017,complete_H144,144,full,24
6,41472.0,32986004.914244108,15621255.806275219,30471639.99405164,16880787.429625675,18963400.857824743,19946034.51791257,20690314.53535055,21815324.412443355,70121644.32945171,YULARA_COMBINED,2017,complete_H144,144,full,24
7,41472.0,15017538.435716992,11274760.010312987,38797050.494233795,13935529.716979627,13398292.190277893,10439258.554499637,9201200.946618032,19844292.50794976,103951036.88513616,YULARA_COMBINED,2017,complete_H144,144,full,24
8,41472.0,19284949.264387835,13849778.906925501,21083164.857768144,9941113.756538827,9298613.87716809,9371304.571484264,10251995.089311859,18875287.248162914,51320123.55821818,YULARA_COMBINED,2017,complete_H144,144,full,24
9,41472.0,20412914.57087288,9770649.501988128,35803128.856368974,12941290.471414672,16171936.722213525,14037415.218796153,13649093.88219824,15357416.436779987,91170648.49855663,YULARA_COMBINED,2017,complete_H144,144,full,24
10,41472.0,18941873.54407212,10640883.30516373,37879283.995498694,10691182.13263653,15139440.06903664,13133395.775172802,12866012.310652118,14761126.916734112,100539568.6655638,YULARA_COMBINED,2017,complete_H144,144,full,24
11,41472.0,19155248.81161699,4805606.964277327,37129860.9215222,8102675.738946094,10213789.602848683,9533999.236458387,9413440.540463781,9317845.128247617,99809764.62330219,YULARA_COMBINED,2017,complete_H144,144,full,24
12,41472.0,16881870.22753563,3594849.2753961305,42447322.53953262,7251723.999099983,11675128.537186164,9866237.451186629,9430556.11538787,7971700.610484249,111524870.34156887,YULARA_COMBINED,2017,complete_H144,144,full,24
13,41472.0,17240328.29364104,7443250.017947593,32091132.457649324,7256816.442049066,9424445.761751555,8859915.255900271,9080413.88214747,10687853.900208814,86311079.00857916,YULARA_COMBINED,2017,complete_H144,144,full,24
14,41472.0,16445457.041090256,7602236.247082462,45062241.61217241,10943015.739545934,9894096.416111346,8455066.98208946,7729987.393022019,10484126.067160381,119238571.63615794,YULARA_COMBINED,2017,complete_H144,144,full,24
15,41472.0,15316550.203660458,308613.0659963771,43693429.87465859,3963030.2531667408,8807348.950575525,9373820.826510359,8679342.285923203,928611.8858726195,115289776.13635017,YULARA_COMBINED,2017,complete_H144,144,full,24
16,41472.0,12600201.27158841,205209.05672118685,41077964.601382904,3347587.6761009065,6073384.795922468,5930541.529819448,5515011.4587905845,69137.79997417744,110606494.1886549,YULARA_COMBINED,2017,complete_H144,144,full,24
17,41472.0,11659823.73282401,196745.21950757655,38901011.40832486,2984521.111450212,4625687.961657544,5028453.114684483,4881719.4996470455,90043.89363478989,105295381.14649121,YULARA_COMBINED,2017,complete_H144,144,full,24
18,41472.0,16359500.54941625,3510302.5510755964,40124431.698360756,5755036.644703031,7161555.292654214,7064045.395834109,6724653.214594625,3710444.774080523,104879381.08180842,YULARA_COMBINED,2017,complete_H144,144,full,24
19,41472.0,17952245.413487826,2029757.2393310207,44965095.13135097,5959971.8633493865,8048779.764240223,7687045.987414825,7044224.941843749,4229783.503793114,116462650.89047568,YULARA_COMBINED,2017,complete_H144,144,full,24
20,41472.0,18790137.026935447,639194.4972413117,47941102.19396521,5142115.509922679,9021375.471791409,9148168.327587035,8141346.813025202,146775.0268642279,124665060.65009174,YULARA_COMBINED,2017,complete_H144,144,full,24
21,41472.0,15581626.718773864,1485896.8050094335,46494839.68833713,5046681.744871057,8984930.34246426,9297007.052161714,8318096.663046793,1486430.4687085585,123667600.1538629,YULARA_COMBINED,2017,complete_H144,144,full,24
22,41472.0,16941559.18184237,3189206.0585408537,38211920.81172037,4281043.129062908,8029868.358657429,8323119.0377457915,7838044.108315874,4602010.788743203,102306637.50594863,YULARA_COMBINED,2017,complete_H144,144,full,24
23,41472.0,16664265.092052924,3258798.4419403425,42755406.6734984,6310746.733901228,9575007.409136849,8460794.096139109,8830852.208049674,5363107.626825983,113619983.40057698,YULARA_COMBINED,2017,complete_H144,144,full,24
24,41472.0,17762901.82618371,1413648.826338646,40617644.93611441,4090451.427724422,5323527.53082692,5911960.377961812,5709724.770784648,2388128.411318391,107180120.9593544,YULARA_COMBINED,2017,complete_H144,144,full,24
25,41472.0,15184122.754332323,3664449.9074024823,40128407.09269191,5944825.240841085,7866175.803216422,9320188.479593866,9342412.947036725,4689704.798381708,106999187.38676123,YULARA_COMBINED,2017,complete_H144,144,full,24
26,41472.0,20697239.816671755,10399063.797100095,30206387.54431294,8796906.824615603,11826716.096251948,11009328.157645414,11361792.560479905,12858812.841168359,81485902.87925692,YULARA_COMBINED,2017,complete_H144,144,full,24
27,41472.0,14378496.96382094,4794506.0271411715,42256300.88853293,10107252.0606616,6499065.024165899,6843236.379687334,6056624.412207314,12185181.512015162,112752436.25746691,YULARA_COMBINED,2017,complete_H144,144,full,24
28,41472.0,12798869.524930717,445449.0156821813,44312757.46764503,4473585.740632377,8294746.937783663,9150357.456719356,7622842.381975961,84648.6567529708,118987352.65787806,YULARA_COMBINED,2017,complete_H144,144,full,24
29,41472.0,22460138.4870591,466243.9282721286,47433311.86004583,4651493.234193001,8155060.664051914,7564032.667083035,6105391.554094487,37498.2216183024,122563015.10991374,YULARA_COMBINED,2017,complete_H144,144,full,24
30,41472.0,15906169.275799591,390365.2285069224,46907127.97349913,4475717.65577084,10858987.291717563,11326257.973987332,9973683.552062688,11977.599258292297,124165014.62857792,YULARA_COMBINED,2017,complete_H144,144,full,24
31,41472.0,16254266.741876114,403408.932088751,47715502.02758665,4573945.207117911,10615055.95311548,11375705.056235293,10169072.833204158,14060.512213494601,125930107.94359209,YULARA_COMBINED,2017,complete_H144,144,full,24
32,41472.0,4744387216.890792,440342802.84223884,48094565.15647257,20628838.91319833,14253278.781433035,13261311.417015538,12945961.577373493,41242.515757966496,121209325.46100105,YULARA_COMBINED,2017,complete_H144,144,full,24
33,41472.0,10711690128.269978,861386371.1195542,47784875.41884103,38876436.33464409,11892121.906332776,11034989.401558967,12946632.44172003,88546.0679343608,114426535.4586434,YULARA_COMBINED,2017,complete_H144,144,full,24
34,41472.0,10636772278.726616,862506526.6783174,46875582.71548778,38092410.67257326,11570486.52899189,10967013.144022077,12952620.478569403,565492.545395719,112627973.24835533,YULARA_COMBINED,2017,complete_H144,144,full,24
35,41472.0,10518122697.358177,835824532.7585735,39433256.106442474,33309115.511076264,13624221.673365988,12885026.571540449,15366080.9227139,6961639.310382292,96726642.69419618,YULARA_COMBINED,2017,complete_H144,144,full,24
36,41472.0,10468075942.634893,794139947.7294751,28513296.95658383,26375536.70960037,12393200.860091802,11974660.27661142,13755591.678784702,14412826.420813318,67273173.79705617,YULARA_COMBINED,2017,complete_H144,144,full,24
37,41472.0,5322852428.209693,451236731.9790951,36605646.68062178,26090915.52725078,13384021.10838972,12302293.935103137,13697842.998893697,9799688.577110376,90042501.82728456,YULARA_COMBINED,2017,complete_H144,144,full,24
38,41472.0,25970724.065670278,16118286.485461373,22365723.972292773,12865278.808594815,16912063.768653173,15074458.606344158,16946375.966443524,21178293.38598429,46118793.81325158,YULARA_COMBINED,2017,complete_H144,144,full,24
39,41472.0,14330895.294420838,14763970.529633349,33894223.83539713,17091885.844864596,8545297.643743558,7388132.31494353,7215794.287550111,24266006.372618407,94589105.17941706,YULARA_COMBINED,2017,complete_H144,144,full,24
40,41472.0,26226480.940583777,21989355.37153521,14947655.677422687,16825214.257298768,19549340.88755424,18463097.83672685,19696915.296544965,30045445.719533842,22815825.345249616,YULARA_COMBINED,2017,complete_H144,144,full,24
41,41472.0,22524446.23320154,8730731.384442633,19049795.67014934,9735108.57563941,12420032.052254558,12810481.702943984,13017381.063023653,11814476.73505528,49063821.35949228,YULARA_COMBINED,2017,complete_H144,144,full,24
42,41472.0,55258903.13080867,8954570.930159772,26961904.538857862,11573229.585253235,13295860.779253175,12630935.182284439,11795707.418630218,14186647.968143834,73901119.6652759,YULARA_COMBINED,2017,complete_H144,144,full,24
43,41472.0,21392112.60352076,11952345.749884102,35386770.56054166,12380392.225223823,13989188.609643497,11648944.679709483,11048271.915423892,14645542.65866877,94831379.6510316,YULARA_COMBINED,2017,complete_H144,144,full,24
44,41472.0,15593329.28527073,5482934.77533655,40072132.506393,8087474.176143918,13382919.460411994,10751640.346228415,9485439.380289983,10554470.945060238,106667643.3790611,YULARA_COMBINED,2017,complete_H144,144,full,24
45,41472.0,22780976.508712716,4190481.8625205327,43978878.30673676,7604238.683316372,11270119.366427833,10759199.441903878,9724454.445546422,4410672.741262648,114012123.46227352,YULARA_COMBINED,2017,complete_H144,144,full,24
46,41472.0,21076597.45586296,4085016.928237866,42729693.54144756,6822126.07136633,14635265.493587546,13184161.237733355,11566379.149517111,6607500.134742847,112369701.7468991,YULARA_COMBINED,2017,complete_H144,144,full,24
47,41472.0,14931140.778245596,2913691.95617475,41259628.81545867,5762810.300738586,9200153.114711907,8553309.833973397,7475187.833600124,6299095.114873492,109692177.43481648,YULARA_COMBINED,2017,complete_H144,144,full,24
48,41472.0,25360988.450141907,11921133.220570317,31249405.10704427,10660917.217347827,11880784.25883497,13168956.498803027,12960358.03546912,15596569.48015087,83093467.3310151,YULARA_COMBINED,2017,complete_H144,144,full,24
49,41472.0,21225230.22185452,17038508.017728243,31160940.50830725,13162274.938768946,14953191.6519601,13261731.495023796,14895146.615164986,24286097.287431635,83662511.21290495,YULARA_COMBINED,2017,complete_H144,144,full,24
50,41472.0,24741878.91779047,6128184.466635672,29234403.58943754,6332172.494839445,4990570.3775724685,5009239.030245237,5007089.096875463,9524247.798751136,84249328.52332823,YULARA_COMBINED,2017,complete_H144,144,full,24
51,41472.0,13646474.65976499,2755015.1473380174,44852074.191652134,8187670.590094472,5644880.918773328,6357910.352267724,5681374.424847721,3091198.432848523,117253377.13695504,YULARA_COMBINED,2017,complete_H144,144,full,24
52,41472.0,11744395.55217131,2078284.686105485,40845908.22062233,4236769.870733391,5331245.222291977,5912812.967188892,5532456.382394209,2254724.01974742,107721493.9991231,YULARA_COMBINED,2017,complete_H144,144,full,24
53,41472.0,19812003.1664514,4547135.931468894,41051035.26130285,6795032.750984906,8432310.445559956,9567340.798180131,8531568.775205115,6773177.7772279065,107867366.34359919,YULARA_COMBINED,2017,complete_H144,144,full,24
54,41472.0,14842911.885873422,2256788.501339384,42375682.47613883,5411909.736836028,6692061.59993733,7264079.66613269,6520552.166441623,6057979.994834402,112517917.27646366,YULARA_COMBINED,2017,complete_H144,144,full,24
55,41472.0,36947685.229037344,17773438.931719866,35817750.724454984,15867672.942095807,15015312.083908014,15204989.939669535,15920782.750431351,21916116.36141997,87386216.69058016,YULARA_COMBINED,2017,complete_H144,144,full,24
56,41472.0,27768106.845682174,12189349.516540987,23412714.930285253,8370846.049285746,11599030.888737068,11143186.94732177,12287875.38053348,20498700.595948115,57333098.36472178,YULARA_COMBINED,2017,complete_H144,144,full,24
57,41472.0,22477864.508665726,12983813.747710397,38403863.68020827,15367132.88943878,13386031.89304852,12482882.23497543,12400327.812184699,17483078.249145955,103713426.8247346,YULARA_COMBINED,2017,complete_H144,144,full,24
58,41472.0,28284774.08195622,14410891.071586393,28751920.065228816,12161272.488708746,13817873.327330347,14208198.848564215,14407908.48714704,21256791.549843874,74742701.76410204,YULARA_COMBINED,2017,complete_H144,144,full,24
59,41472.0,63131973.116639875,15062970.383578788,20423296.238847155,11485745.628007492,11286045.199204315,11293213.853975674,12593108.900800908,26403882.033467777,57193371.31359347,YULARA_COMBINED,2017,complete_H144,144,full,24
60,41472.0,21192863.96633468,13879446.16073013,37061073.89731347,14486752.399082113,12756365.179052558,12186701.64449557,11824646.537096165,18593045.828915242,100309411.52170809,YULARA_COMBINED,2017,complete_H144,144,full,24
61,41472.0,20049147.91515606,4459881.149875474,41340086.419886924,7332504.522113475,17618107.654499207,13864011.261899369,13154128.926801959,7083018.21566349,109278896.15556921,YULARA_COMBINED,2017,complete_H144,144,full,24
62,41472.0,23062055.799988445,5752921.152720635,48613725.79748718,8814806.308932772,15585910.429164888,13398902.954648362,12225204.158738265,6325144.071622886,126318586.72145656,YULARA_COMBINED,2017,complete_H144,144,full,24
63,41472.0,14965295.046913913,436850.8018573605,44389476.51231778,3706156.5414881175,10406857.288558237,9725378.060362669,8591781.725625148,392340.0003263589,116702699.07177834,YULARA_COMBINED,2017,complete_H144,144,full,24
