site,method,RMSE,MAE,bias,SSE,points
NIST_GROUND,Original A,48.95605643272451,38.09133223078053,10.839134264190582,7498483569.529101,3128676
NIST_GROUND,Original B,34.995068178330236,22.901394107331825,4.613427421842342,3831548071.0517516,3128676
NIST_GROUND,Expanded A,48.95606911138408,38.09133709182395,10.839112138127174,7498487453.450306,3128676
NIST_GROUND,Expanded B,34.995068178330236,22.901394107331825,4.613427421842342,3831548071.0517516,3128676
NIST_GROUND,Inverted42,44.553447464610535,28.9786877048403,13.007370178750634,6210452148.655449,3128676
NIST_GROUND,Inverted43,43.94857993547616,28.06136609689585,11.201123987906078,6042967856.773526,3128676
NIST_GROUND,Inverted44,45.32584042685789,28.61020254473114,14.026020425583908,6427651498.838112,3128676
NIST_GROUND,Daily,41.899430912463814,18.206531310177212,0.3898566509923041,5492585668.267984,3128676
NIST_GROUND,Last-value,78.65828435038527,47.185036324438855,2.0247203606253907,19357511677.01843,3128676
