site,period,support,horizon,scope,method,RMSE,RMSE_seed_SD,MAE,bias,SSE,points,seed_count
NIST_GROUND,2017,complete_H144,144,full,Original A,49.01579839879052,,38.10180980316389,10.685606910966651,7587875205.011211,3158261,0
NIST_GROUND,2017,complete_H144,144,full,Original B,34.999071344704184,,22.90195364055717,4.504554687601568,3868664422.2174616,3158261,0
NIST_GROUND,2017,complete_H144,144,full,Expanded A,49.0158105890138,,38.10181409652505,10.685584688137396,7587878979.219018,3158261,0
NIST_GROUND,2017,complete_H144,144,full,Expanded B,34.999071344704184,,22.90195364055717,4.504554687601568,3868664422.2174616,3158261,0
NIST_GROUND,2017,complete_H144,144,full,Daily,41.84845149493383,,18.167606717747493,0.2877727558298698,5531040042.035203,3158261,0
NIST_GROUND,2017,complete_H144,144,full,Last-value,78.74448129840117,,47.210764326444206,1.730689434470425,19583407932.745956,3158261,0
NIST_GROUND,2017,complete_H144,144,full,Inverted mean,44.54614578332869,0.6828665188255779,28.502176460080037,12.560960844013698,6268105780.77019,3158261,3
NIST_GROUND,2017,complete_H144,144,low-power,Original A,38.35253477929292,,31.163311106390125,25.445958002376347,3016388743.203451,2050686,0
NIST_GROUND,2017,complete_H144,144,low-power,Original B,16.298518999850575,,12.407887246626018,9.006721273415518,544747759.4774146,2050686,0
NIST_GROUND,2017,complete_H144,144,low-power,Expanded A,38.352566880658905,,31.163329781568898,25.445844559506707,3016393792.686625,2050686,0
NIST_GROUND,2017,complete_H144,144,low-power,Expanded B,16.298518999850575,,12.407887246626018,9.006721273415518,544747759.4774146,2050686,0
NIST_GROUND,2017,complete_H144,144,low-power,Daily,8.559102054277544,,1.1392487383246392,1.1023404100871614,150229622.49424425,2050686,0
NIST_GROUND,2017,complete_H144,144,low-power,Last-value,66.12049495328624,,31.797144701919255,31.70355356646508,8965434835.397549,2050686,0
NIST_GROUND,2017,complete_H144,144,low-power,Inverted mean,32.823035344872345,0.9188481028854298,17.790895804203895,12.607408351896254,2210464182.156402,2050686,3
NIST_GROUND,2017,complete_H144,144,power-active,Original A,64.24541617921753,,50.94850834591922,-16.64332822953267,4571486461.80776,1107575,0
NIST_GROUND,2017,complete_H144,144,power-active,Original B,54.78207663628041,,42.331820725951005,-3.83125100248395,3323916662.7400484,1107575,0
NIST_GROUND,2017,complete_H144,144,power-active,Expanded A,64.2454072181714,,50.948486011203535,-16.643181557560492,4571485186.532398,1107575,0
NIST_GROUND,2017,complete_H144,144,power-active,Expanded B,54.78207663628041,,42.331820725951005,-3.83125100248395,3323916662.7400484,1107575,0
NIST_GROUND,2017,complete_H144,144,power-active,Daily,69.70072143868329,,49.69577890598833,-1.220407263255311,5380810419.540943,1107575,0
NIST_GROUND,2017,complete_H144,144,power-active,Last-value,97.91162042343842,,75.74923257765845,-53.76436314019367,10617973097.348454,1107575,0
NIST_GROUND,2017,complete_H144,144,power-active,Inverted mean,60.521214696528716,1.0386643675792802,48.334217886688684,12.474962826588552,4057641598.613766,1107575,3
NIST_GROUND,2017,pointwise_finite,144,full,Original A,49.81265521330518,,38.65778871172841,9.811657501483444,9089361476.150002,3663144,0
NIST_GROUND,2017,pointwise_finite,144,full,Original B,35.40641856649144,,23.208934780675065,4.112841804783283,4592170344.994078,3663144,0
NIST_GROUND,2017,pointwise_finite,144,full,Expanded A,49.8126872767547,,38.65781022512357,9.811621292922492,9089373177.448614,3663144,0
NIST_GROUND,2017,pointwise_finite,144,full,Expanded B,35.40641856649144,,23.208934780675065,4.112841804783283,4592170344.994078,3663144,0
NIST_GROUND,2017,pointwise_finite,144,full,Daily,42.21019670935773,,18.2977402642648,0.0036482568525833,6526626251.868612,3663144,0
NIST_GROUND,2017,pointwise_finite,144,full,Last-value,79.45143698663094,,47.86258213065058,-0.0830534408693733,23123709468.579124,3663144,0
NIST_GROUND,2017,pointwise_finite,144,full,Inverted mean,44.75183667053053,0.6242429594537898,28.85301933492885,11.639111284187884,7337228608.032306,3663144,3
NIST_GROUND,2017,pointwise_finite,144,low-power,Original A,38.48298198801247,,31.359888648604645,25.942856010425206,3472019173.658902,2344470,0
NIST_GROUND,2017,pointwise_finite,144,low-power,Original B,16.631410843351023,,12.584810167974789,9.324799580612575,648489373.4434638,2344470,0
NIST_GROUND,2017,pointwise_finite,144,low-power,Expanded A,38.48305786445555,,31.359938146164957,25.942718996408576,3472032865.1511583,2344470,0
NIST_GROUND,2017,pointwise_finite,144,low-power,Expanded B,16.631410843351023,,12.584810167974789,9.324799580612575,648489373.4434638,2344470,0
NIST_GROUND,2017,pointwise_finite,144,low-power,Daily,9.258230517733786,,1.1796191353269614,1.1429462808225312,200955852.92809165,2344470,0
NIST_GROUND,2017,pointwise_finite,144,low-power,Last-value,65.75504456091838,,31.553785326577028,31.459209583999822,10136845626.094446,2344470,0
NIST_GROUND,2017,pointwise_finite,144,low-power,Inverted mean,32.759530254289814,0.889487088133014,17.90451078871312,12.621617406558236,2517290919.5985646,2344470,3
NIST_GROUND,2017,pointwise_finite,144,power-active,Original A,65.26746168530723,,51.63272244136274,-18.867994154846087,5617342302.491098,1318674,0
NIST_GROUND,2017,pointwise_finite,144,power-active,Original B,54.68675648471599,,42.097561864198006,-5.153495930470844,3943680971.550617,1318674,0
NIST_GROUND,2017,pointwise_finite,144,power-active,Expanded A,65.26745012335395,,51.632694201721336,-18.867851141425955,5617340312.297463,1318674,0
NIST_GROUND,2017,pointwise_finite,144,power-active,Expanded B,54.68675648471599,,42.097561864198006,-5.153495930470844,3943680971.550617,1318674,0
NIST_GROUND,2017,pointwise_finite,144,power-active,Daily,69.26033022235464,,48.73204126903236,-2.0219092640030825,6325670398.94052,1318674,0
NIST_GROUND,2017,pointwise_finite,144,power-active,Last-value,99.23923823762529,,76.85798572793577,-56.16203080291262,12986863842.484743,1318674,0
NIST_GROUND,2017,pointwise_finite,144,power-active,Inverted mean,60.45253928162368,0.9722608893574268,48.31836848972102,9.892314025188591,4819937688.433719,1318674,3
NIST_GROUND,2018,complete_H144,144,full,Original A,50.96356126314964,,38.23381031474332,1.1604031347676167,6530214954.92016,2514247,0
NIST_GROUND,2018,complete_H144,144,full,Original B,38.67826985967808,,24.656659059169005,0.9294346531414406,3761335032.2900944,2514247,0
NIST_GROUND,2018,complete_H144,144,full,Expanded A,50.96358246029147,,38.23383251624095,1.1603912838731585,6530220387.112023,2514247,0
NIST_GROUND,2018,complete_H144,144,full,Expanded B,38.67826985967808,,24.656659059169005,0.9294346531414406,3761335032.2900944,2514247,0
NIST_GROUND,2018,complete_H144,144,full,Daily,49.07956305466031,,23.75063811017772,0.3381312155090575,6056326997.692731,2514247,0
NIST_GROUND,2018,complete_H144,144,full,Last-value,90.10477509212832,,59.711405272115215,2.568487615576351,20412845783.94133,2514247,0
NIST_GROUND,2018,complete_H144,144,full,Inverted mean,36.63056393287428,0.083803826711808,21.969567807074565,-0.8460146508570793,3373623906.097255,2514247,3
NIST_GROUND,2018,complete_H144,144,low-power,Original A,37.49406882445709,,29.33285939092022,16.30673356786292,1852818916.1437676,1317977,0
NIST_GROUND,2018,complete_H144,144,low-power,Original B,15.852169141865131,,11.594224492898908,5.820230775943142,331196109.5509033,1317977,0
NIST_GROUND,2018,complete_H144,144,low-power,Expanded A,37.49415563380824,,29.332899026839492,16.30669245162761,1852827495.7511103,1317977,0
NIST_GROUND,2018,complete_H144,144,low-power,Expanded B,15.852169141865131,,11.594224492898908,5.820230775943142,331196109.5509033,1317977,0
NIST_GROUND,2018,complete_H144,144,low-power,Daily,6.536006240548004,,1.0955535984315357,1.0388103818200165,56303157.10011961,1317977,0
NIST_GROUND,2018,complete_H144,144,low-power,Last-value,78.95453795562939,,43.524367829939386,43.430394844067855,8216030148.232696,1317977,0
NIST_GROUND,2018,complete_H144,144,low-power,Inverted mean,19.353556771838885,0.4712923179004515,8.192265006343877,3.2444366361597865,493856838.54232055,1317977,3
NIST_GROUND,2018,complete_H144,144,power-active,Original A,62.52986138286386,,48.04033275175805,-15.52689584056374,4677396038.776393,1196270,0
NIST_GROUND,2018,complete_H144,144,power-active,Original B,53.5477526942275,,39.04804923224779,-4.458944894570882,3430138922.739192,1196270,0
NIST_GROUND,2018,complete_H144,144,power-active,Expanded A,62.5298403447173,,48.04033574507802,-15.5268754486985,4677392891.360913,1196270,0
NIST_GROUND,2018,complete_H144,144,power-active,Expanded B,53.5477526942275,,39.04804923224779,-4.458944894570882,3430138922.739192,1196270,0
NIST_GROUND,2018,complete_H144,144,power-active,Daily,70.82097185920097,,48.710622327401005,-0.4338341648624493,6000023840.592628,1196270,0
NIST_GROUND,2018,complete_H144,144,power-active,Last-value,100.97378213410688,,77.54529147416551,-42.45065848295119,12196815635.708622,1196270,0
NIST_GROUND,2018,complete_H144,144,power-active,Inverted mean,49.06337422165681,0.33283969496711535,37.14855600656015,-5.352623289298759,2879767067.5549293,1196270,3
NIST_GROUND,2018,pointwise_finite,144,full,Original A,51.8960770826348,,38.79034869214223,-1.2097031301992185,9432851296.12936,3502466,0
NIST_GROUND,2018,pointwise_finite,144,full,Original B,40.77701210356224,,25.92662927194929,0.0166795669849731,5823776884.119103,3502466,0
NIST_GROUND,2018,pointwise_finite,144,full,Expanded A,51.89610011932776,,38.7903762085724,-1.2097131747623484,9432859670.625446,3502466,0
NIST_GROUND,2018,pointwise_finite,144,full,Expanded B,40.77701210356224,,25.92662927194929,0.0166795669849731,5823776884.119103,3502466,0
NIST_GROUND,2018,pointwise_finite,144,full,Daily,51.0278621718392,,25.20457029350177,0.118901397586729,9119870588.540924,3502466,0
NIST_GROUND,2018,pointwise_finite,144,full,Last-value,91.3884423872052,,61.0113320328592,-0.2604974899970476,29252061562.551563,3502466,0
NIST_GROUND,2018,pointwise_finite,144,full,Inverted mean,38.186146235578796,0.09764779984059035,23.120159022878294,-2.1583335432149826,5107254315.5939455,3502466,3
NIST_GROUND,2018,pointwise_finite,144,low-power,Original A,36.5590173134617,,28.796945383344337,15.58876598852638,2338094243.5587807,1749335,0
NIST_GROUND,2018,pointwise_finite,144,low-power,Original B,16.095789829331252,,11.58523005143734,5.636603682542783,453208003.3931029,1749335,0
