site,method,model,seed,horizon,scope,status,points,Daily_RMSE,difference_RMS_kW,difference_MAE_kW,RMSE_bound_passed,MAE_bound_passed,old_RMSE,new_RMSE,delta_RMSE_kW,delta_RMSE_W,old_MAE,new_MAE,delta_MAE_kW,delta_MAE_W,old_bias,new_bias,delta_bias_kW,delta_bias_W,old_effect_vs_Daily,new_effect_vs_Daily,old_skill,new_skill
Sanyo,Depthwise convolutional TCN42,Depthwise convolutional TCN,42,12,full,diagnostic,79005,0.17521872293338112,4.963308694206159e-06,8.081857090626751e-07,True,True,0.233557617322743,0.23355763950345979,2.2180716791053712e-08,2.2180716791053712e-05,0.17242056043197349,0.17242060549305277,4.50610792845918e-08,4.50610792845918e-05,-0.06690104849447794,-0.06690108757378739,-3.907930945512561e-08,-3.907930945512561e-05,0.05833889438936188,0.05833891657007867,-0.3329489760722806,-0.3329491026610174
Sanyo,Depthwise convolutional TCN42,Depthwise convolutional TCN,42,12,power-active,diagnostic,36190,0.2588756697513815,7.220380703918629e-06,1.489738211896282e-06,True,True,0.31122607111068074,0.31122610032295145,2.921227071350785e-08,2.921227071350785e-05,0.25913942749989477,0.25913950886658094,8.136668616653964e-08,8.136668616653964e-05,-0.22977243659248317,-0.2297725015365992,-6.494411602941952e-08,-6.494411602941952e-05,0.05235040135929925,0.05235043057156996,-0.20222217641996032,-0.20222228926281938
Sanyo,Depthwise convolutional TCN42,Depthwise convolutional TCN,42,12,low-power,diagnostic,42815,0.002410485891560714,1.1790300934466308e-06,2.3209356664650735e-07,True,True,0.13705437000542464,0.13705438368264933,1.3677224686148293e-08,1.3677224686148293e-05,0.09912017974324125,0.09912019411647953,1.4373238280129819e-08,1.4373238280129819e-05,0.07076835557575,0.07076833835904361,-1.7216706379996616e-08,-1.7216706379996616e-05,0.13464388411386394,0.13464389779108862,-55.85756987222449,-55.85757554627748
Sanyo,Depthwise convolutional TCN42,Depthwise convolutional TCN,42,144,full,diagnostic,598317,0.11814159529269164,3.563137402004074e-06,4.7665036127706464e-07,True,True,0.8576023539515538,0.8576023646567866,1.0705232811325516e-08,1.0705232811325516e-05,0.5648813007735204,0.5648813255686864,2.4795166031488236e-08,2.4795166031488236e-05,-0.2516344243809976,-0.25163443870739083,-1.432639323839524e-08,-1.432639323839524e-05,0.7394607586588622,0.739460769364095,-6.25910592138928,-6.25910601200286
Sanyo,Depthwise convolutional TCN42,Depthwise convolutional TCN,42,144,power-active,diagnostic,259345,0.17941654249698688,3.2913317249296763e-06,2.928602190548165e-07,True,True,1.207590828018416,1.2075908276704157,-3.48000295247175e-10,-3.48000295247175e-07,0.9540522935725105,0.9540522887347854,-4.837725109396729e-09,-4.837725109396729e-06,-0.7090138211682844,-0.7090138024684488,1.8699835568902756e-08,1.8699835568902756e-05,1.028174285521429,1.0281742851734288,-5.730654883948041,-5.730654882008419
Sanyo,Depthwise convolutional TCN42,Depthwise convolutional TCN,42,144,low-power,diagnostic,338972,0.0027584819230325602,3.757842440736745e-06,6.172668559569466e-07,True,True,0.42717389353664925,0.4271739322247445,3.8688095227445984e-08,3.8688095227445984e-05,0.26712941823616,0.26712946570323465,4.746707465974609e-08,4.746707465974609e-05,0.09830320958227638,0.09830316998775683,-3.959451955193316e-08,-3.959451955193316e-05,0.4244154116136167,0.4244154503017119,-153.8583262300418,-153.85834025518182
Sanyo,Depthwise convolutional TCN43,Depthwise convolutional TCN,43,12,full,diagnostic,79005,0.17521872293338112,1.4641183138070416e-05,2.109287573367738e-06,True,True,0.17555410592310977,0.17555446152346138,3.5560035160919767e-07,0.0003556003516091977,0.11430218168884082,0.11430234124366775,1.5955482693397194e-07,0.00015955482693397194,0.0389461612483573,0.038946360917074076,1.9966871677573605e-07,0.00019966871677573605,0.0003353829897286553,0.0003357385900802645,-0.0019140819206642234,-0.001916111386155439
Sanyo,Depthwise convolutional TCN43,Depthwise convolutional TCN,43,12,power-active,diagnostic,36190,0.2588756697513815,2.1463424245254572e-05,4.12002194010938e-06,True,True,0.24041373547850578,0.24041430219709603,5.667185902502592e-07,0.0005667185902502592,0.17448019429538478,0.1744805018214701,3.0752608531914305e-07,0.00030752608531914305,0.06246555436441149,0.06246609237443404,5.380100225535478e-07,0.0005380100225535478,-0.018461934272875707,-0.018461367554285457,0.07131583393142404,0.07131364477787872
Sanyo,Depthwise convolutional TCN43,Depthwise convolutional TCN,43,12,low-power,diagnostic,42815,0.002410485891560714,2.482635008146882e-06,4.0968517391941315e-07,True,True,0.08952325544870693,0.08952325578157067,3.3286373657404056e-10,3.3286373657404056e-07,0.06343584334408256,0.06343587782405621,3.4479973654022444e-08,3.4479973654022444e-05,0.01906605294822881,0.019065966629047523,-8.631918128887417e-08,-8.631918128887417e-05,0.08711276955714621,0.08711276989000995,-36.1390912355614,-36.1390913736513
Sanyo,Depthwise convolutional TCN43,Depthwise convolutional TCN,43,144,full,diagnostic,598317,0.11814159529269164,4.761575405320879e-06,6.931899076604026e-07,True,True,0.7961845435539714,0.7961845477300925,4.176121115584408e-09,4.176121115584408e-06,0.5193278840107093,0.5193278824482865,-1.5624227467370133e-09,-1.5624227467370133e-06,-0.17870136329448488,-0.17870137239806383,-9.103578946234592e-09,-9.103578946234592e-06,0.6780429482612798,0.6780429524374009,-5.739239821347022,-5.7392398566954625
