model,old_RMSE,new_RMSE,old_rank,new_rank,site,horizon,scope,meaning
Depthwise convolutional TCN,0.7888944936117716,0.788894512337512,1.0,1.0,Qcells,144,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,0.9086626595227231,0.9086627685730799,4.0,4.0,Qcells,144,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,0.8436136989042885,0.8436136932439967,2.0,2.0,Qcells,144,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,0.8501971713968607,0.8501971602028308,3.0,3.0,Qcells,144,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Depthwise convolutional TCN,0.2774356673309113,0.2774357144499757,2.0,2.0,Qcells,144,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,0.1878844440175854,0.18788449584046307,1.0,1.0,Qcells,144,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,0.3285660064933043,0.32856594687314383,4.0,4.0,Qcells,144,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,0.30262597552323195,0.302625962377854,3.0,3.0,Qcells,144,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Depthwise convolutional TCN,1.152316765889359,1.1523167806167571,1.0,1.0,Qcells,144,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,1.358669588553567,1.35866974900718,4.0,4.0,Qcells,144,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,1.22162524318382,1.2216252556129572,2.0,2.0,Qcells,144,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,1.2406859098811427,1.2406858965907197,3.0,3.0,Qcells,144,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Depthwise convolutional TCN,0.2211791028808292,0.22117925615670508,2.0,2.0,Sanyo,12,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,0.20724454334685427,0.20724453894640305,1.0,1.0,Sanyo,12,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,0.2560181998853688,0.25601823661821016,4.0,4.0,Sanyo,12,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,0.25350304746386826,0.2535030376017902,3.0,3.0,Sanyo,12,full,"historical-support numerical sensitivity, not accepted new-support ranking"
Depthwise convolutional TCN,0.1357272099786062,0.1357272370645659,2.0,2.0,Sanyo,12,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,0.06453711906462518,0.06453711505611853,1.0,1.0,Sanyo,12,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,0.1853446124697661,0.1853448458846687,4.0,4.0,Sanyo,12,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Joint-patch Transformer,0.16945524719138336,0.169455228138404,3.0,3.0,Sanyo,12,low-power,"historical-support numerical sensitivity, not accepted new-support ranking"
Depthwise convolutional TCN,0.2907162049319301,0.29071643602635716,1.0,1.0,Sanyo,12,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Discrete recurrent decoder,0.2979629967254638,0.2979629909031659,2.0,2.0,Sanyo,12,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
Inverted-variate Transformer,0.31748946576025006,0.3174893639451353,3.0,3.0,Sanyo,12,power-active,"historical-support numerical sensitivity, not accepted new-support ranking"
